timestamp,CH0_pF
83.557,29101.452257,29051.254801
83.662,29101.511417,29051.372816
83.780,29101.653402,29051.510501
83.881,29101.625794,29051.510501
83.985,29101.791445,29051.427890
84.088,29101.736227,29051.420022
84.194,29101.594242,29051.337412
84.306,29101.424648,29051.282338
84.410,29101.061803,29050.751280
84.513,29100.639807,29050.558529
84.623,29100.217820,29050.027491
84.730,29100.221764,29050.110096
84.832,29100.300639,29049.826880
84.939,29100.221764,29050.055026
85.053,29100.359796,29049.944886
85.156,29100.411065,29049.944886
85.260,29100.556986,29050.082561
85.365,29100.442616,29050.110096
85.477,29100.415009,29050.192701
85.580,29100.217820,29050.247772
85.686,29100.245426,29050.082561
85.790,29100.107395,29050.082561
85.907,29100.300639,29050.055026
86.009,29100.304583,29050.275307
86.109,29100.052183,29050.220236
86.226,29100.328246,29050.275307
86.326,29100.383459,29050.275307
86.433,29100.501773,29050.220236
86.535,29100.470222,29050.082561
86.642,29100.387403,29050.165166
86.757,29100.249370,29050.055026
86.859,29100.249370,29050.027491
86.965,29100.332189,29049.854415
87.068,29100.221764,29049.917352
87.179,29100.194158,29049.834747
87.282,29100.135001,29049.799346
87.387,29100.273033,29049.744277
87.494,29100.194158,29049.826880
87.600,29100.328246,29049.944886
87.714,29100.221764,29049.944886
87.816,29100.194158,29049.881950
87.922,29100.107395,29049.689208
88.025,29100.190214,29049.716742
88.137,29100.273033,29049.799346
88.240,29100.442616,29050.165166
88.345,29100.387403,29049.917352
88.451,29100.249370,29049.996022
88.557,29100.359796,29050.082561
88.669,29100.359796,29049.972421
88.774,29100.442616,29050.027491
88.877,29100.584593,29050.365780
88.991,29100.442616,29050.275307
89.092,29100.639807,29050.192701
89.197,29100.359796,29050.023557
89.303,29100.501773,29050.082561
89.409,29100.387403,29050.330378
89.525,29100.442616,29050.275307
89.625,29100.501773,29050.082561
89.729,29100.501773,29050.110096
89.846,29100.698965,29050.220236
89.946,29100.501773,29050.275307
90.048,29100.501773,29050.165166
90.154,29100.726572,29050.310710
90.269,29100.556986,29050.137631
90.370,29100.470222,29050.165166
90.473,29100.470222,29050.220236
90.587,29100.556986,29049.944886
90.689,29100.276977,29049.889817
90.793,29100.529380,29050.027491
90.899,29100.245426,29049.862282
91.017,29100.442616,29050.055026
91.116,29100.470222,29049.999956
91.222,29100.529380,29050.082561
91.324,29100.162608,29049.862282
91.436,29100.387403,29050.082561
91.540,29100.501773,29049.999956
91.644,29100.415009,29050.082561
91.751,29100.529380,29050.165166
91.864,29100.355852,29049.944886
