timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
12.372,292.626968,282.157384,297.112137,283.618928
12.491,292.631760,282.142071,297.129586,283.628831
12.625,292.663768,282.175826,297.152808,283.683510
12.701,292.693214,282.260828,297.167286,283.801760
12.825,292.710806,282.324970,297.163480,283.836782
12.944,292.707981,282.330173,297.164311,283.834938
13.076,292.684011,282.274646,297.161075,283.705042
13.153,292.656022,282.176679,297.143099,283.654449
13.296,292.651144,282.170058,297.128623,283.649661
13.412,292.648790,282.174688,297.124513,283.647942
13.492,292.649090,282.173835,297.126918,283.651789
13.604,292.651700,282.177045,297.122195,283.656168
13.729,292.647635,282.170342,297.124819,283.647656
13.846,292.652513,282.182163,297.130416,283.671599
13.988,292.674425,282.246360,297.152808,283.823592
14.056,292.701004,282.375224,297.150140,283.880414
14.191,292.700148,282.395761,297.144280,283.895862
14.303,292.694369,282.405603,297.141306,283.896149
14.420,292.691245,282.404749,297.138682,283.901394
14.507,292.693214,282.409670,297.136889,283.904262
14.620,292.694369,282.420367,297.136014,283.904098
14.739,292.693000,282.423580,297.138682,283.906516
14.862,292.691159,282.419431,297.139600,283.904959
14.965,292.692614,282.420082,297.134527,283.906065
15.083,292.691844,282.421221,297.131903,283.900164
15.204,292.691544,282.421790,297.131903,283.901967
15.324,292.688291,282.420936,297.129804,283.901271
15.412,292.690945,282.419797,297.132209,283.905819
15.524,292.694070,282.423864,297.133390,283.908360
15.638,292.695824,282.423580,297.134571,283.908073
15.750,292.696424,282.421912,297.134265,283.904959
15.864,292.691844,282.416421,297.131597,283.905410
15.989,292.692315,282.416015,297.135183,283.905819
16.120,292.690945,282.413737,297.132209,283.905532
16.253,292.691159,282.423051,297.135489,283.905819
16.316,292.691544,282.423295,297.134877,283.903688
16.432,292.692015,282.424841,297.134527,283.903688
16.556,292.692400,282.423295,297.131029,283.901844
16.695,292.692914,282.421912,297.134002,283.898730
16.767,292.691716,282.422766,297.131903,283.901680
16.895,292.694669,282.423295,297.131291,283.903975
17.004,292.694968,282.424149,297.132209,283.905123
17.122,292.692700,282.423295,297.133084,283.906065
17.237,292.692015,282.424434,297.134221,283.906229
17.355,292.693214,282.421221,297.135140,283.907786
17.483,292.693599,282.416421,297.131903,283.907090
17.559,292.694369,282.416584,297.133390,283.908934
17.673,292.692101,282.424434,297.137807,283.907499
17.785,292.693000,282.425573,297.137501,283.907090
17.898,292.694369,282.424637,297.136889,283.907499
18.011,292.692700,282.425858,297.136014,283.907499
18.124,292.692101,282.424434,297.133084,283.903811
18.237,292.691159,282.421343,297.133390,283.900000
18.356,292.690346,282.425003,297.134877,283.903975
18.478,292.693299,282.422360,297.134221,283.904262
18.598,292.692914,282.422766,297.134265,283.906352
18.692,292.694968,282.424149,297.135402,283.906229
18.811,292.690260,282.420367,297.134265,283.906352
18.926,292.692015,282.417723,297.132778,283.906065
19.045,292.689789,282.416706,297.132516,283.902254
19.179,292.691459,282.420489,297.133390,283.903115
19.261,292.693770,282.424434,297.136626,283.904549
19.372,292.694369,282.424719,297.136320,283.906803
19.486,292.694070,282.425003,297.133653,283.901967
19.598,292.691544,282.420936,297.133040,283.902254
19.711,292.692015,282.423864,297.134527,283.903975
19.824,292.691459,282.422197,297.134877,283.908073
19.937,292.693513,282.423214,297.131903,283.907499
20.054,292.694669,282.422766,297.135183,283.908360
20.173,292.693000,282.420082,297.133390,283.905696
20.304,292.692101,282.416584,297.133390,283.904098
20.403,292.692914,282.414306,297.132778,283.904836
20.528,292.690860,282.419512,297.134002,283.907499
20.616,292.692614,282.422360,297.131903,283.905123
20.728,292.692015,282.421627,297.134002,283.907213
20.841,292.692400,282.424149,297.137501,283.906516
20.954,292.693513,282.421790,297.133084,283.905410
21.082,292.693513,282.421343,297.131597,283.901680
21.185,292.690945,282.420367,297.131029,283.903402
21.315,292.691716,282.422766,297.130110,283.902828
21.444,292.694369,282.422197,297.129892,283.903402
21.519,292.693299,282.421221,297.129892,283.901967
21.634,292.690945,282.422929,297.131903,283.904549
21.761,292.690646,282.417438,297.131903,283.903402
21.864,292.692101,282.416015,297.130766,283.904959
21.984,292.689190,282.419797,297.131903,283.904836
22.103,292.691716,282.423864,297.132516,283.905410
22.236,292.690646,282.422644,297.136626,283.906352
22.310,292.691245,282.420651,297.134265,283.903402
22.424,292.691459,282.419919,297.130723,283.901680
22.537,292.691544,282.423051,297.131597,283.898156
22.650,292.691245,282.418943,297.129892,283.899017
22.789,292.689789,282.419228,297.130110,283.901680
22.892,292.690046,282.420489,297.132209,283.904549
23.016,292.693770,282.423051,297.131903,283.906065
23.101,292.695525,282.423580,297.131029,283.905696
23.219,292.692400,282.418943,297.131903,283.904385
23.341,292.689190,282.411663,297.129542,283.901967
23.452,292.689789,282.411215,297.128405,283.901271
23.567,292.692914,282.423051,297.133347,283.905819
23.675,292.691844,282.421505,297.135708,283.902541
23.799,292.693513,282.419512,297.136889,283.904672
23.919,292.691159,282.419512,297.131903,283.901967
24.035,292.691459,282.420936,297.132778,283.900287
