timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
54.952,292.691544,282.113804,297.031737,283.556248
55.051,292.691459,282.104545,297.017313,283.554530
55.183,292.716585,282.123835,297.030863,283.563325
55.290,292.714016,282.119489,297.036152,283.583126
55.417,292.709436,282.123835,297.040042,283.571098
55.521,292.710506,282.122129,297.039430,283.568807
55.639,292.712561,282.122414,297.039430,283.573225
55.771,292.710806,282.124119,297.037944,283.577030
55.852,292.707296,282.124972,297.039955,283.577480
55.974,292.707981,282.125338,297.036152,283.574044
56.090,292.710506,282.123835,297.041747,283.576621
56.179,292.712176,282.122982,297.040873,283.578748
56.307,292.734179,282.122129,297.056523,283.610744
56.405,292.737047,282.186510,297.057965,283.642990
56.518,292.738203,282.194067,297.062337,283.654613
56.632,292.737989,282.206743,297.060326,283.661980
56.744,292.738503,282.219785,297.057703,283.673891
56.873,292.739402,282.232869,297.058534,283.682077
56.983,292.741628,282.240306,297.057091,283.691123
57.087,292.740258,282.252131,297.052632,283.721336
57.202,292.739102,282.267453,297.050315,283.736771
57.321,292.740258,282.278995,297.047649,283.740865
57.438,292.740258,282.282775,297.044982,283.743404
57.550,292.735848,282.281922,297.047649,283.742012
57.669,292.733622,282.274768,297.045550,283.743691
57.786,292.733922,282.278711,297.045856,283.741439
57.905,292.735848,282.283629,297.044982,283.745820
58.026,292.735591,282.285742,297.048261,283.744387
58.102,292.734393,282.286759,297.047955,283.746966
58.215,292.736234,282.286759,297.042665,283.746393
58.328,292.732424,282.285173,297.042927,283.740006
58.441,292.733023,282.284889,297.042927,283.740292
58.555,292.733622,282.285905,297.043496,283.741725
58.668,292.733622,282.284604,297.045856,283.745533
58.783,292.734179,282.285458,297.045332,283.745820
58.901,292.737047,282.286474,297.047649,283.746966
59.018,292.735591,282.283060,297.044414,283.743527
59.140,292.736533,282.282206,297.046206,283.745247
59.241,292.736234,282.280133,297.046206,283.747376
59.359,292.733622,282.283913,297.047037,283.745533
59.473,292.733622,282.283913,297.047037,283.743813
59.590,292.733323,282.282491,297.048829,283.745247
59.707,292.733922,282.284198,297.042927,283.744100
59.798,292.733622,282.285620,297.042359,283.740292
59.911,292.733023,282.283344,297.042359,283.737999
60.024,292.734179,282.286840,297.042927,283.742012
60.137,292.736448,282.286311,297.042927,283.747540
60.250,292.734992,282.286027,297.040611,283.748195
60.363,292.734992,282.286027,297.042053,283.746680
60.476,292.733023,282.284767,297.040611,283.745533
60.589,292.732723,282.283060,297.041179,283.744100
60.702,292.733323,282.284198,297.044414,283.750774
60.818,292.732424,282.287693,297.045900,283.749341
60.942,292.732723,282.291230,297.043539,283.748768
61.061,292.733622,282.289401,297.045638,283.746966
61.171,292.731567,282.289970,297.043539,283.748072
61.274,292.732723,282.291108,297.044064,283.746106
61.401,292.732723,282.291392,297.044676,283.745533
61.534,292.733622,282.288547,297.044151,283.747540
61.607,292.736234,282.292043,297.043539,283.749914
61.719,292.734393,282.291392,297.043233,283.751061
61.833,292.735377,282.290539,297.043233,283.750774
61.946,292.730754,282.289685,297.041179,283.750201
62.059,292.732124,282.284767,297.041747,283.751061
62.172,292.732124,282.286027,297.041747,283.752863
62.285,292.733323,282.290945,297.042665,283.751634
62.399,292.734179,282.292327,297.044151,283.752617
62.517,292.734692,282.292896,297.044414,283.751061
62.636,292.735848,282.293465,297.045550,283.751921
62.757,292.734093,282.292246,297.044982,283.750201
62.857,292.735377,282.292612,297.040873,283.750078
62.970,292.733023,282.292246,297.042927,283.746966
63.089,292.733023,282.290092,297.041747,283.749505
63.210,292.734179,282.292043,297.043845,283.752208
63.320,292.735078,282.292896,297.042053,283.749914
63.441,292.731353,282.289970,297.041441,283.752863
63.562,292.731567,282.287043,297.042053,283.750201
63.644,292.731353,282.284198,297.040261,283.749505
63.757,292.732424,282.290661,297.042927,283.750488
63.870,292.732723,282.293465,297.046468,283.751634
63.983,292.732723,282.291677,297.047649,283.749341
64.097,292.734478,282.291108,297.044982,283.749341
64.229,292.732723,282.289116,297.042927,283.746966
64.324,292.733023,282.291108,297.043233,283.747540
64.444,292.732424,282.289401,297.043539,283.748645
64.562,292.735677,282.292612,297.043802,283.751634
64.678,292.736234,282.293750,297.045638,283.752494
64.797,292.737133,282.292530,297.042359,283.751634
64.919,292.733023,282.290092,297.041747,283.749914
65.000,292.731353,282.287043,297.042053,283.751061
65.113,292.732723,282.284767,297.041441,283.751634
65.226,292.734093,282.290945,297.041179,283.750201
65.339,292.732723,282.290254,297.044151,283.750774
65.452,292.733323,282.290539,297.045900,283.750774
65.565,292.734478,282.293181,297.045550,283.751634
65.678,292.733023,282.289522,297.041747,283.749505
65.791,292.731567,282.290092,297.042053,283.745247
65.911,292.731268,282.290945,297.040873,283.746106
66.033,292.731653,282.289116,297.040305,283.746966
66.134,292.732252,282.285905,297.039955,283.746680
66.248,292.734179,282.286759,297.039955,283.748359
66.372,292.733023,282.287978,297.040567,283.752208
66.482,292.733323,282.287978,297.042053,283.750488
66.602,292.730968,282.282491,297.040917,283.748481
66.725,292.732723,282.287124,297.040611,283.748195
66.809,292.731953,282.289401,297.044720,283.750774
66.922,292.732424,282.291230,297.046774,283.748768
67.034,292.733023,282.289116,297.042665,283.747908
67.147,292.732723,282.286840,297.038250,283.746680
67.260,292.729298,282.289401,297.039955,283.743691
67.373,292.731867,282.287978,297.038818,283.746106
67.486,292.731653,282.289685,297.039430,283.748195
67.599,292.734478,282.291514,297.040305,283.751634
67.715,292.737347,282.290945,297.043539,283.752494
67.833,292.737047,282.292896,297.042053,283.752617
67.951,292.735292,282.288832,297.041747,283.750488
68.072,292.733922,282.286555,297.044151,283.751061
68.170,292.732509,282.286311,297.044720,283.749628
68.289,292.732424,282.289807,297.043539,283.751348
68.409,292.734478,282.291758,297.045856,283.749218
68.526,292.734179,282.292612,297.045638,283.747908
68.650,292.734478,282.293181,297.044982,283.748768
68.729,292.735591,282.294034,297.043233,283.746106
68.841,292.733622,282.293181,297.042927,283.746106
68.954,292.735934,282.293181,297.044676,283.752781
69.067,292.735292,282.293465,297.043233,283.752617
69.180,292.735377,282.291108,297.042927,283.751634
69.294,292.735078,282.291514,297.041223,283.751061
69.406,292.734778,282.287978,297.041441,283.750488
69.519,292.735292,282.288262,297.043845,283.753723
69.632,292.734778,282.284320,297.042927,283.751921
69.750,292.732723,282.290539,297.043233,283.750201
69.881,292.733023,282.290539,297.044676,283.749628
69.984,292.732723,282.292327,297.044720,283.750774
70.089,292.730968,282.291514,297.045026,283.749914
70.213,292.733622,282.288262,297.042359,283.747621
70.331,292.733622,282.289970,297.040611,283.748768
70.453,292.733323,282.292612,297.044414,283.752208
70.537,292.734778,282.292896,297.042665,283.752208
70.649,292.736234,282.292246,297.041747,283.750774
70.762,292.735677,282.289685,297.044151,283.751921
70.898,292.731268,282.287693,297.043539,283.751634
71.006,292.733922,282.285173,297.044982,283.754460
71.136,292.733622,282.287124,297.045332,283.752208
71.214,292.732723,282.289401,297.044151,283.751348
71.327,292.734692,282.292043,297.045550,283.751634
71.440,292.733922,282.291392,297.045856,283.752208
71.554,292.733622,282.291758,297.042927,283.752208
71.666,292.734093,282.291392,297.043233,283.746106
71.780,292.733622,282.291677,297.045332,283.748481
