timestamp,MUX1_0_pF,MUX1_1_pF,MUX1_2_pF,MUX1_3_pF,MUX2_0_pF,MUX2_1_pF,MUX2_2_pF,MUX2_3_pF
70.927,309.186238,290.297204,294.161884,294.379568,306.154996,288.606898,292.341174,293.122191
71.293,309.165083,290.298050,294.162487,294.345264,306.138701,288.608618,292.344037,293.112069
71.643,309.160686,290.300673,294.164255,294.315883,306.133772,288.606898,292.346643,293.161783
72.004,309.152262,290.299827,294.163048,294.288015,306.131901,288.611387,292.342541,293.125108
72.354,309.129814,290.297204,294.159297,294.356310,306.102967,288.612813,292.344892,293.111469
72.721,309.125742,290.298642,294.158435,294.290905,306.102694,288.615037,292.346387,293.045044
73.062,309.121391,290.294666,294.150848,294.242987,306.100868,288.615037,292.341687,293.120690
73.405,309.111071,290.282103,294.134081,294.161884,306.096214,288.607443,292.329681,293.041872
73.781,309.134211,290.275251,294.119211,294.122960,306.130714,288.596998,292.318743,292.636167
74.116,309.140367,290.264254,294.115763,294.272875,306.134092,288.591083,292.310028,293.061766
74.482,309.124492,290.262181,294.113694,294.203445,306.124507,288.586427,292.311010,293.076217
74.834,309.126066,290.260278,294.109643,294.207196,306.122089,288.584833,292.308960,293.054048
75.174,309.121391,290.258544,294.108177,294.261532,306.123001,288.582526,292.304260,293.038356
75.566,309.120743,290.257360,294.108781,294.236777,306.131308,288.583113,292.307507,293.017863
75.905,309.118568,290.260447,294.110246,294.205169,306.123595,288.583113,292.308063,293.060094
76.241,309.122919,290.258544,294.109944,294.294443,306.124873,288.583659,292.305542,293.035826
76.601,309.121391,290.258121,294.112013,294.254028,306.120537,288.584246,292.305158,293.021121
76.960,309.130138,290.260743,294.111711,294.229576,306.144178,288.586721,292.306610,293.011004
77.298,309.128889,290.260743,294.108479,294.206937,306.124234,288.583113,292.306311,293.052848
77.692,309.124446,290.259390,294.109643,294.285988,306.125466,288.582358,292.303492,293.030039
78.042,309.122641,290.260743,294.110246,294.243203,306.122362,288.581939,292.307507,293.004660
78.398,309.126991,290.261927,294.113392,294.228411,306.125420,288.586721,292.308661,293.091869
78.756,309.130740,290.263661,294.113090,294.218536,306.129117,288.585966,292.308661,293.053662
79.094,309.131989,290.263661,294.115676,294.281933,306.129436,288.585420,292.307208,293.027681
79.449,309.131665,290.264127,294.113392,294.241521,306.130988,288.585966,292.307507,292.999945
79.808,309.130138,290.259982,294.109944,294.224358,306.127656,288.585127,292.303406,293.082049
80.174,309.128518,290.263069,294.116064,294.211853,306.125146,288.583952,292.307507,293.046802
80.506,309.129213,290.261335,294.111625,294.270288,306.126698,288.585127,292.308575,293.016706
80.845,309.125742,290.260447,294.112013,294.214785,306.124873,288.584833,292.307208,292.974870
81.204,309.124214,290.259686,294.111711,294.228713,306.124873,288.586847,292.307806,293.075316
81.557,309.124446,290.261631,294.111108,294.207800,306.123001,288.584833,292.306610,293.046202
81.898,309.123520,290.262477,294.113392,294.263300,306.126698,288.583785,292.308362,293.009847
82.286,309.124214,290.259305,294.111927,294.249111,306.128524,288.586553,292.309729,292.996215
82.630,309.126991,290.262477,294.114599,294.229274,306.126333,288.588566,292.312976,293.073344
82.972,309.133517,290.264719,294.112616,294.211853,306.129436,288.589615,292.311224,293.044230
83.329,309.124214,290.263238,294.114599,294.258944,306.130075,288.589321,292.311779,293.012676
83.684,309.124816,290.263365,294.113996,294.243289,306.139295,288.591335,292.311309,293.011004
84.039,309.126066,290.263661,294.111927,294.219140,306.131581,288.587434,292.310327,293.063567
84.379,309.121993,290.260574,294.112229,294.308376,306.127018,288.587140,292.309173,293.036984
84.730,309.129213,290.263365,294.113694,294.253941,306.128843,288.588315,292.309259,293.010919
85.122,309.128241,290.261927,294.113392,294.235699,306.144543,288.587727,292.311523,293.017863
85.472,309.128518,290.263661,294.115461,294.217157,306.131581,288.588021,292.311224,293.061766
85.814,309.129490,290.263238,294.113392,294.300784,306.131308,288.585714,292.308960,293.033769
86.182,309.131665,290.264254,294.113392,294.245834,306.132220,288.588734,292.311523,293.007789
86.524,309.135738,290.267341,294.114599,294.237079,306.136191,288.591083,292.310412,293.096201
86.868,309.131064,290.264803,294.115763,294.206937,306.131262,288.586847,292.311309,293.053062
87.220,309.133239,290.263535,294.114858,294.290603,306.132859,288.587895,292.310028,293.036598
87.561,309.127593,290.265269,294.114599,294.245273,306.127337,288.586134,292.308661,293.019535
87.946,309.131989,290.264803,294.113996,294.219744,306.130988,288.587895,292.310626,293.086380
88.269,309.132915,290.265015,294.113392,294.194175,306.131262,288.589909,292.310412,293.048260
88.648,309.133239,290.266157,294.115461,294.281243,306.136830,288.588021,292.310028,293.029438
89.002,309.131989,290.265269,294.116064,294.214224,306.130075,288.586847,292.309558,292.989271
89.343,309.130416,290.268483,294.117142,294.215604,306.133133,288.590496,292.312377,293.076560
89.702,309.130740,290.265396,294.115978,294.203747,306.129756,288.587434,292.311010,293.058936
90.047,309.128241,290.264423,294.114599,294.272272,306.130075,288.587895,292.310113,293.038956
90.392,309.128842,290.261631,294.114297,294.244367,306.130988,288.585420,292.309472,293.021036
90.746,309.126991,290.263069,294.113996,294.213621,306.128843,288.586847,292.311608,293.073344
91.100,309.130740,290.262477,294.113392,294.207800,306.131581,288.587602,292.310412,293.054520
91.482,309.126991,290.263365,294.114599,294.266233,306.131901,288.590202,292.312377,293.034326
91.827,309.130416,290.263238,294.115375,294.239753,306.140527,288.590496,292.313275,293.023951
92.174,309.132313,290.265692,294.117831,294.217458,306.131901,288.592216,292.316479,293.075917
92.516,309.127593,290.266453,294.117142,294.306003,306.136556,288.595278,292.315026,293.051090
92.908,309.130138,290.265015,294.115159,294.263300,306.137743,288.593684,292.315881,293.036984
93.242,309.129768,290.265861,294.114297,294.238287,306.154083,288.594229,292.316692,293.029739
93.593,309.131388,290.267045,294.115159,294.216855,306.136511,288.593558,292.316692,293.070128
93.935,309.129213,290.265861,294.116840,294.296729,306.140207,288.596704,292.317547,293.047017
94.285,309.130740,290.264254,294.114858,294.257176,306.139295,288.594691,292.316479,293.027681
94.667,309.132591,290.266749,294.116280,294.236863,306.139888,288.594691,292.314727,293.103363
95.015,309.130416,290.264507,294.115461,294.223495,306.139614,288.593390,292.316479,293.067298
95.356,309.134489,290.265565,294.113694,294.285082,306.142033,288.592971,292.312976,293.034626
95.711,309.129490,290.262477,294.114297,294.249111,306.137104,288.588189,292.311010,293.012976
96.055,309.130740,290.264423,294.114858,294.237769,306.135598,288.588860,292.313830,293.095000
96.443,309.134489,290.267045,294.114858,294.237985,306.136830,288.591335,292.313531,293.064425
96.787,309.133841,290.263831,294.114297,294.286549,306.137150,288.590496,292.315197,293.046802
97.127,309.130740,290.264423,294.113996,294.238330,306.137743,288.590496,292.312677,293.002302
97.477,309.131989,290.264719,294.115763,294.238632,306.134685,288.590202,292.315026,293.083464
97.831,309.134442,290.265015,294.112832,294.204652,306.142672,288.590790,292.314642,293.048775
98.178,309.131943,290.264423,294.113996,294.250491,306.142398,288.591629,292.316479,292.997330
98.558,309.132313,290.263069,294.115763,294.249111,306.143265,288.593978,292.315582,292.992186
98.888,309.136386,290.266157,294.117443,294.230999,306.142353,288.593097,292.315795,293.079133
99.248,309.141662,290.268779,294.112832,294.206334,306.143311,288.595278,292.313275,293.038142
99.597,309.133517,290.265269,294.114599,294.268519,306.141440,288.592803,292.314343,293.024851
99.973,309.136664,290.267341,294.118349,294.254243,306.155863,288.596453,292.315582,293.016706
100.330,309.136386,290.267341,294.115676,294.212456,306.147601,288.594691,292.317248,293.069056
100.667,309.132313,290.263958,294.116064,294.312388,306.141120,288.590496,292.312677,293.046502
101.023,309.134766,290.264803,294.117228,294.257176,306.147328,288.593265,292.313275,293.026609
101.363,309.135738,290.264127,294.115461,294.237467,306.159286,288.593390,292.314727,293.022193
101.756,309.136062,290.265269,294.117443,294.215992,306.142672,288.592971,292.316094,293.064039
102.104,309.135414,290.265099,294.115978,294.300482,306.141440,288.592509,292.314642,293.042086
102.447,309.134766,290.264719,294.112832,294.248205,306.141440,288.594691,292.313275,293.021593
102.797,309.134442,290.264423,294.116280,294.226643,306.144543,288.591922,292.314428,293.094743
103.133,309.133517,290.265015,294.116581,294.199694,306.141120,288.590790,292.316094,293.053362
103.509,309.135137,290.266749,294.118047,294.289741,306.142033,288.589909,292.313275,293.038956
103.858,309.135414,290.266453,294.117831,294.242082,306.147282,288.592216,292.315026,293.021422
104.213,309.137914,290.265565,294.118909,294.219442,306.142992,288.588734,292.315881,293.086080
104.567,309.137312,290.266749,294.116280,294.188397,306.144543,288.593265,292.314727,293.047274
104.911,309.133239,290.264423,294.117530,294.277793,306.143311,288.591083,292.314941,293.049332
105.256,309.132313,290.264719,294.113392,294.224961,306.143311,288.591503,292.312976,293.003374
105.638,309.137590,290.266453,294.117142,294.202281,306.142946,288.592090,292.314941,293.073944
105.984,309.136386,290.266749,294.120116,294.188311,306.143904,288.591335,292.315496,293.050532
106.329,309.139765,290.266749,294.116926,294.266837,306.143904,288.592384,292.314727,293.030339
106.689,309.139163,290.268187,294.120374,294.249974,306.148240,288.592971,292.316992,293.021979
107.040,309.137590,290.268187,294.118607,294.212155,306.143585,288.591083,292.316992,293.073944
107.384,309.141338,290.264254,294.117443,294.207800,306.145137,288.589321,292.315325,293.056278
107.771,309.137312,290.267045,294.118607,294.268821,306.146962,288.595278,292.316180,293.039256
108.120,309.135414,290.262477,294.115159,294.238330,306.154950,288.592509,292.316479,293.024251
108.468,309.135414,290.266453,294.115461,294.211853,306.144817,288.594523,292.316692,293.068155
108.798,309.139163,290.265565,294.116366,294.301345,306.149427,288.591083,292.316094,293.048560
109.149,309.138238,290.263831,294.115676,294.260626,306.146050,288.589321,292.315197,293.028581
109.505,309.136988,290.264423,294.115763,294.236777,306.162071,288.591922,292.314642,293.018163
109.857,309.136386,290.265565,294.118607,294.216208,306.144178,288.591796,292.317846,293.067383
110.251,309.136386,290.265269,294.116840,294.293537,306.144817,288.591335,292.315026,293.040714
110.592,309.136988,290.265861,294.117142,294.251095,306.145730,288.594103,292.317248,293.016706
110.943,309.137914,290.265988,294.117443,294.237165,306.147921,288.596159,292.315582,293.103448
111.286,309.138238,290.267595,294.118047,294.219442,306.147601,288.593684,292.317846,293.059451
111.644,309.138839,290.266157,294.116625,294.282796,306.149747,288.593265,292.316094,293.031196
111.991,309.135738,290.266157,294.117530,294.244669,306.150660,288.593390,292.316479,293.008561
112.335,309.136016,290.263661,294.116366,294.235095,306.144817,288.593852,292.315881,293.091012
112.708,309.134813,290.262773,294.113996,294.219140,306.145730,288.589909,292.312078,293.053062
113.058,309.136294,290.263535,294.117831,294.274040,306.144817,288.590496,292.315197,293.024551
113.406,309.134813,290.263238,294.113090,294.226126,306.147875,288.591083,292.313745,292.985842
113.763,309.135137,290.262773,294.113090,294.233629,306.146050,288.590790,292.314044,293.082864
114.104,309.131989,290.263069,294.115159,294.214224,306.145776,288.591629,292.314343,293.057178
114.483,309.131388,290.266157,294.117745,294.267355,306.146050,288.590790,292.315026,293.017006
114.831,309.136988,290.266157,294.118133,294.252259,306.149747,288.593978,292.316778,293.008089
115.182,309.135137,290.263365,294.113996,294.229877,306.148514,288.594691,292.315197,293.078833
115.553,309.138515,290.263958,294.115461,294.214224,306.144224,288.590790,292.314343,293.048560
115.889,309.136062,290.267595,294.118047,294.262395,306.145137,288.593265,292.315881,293.014648
116.242,309.135738,290.265396,294.116064,294.247343,306.151892,288.593265,292.316692,293.016106
116.582,309.135738,290.263831,294.114599,294.227290,306.148514,288.590790,292.315197,293.072186
116.936,309.133841,290.265099,294.118349,294.312992,306.149747,288.593558,292.316479,293.044144
117.325,309.135368,290.265099,294.115159,294.256615,306.149427,288.597292,292.316692,293.016406
117.666,309.136386,290.264803,294.114599,294.236863,306.162071,288.593265,292.313830,293.021422
118.001,309.136062,290.265565,294.116840,294.218838,306.151572,288.592971,292.316992,293.066097
118.351,309.132915,290.266453,294.116280,294.301647,306.148514,288.594984,292.316992,293.042986
118.729,309.133517,290.263831,294.114297,294.253640,306.146095,288.590496,292.317248,293.023951
119.086,309.134813,290.264803,294.113392,294.231042,306.147282,288.595278,292.315881,293.097873
119.428,309.135137,290.264127,294.115676,294.205514,306.150979,288.593852,292.322161,293.061509
119.781,309.131665,290.265269,294.117228,294.291768,306.149108,288.594691,292.319299,293.044744
120.140,309.134813,290.266749,294.118909,294.250491,306.150979,288.596453,292.323016,293.031411
120.485,309.135414,290.265269,294.113694,294.220606,306.152485,288.599053,292.322161,293.098731
120.828,309.133239,290.263831,294.114858,294.196460,306.152211,288.597753,292.316992,293.050790
121.215,309.134813,290.265861,294.115978,294.278396,306.151572,288.593978,292.316992,293.042086
121.562,309.135738,290.263365,294.116280,294.232249,306.148514,288.592971,292.323016,293.022793
