timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
39.569,269.350215,258.565899,317.039769,266.307043
39.671,269.351013,258.564069,317.283582,266.304910
39.793,269.351811,258.564356,317.393333,266.306482
39.894,269.349682,258.561737,317.350272,266.308128
40.003,269.349112,258.565899,317.313993,266.305958
40.129,269.349682,258.566329,317.369350,266.304910
40.239,269.348314,258.566580,317.490876,266.306519
40.363,269.347515,258.564858,317.562823,266.305696
40.455,269.346413,258.565396,317.598805,266.305920
40.563,269.348884,258.566329,317.611939,266.307566
40.685,269.346147,258.564858,317.599623,266.306781
40.799,269.355613,258.567369,317.605781,266.309399
40.914,269.368617,258.565791,317.618867,266.311831
41.028,269.342915,258.561988,317.604530,266.307566
41.146,269.341546,258.563316,317.575762,266.303339
41.254,269.345614,258.563567,317.481067,266.307043
41.370,269.350215,258.565396,317.473326,266.307529
41.478,269.342915,258.565038,317.519921,266.304910
41.593,269.344550,258.568159,317.482028,266.305696
41.702,269.345082,258.566437,317.452219,266.305172
41.821,269.343980,258.564356,317.434816,266.304611
41.930,269.346413,258.565038,317.465585,266.304910
42.046,269.345880,258.562527,317.458181,266.304087
42.152,269.346413,258.565647,317.499676,266.308090
42.271,269.347249,258.565791,317.454863,266.307791
42.377,269.346717,258.567118,317.520354,266.310223
42.498,269.344816,258.565540,317.562823,266.307005
42.606,269.346945,258.566329,317.582256,266.306482
42.725,269.352382,258.566867,317.608475,266.306220
42.837,269.355347,258.568159,317.662943,266.308090
42.958,269.345880,258.569881,317.721564,266.307043
43.052,269.347515,258.570383,317.801194,266.306781
43.183,269.346717,258.569091,317.792671,266.303826
43.277,269.344284,258.565791,317.701493,266.306519
43.409,269.342649,258.564356,317.691385,266.304087
43.503,269.344816,258.566867,317.680172,266.305210
43.636,269.345614,258.566329,317.772160,266.305958
43.731,269.346983,258.566580,317.794260,266.307305
43.839,269.344816,258.563818,317.834229,266.309437
43.959,269.345880,258.564858,317.831532,266.309699
44.064,269.348846,258.566150,317.811788,266.307005
44.180,269.349416,258.565109,317.826957,266.306519
44.309,269.348580,258.566150,317.826476,266.305696
44.420,269.348314,258.568159,317.749821,266.305172
44.534,269.346147,258.568948,317.753769,266.304948
44.645,269.348884,258.570239,317.777649,266.308876
44.757,269.348314,258.567621,317.791419,266.307305
44.867,269.349682,258.565647,317.793008,266.305920
44.973,269.347781,258.566867,317.798498,266.306781
45.091,269.351583,258.567369,317.760894,266.310484
45.204,269.348314,258.569881,317.729458,266.311008
45.315,269.348580,258.568159,317.789493,266.313178
45.429,269.347781,258.565540,317.801820,266.308913
45.539,269.348580,258.566329,317.766768,266.308389
45.659,269.348314,258.565109,317.771823,266.308614
45.767,269.351279,258.567369,317.773219,266.307828
45.881,269.352116,258.567369,317.763879,266.308352
45.991,269.347781,258.566329,317.776060,266.307305
46.110,269.348048,258.568661,317.780345,266.307005
46.216,269.349416,258.569343,317.704332,266.308389
46.333,269.346413,258.566867,317.671990,266.308090
46.439,269.346717,258.566867,317.716366,266.307043
46.558,269.345614,258.565791,317.738460,266.306781
46.663,269.347781,258.567621,317.718387,266.309736
46.784,269.348314,258.566150,317.717761,266.308876
46.889,269.349682,258.567621,317.701830,266.311008
47.009,269.349416,258.567369,317.656495,266.309699
47.115,269.350747,258.567621,317.712852,266.305434
47.234,269.349682,258.565289,317.767682,266.308614
47.340,269.351849,258.569199,317.753769,266.307005
47.458,269.348580,258.568661,317.678584,266.307566
47.589,269.348846,258.570921,317.648411,266.308128
47.683,269.347249,258.568159,317.681423,266.307043
47.808,269.347249,258.566078,317.627287,266.306220
47.919,269.349416,258.569988,317.600393,266.308913
48.033,269.348884,258.566580,317.523865,266.309736
48.132,269.346983,258.566580,317.739086,266.307005
48.266,269.344284,258.566329,317.727870,266.307566
48.373,269.345348,258.565109,317.713189,266.310223
48.486,269.347249,258.566867,317.817663,266.306220
48.595,269.346413,258.567621,317.809236,266.306519
48.709,269.349948,258.566329,317.748570,266.306781
48.819,269.351279,258.566329,317.736872,266.306519
48.933,269.346983,258.565540,317.734657,266.308614
49.040,269.347249,258.568159,317.670402,266.308090
49.158,269.347249,258.570132,317.679835,266.307566
49.268,269.347249,258.567908,317.683637,266.307828
49.386,269.348884,258.569343,317.844680,266.309138
49.491,269.350215,258.569988,317.818915,266.311307
49.608,269.349416,258.567369,317.839430,266.310484
49.720,269.349948,258.569091,317.793297,266.311008
49.839,269.349112,258.569701,317.760894,266.312916
49.943,269.348846,258.568410,317.757283,266.310746
50.064,269.349682,258.568410,317.714151,266.309138
50.167,269.349948,258.565109,317.740049,266.308876
50.290,269.351317,258.564751,317.714777,266.309138
50.396,269.353446,258.569630,317.707653,266.309399
50.512,269.348580,258.569881,317.653175,266.307828
50.618,269.350481,258.571710,317.627913,266.308913
50.736,269.348580,258.569450,317.544978,266.308389
50.842,269.347249,258.568589,316.995817,266.307267
50.963,269.347781,258.568302,316.924534,266.307529
51.069,269.346413,258.564607,314.988904,266.302516
51.187,269.345880,258.566580,314.699607,266.306220
51.320,269.345082,258.567118,314.703691,266.305434
51.410,269.345082,258.566437,314.806084,266.305172
51.536,269.345082,258.566437,314.744670,266.303339
51.645,269.346983,258.564607,314.802188,266.303003
51.767,269.347781,258.563818,315.134671,266.302516
51.862,269.348884,258.567369,315.042729,266.302254
51.993,269.343447,258.567369,315.027085,266.303863
52.087,269.344246,258.568661,314.976496,266.302516
52.217,269.343447,258.567118,314.941129,266.299561
52.323,269.342117,258.563316,315.127345,266.299561
52.440,269.345614,258.564751,315.459701,266.301731
52.551,269.345082,258.566329,315.477998,266.301431
52.663,269.344816,258.564248,313.709793,266.300908
52.771,269.342649,258.562778,309.654210,266.304087
52.886,269.342117,258.563567,311.106306,266.293763
52.996,269.343447,258.564069,311.895562,266.280409
53.113,269.345880,258.565791,311.326587,266.276968
53.220,269.342117,258.561737,312.521116,266.282579
53.336,269.342915,258.561737,312.820021,266.284411
53.444,269.340482,258.563818,312.806417,266.283626
53.563,269.342383,258.563316,312.666943,266.281531
53.669,269.341280,258.562778,312.626961,266.282279
