timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
46.964,269.040615,258.079956,362.084981,266.312355
47.069,269.043044,258.082317,361.539316,266.312879
47.193,269.040349,258.083354,361.716336,266.312617
47.294,269.041716,258.080492,361.867652,266.313178
47.415,269.043044,258.077451,361.866317,266.314487
47.520,269.044410,258.077737,361.916931,266.312093
47.641,269.040880,258.077201,361.953330,266.311569
47.746,269.036591,258.076270,362.100956,266.313141
47.866,269.040615,258.076163,362.127098,266.318228
47.971,269.037920,258.076664,362.040373,266.318191
48.088,269.039818,258.076413,361.945202,266.317405
48.218,269.047371,258.077737,362.182123,266.315797
48.326,269.046308,258.076163,362.329883,266.315011
48.439,269.046574,258.078238,362.357038,266.315273
48.548,269.040083,258.083068,362.394606,266.315273
48.660,269.039552,258.080564,362.522764,266.313702
48.771,269.039818,258.079956,362.664203,266.312579
48.886,269.039021,258.076950,362.663097,266.314225
48.992,269.038489,258.075126,362.724179,266.311831
49.106,269.038717,258.076664,362.805140,266.311569
49.215,269.041981,258.079168,363.053835,266.315797
49.333,269.041184,258.078238,363.160160,266.321408
49.439,269.039552,258.075233,363.240269,266.318977
49.564,269.041981,258.077201,363.365764,266.316096
49.675,269.046043,258.080492,363.827482,266.313402
49.791,269.046043,258.076950,364.456814,266.315011
49.902,269.046840,258.077737,364.763674,266.317705
50.012,269.040349,258.081244,364.459336,266.318191
50.126,269.040083,258.082317,364.464320,266.316620
50.230,269.041981,258.082031,364.169947,266.316620
50.351,269.040349,258.075626,361.943403,266.315797
50.478,269.038489,258.076950,362.052396,266.315797
50.585,269.040615,258.079455,362.760404,266.316882
50.696,269.041981,258.081244,362.647494,266.317667
50.806,269.043044,258.080564,362.664902,266.321147
50.921,269.040880,258.077451,362.040025,266.322493
51.025,269.039286,258.077737,362.277442,266.316096
51.146,269.042778,258.079455,362.824714,266.316882
51.247,269.044942,258.078238,361.794071,266.314749
51.364,269.044410,258.076950,360.987780,266.312355
51.493,269.040615,258.078918,358.033792,266.312093
51.602,269.040880,258.081244,357.987045,266.312093
51.718,269.040083,258.081780,361.147801,266.316096
51.827,269.041716,258.076950,362.863343,266.312916
51.937,269.044145,258.080993,361.975974,266.315535
52.044,269.043044,258.080063,362.239833,266.316358
52.161,269.044410,258.080492,363.164419,266.317143
52.265,269.043575,258.078918,363.789641,266.318752
52.386,269.043044,258.077451,363.889549,266.320885
52.491,269.042247,258.078775,361.577110,266.315535
52.606,269.044676,258.077737,361.458762,266.316620
52.734,269.044942,258.077737,363.710234,266.314188
52.842,269.046840,258.077451,368.306403,266.319276
52.953,269.043348,258.080993,367.972048,266.316358
53.064,269.040880,258.082031,362.190200,266.313664
53.177,269.041981,258.082317,362.154812,266.315535
53.281,269.040083,258.079812,362.016040,266.316882
53.402,269.043310,258.078238,365.886908,266.316358
53.520,269.043879,258.078775,364.964125,266.315797
53.622,269.044145,258.078667,360.921510,266.317368
53.742,269.044676,258.078667,360.222704,266.318977
53.858,269.043348,258.078775,359.030026,266.318752
53.972,269.042247,258.077201,358.194102,266.317667
54.081,269.044410,258.079956,359.437949,266.315011
54.197,269.048434,258.076950,361.576066,266.313141
54.299,269.044676,258.075376,361.917511,266.313440
54.418,269.041981,258.076664,362.157543,266.314787
54.525,269.044145,258.080743,361.994090,266.314487
54.640,269.044942,258.082818,362.336162,266.314749
54.766,269.040083,258.076950,362.392570,266.316096
54.872,269.039286,258.077737,362.141332,266.312879
54.987,269.041184,258.077737,362.561346,266.316620
55.093,269.038717,258.075913,362.991973,266.313664
55.214,269.041184,258.077988,363.198490,266.319313
55.317,269.039286,258.078489,363.522458,266.323279
55.432,269.040880,258.076950,363.785313,266.321670
55.559,269.042247,258.077988,364.145759,266.315797
55.669,269.046270,258.078667,364.334585,266.318191
55.777,269.046574,258.079168,364.192439,266.317368
55.892,269.041450,258.079168,363.165236,266.317405
56.007,269.039818,258.080564,362.623801,266.315797
56.112,269.035756,258.082031,362.634745,266.316096
56.228,269.038489,258.076950,362.538359,266.314525
56.334,269.039552,258.077737,362.361341,266.314487
56.449,269.039818,258.077737,362.331220,266.313402
56.578,269.039021,258.078238,362.485060,266.315535
56.686,269.041184,258.076950,362.509206,266.320062
56.792,269.041716,258.076664,362.602088,266.321670
56.907,269.040083,258.075913,362.606745,266.317667
57.019,269.042513,258.077737,362.590389,266.314749
57.125,269.047637,258.078381,362.670666,266.315535
57.246,269.044676,258.076270,362.804150,266.315535
57.352,269.042513,258.076521,362.954782,266.316882
57.476,269.042778,258.080063,363.059608,266.313440
57.596,269.045208,258.078667,363.062757,266.318715
57.706,269.043310,258.082818,363.057800,266.314749
57.820,269.047105,258.076950,363.066722,266.317143
57.927,269.042513,258.075913,363.084800,266.315011
58.041,269.045473,258.075734,363.085150,266.316096
58.148,269.044410,258.075483,363.037508,266.318191
58.267,269.047903,258.079168,363.044971,266.321670
58.370,269.057089,258.086360,362.871267,266.321633
58.484,269.040349,258.084106,362.871967,266.320885
58.593,269.038186,258.077988,362.841319,266.318228
58.708,269.040083,258.081530,362.920977,266.318490
58.839,269.041716,258.082031,362.930826,266.321147
58.943,269.034694,258.084034,362.797800,266.321670
59.058,269.036288,258.086360,362.736351,266.319538
