timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
9.637,269.525753,258.243607,363.315209,266.777156
9.753,269.524954,258.243070,363.230641,266.778244
9.865,269.529292,258.243177,363.325249,266.778244
9.992,269.532793,258.241637,363.322097,266.779294
10.084,269.532526,258.244144,363.303184,266.779556
10.188,269.540632,258.242676,363.433032,266.779331
10.317,269.566627,258.242926,363.228832,266.778506
10.425,269.599402,258.239524,363.303534,266.776631
10.545,269.636484,258.234010,363.105855,266.776631
10.644,269.599935,258.231503,363.048528,266.779819
10.752,269.622930,258.230465,362.837939,266.780119
10.875,269.615620,258.229964,362.728780,266.777456
10.979,269.605607,258.231503,362.757259,266.776631
11.100,269.598031,258.229856,362.907514,266.776369
11.217,269.589923,258.232971,363.031794,266.776894
11.334,269.563125,258.237555,363.227723,266.777944
11.437,269.578275,258.240670,363.409615,266.777456
11.552,269.585850,258.240849,363.775079,266.778506
11.661,269.587753,258.237806,363.974338,266.776631
11.776,269.593158,258.236767,364.323918,266.777156
11.879,269.601800,258.239381,364.476048,266.778769
11.997,269.608310,258.236266,364.585556,266.777719
12.128,269.607244,258.237304,364.585908,266.780381
12.230,269.610746,258.236767,364.512584,266.780119
12.345,269.630240,258.233759,364.504315,266.781169
12.451,269.652439,258.237054,364.605914,266.776631
12.567,269.666262,258.236767,364.838068,266.776369
12.671,269.668700,258.237806,364.906493,266.778506
12.791,269.651906,258.234798,364.905025,266.777719
12.895,269.618323,258.237806,364.816987,266.776369
13.011,269.617257,258.238486,364.555755,266.777194
13.144,269.650002,258.236875,364.470712,266.778806
13.248,269.531461,258.234010,364.560448,266.777981
13.362,269.519284,258.229964,364.383587,266.774756
13.466,269.514946,258.229964,364.252428,266.779069
13.584,269.514946,258.228639,364.412781,266.776594
13.691,269.515212,258.230357,364.517922,266.777719
13.805,269.518446,258.230357,364.872073,266.780644
13.910,269.517381,258.230214,364.718942,266.778206
14.029,269.515745,258.231682,364.441100,266.776631
14.135,269.518180,258.233222,364.310967,266.777981
14.251,269.520083,258.234690,364.280963,266.780644
14.379,269.517647,258.235478,364.173579,266.779556
14.483,269.516544,258.236767,364.243464,266.778244
14.597,269.515212,258.235335,364.313897,266.780644
14.704,269.517647,258.234010,364.379952,266.780907
14.820,269.516011,258.232721,364.365649,266.777681
14.925,269.513576,258.231933,364.290984,266.779294
15.044,269.509504,258.230214,364.429666,266.779031
15.150,269.513309,258.231933,364.442155,266.780907
15.264,269.511140,258.231253,364.394608,266.780907
15.390,269.509542,258.229426,364.364946,266.779556
15.495,269.511673,258.231002,364.348886,266.778506
15.614,269.512244,258.228137,364.302059,266.777681
15.717,269.509276,258.229677,364.363129,266.779556
15.834,269.509809,258.228388,364.339977,266.776894
15.939,269.509809,258.231933,364.306395,266.778806
16.056,269.511140,258.231145,364.310615,266.777456
16.186,269.508705,258.232184,364.269596,266.777944
16.290,269.508705,258.231145,364.227060,266.775281
16.404,269.508439,258.232470,364.275631,266.778244
16.507,269.509542,258.231432,364.280612,266.777681
16.625,269.511978,258.232721,364.195251,266.780907
16.729,269.512777,258.231682,364.215285,266.780907
16.857,269.507906,258.230214,364.215988,266.777981
16.968,269.510341,258.233222,364.235614,266.776631
17.074,269.510075,258.230751,364.252077,266.777456
17.189,269.511140,258.232184,364.252428,266.778769
17.293,269.511140,258.231432,364.249616,266.777194
17.413,269.509809,258.229426,364.217746,266.779069
17.543,269.509238,258.231145,364.178499,266.777194
17.644,269.508705,258.232721,364.186406,266.780644
17.757,269.507373,258.228388,364.181662,266.778806
17.864,269.505471,258.226848,364.179904,266.773443
17.980,269.506536,258.229426,364.156769,266.775844
18.082,269.511445,258.230357,364.065361,266.777194
18.202,269.509238,258.231253,364.087844,266.779031
18.334,269.508705,258.229677,364.059331,266.779294
18.436,269.509809,258.231253,364.046042,266.780907
18.546,269.511978,258.232184,364.048676,266.779819
18.654,269.511445,258.231432,364.055057,266.778806
18.766,269.512510,258.232721,364.031758,266.778244
18.872,269.511978,258.231790,364.004305,266.779031
18.988,269.511673,258.232470,364.045047,266.779031
19.115,269.509542,258.231933,364.044344,266.777681
19.221,269.510341,258.231933,363.973987,266.778206
19.335,269.510874,258.231503,363.879135,266.777194
19.439,269.511140,258.230107,363.879896,266.778806
19.557,269.509276,258.230895,363.918394,266.776631
19.662,269.507373,258.229176,363.921554,266.776106
19.776,269.507373,258.228639,363.897389,266.777419
19.902,269.510075,258.229677,363.895224,266.779031
20.008,269.507640,258.227887,363.888437,266.777681
20.124,269.509809,258.230107,363.844854,266.777981
20.228,269.511140,258.229677,363.885220,266.775281
20.347,269.510874,258.230107,363.718302,266.777456
20.451,269.509809,258.231682,362.965857,266.777719
20.572,269.507640,258.228818,358.063971,266.770481
20.691,269.509809,258.230644,353.015431,266.765156
20.799,269.511407,258.232721,349.727491,266.758255
20.914,269.511140,258.230895,350.433824,266.759305
21.017,269.511140,258.229176,350.129957,266.754768
21.137,269.512244,258.231933,350.826749,266.758218
21.240,269.514375,258.234547,351.135210,266.761968
21.356,269.512510,258.232470,351.676487,266.761180
21.483,269.518180,258.229856,351.151883,266.760355
21.591,269.518446,258.225094,350.325957,266.762755
21.703,269.521985,258.225094,350.602618,266.762230
21.811,269.528455,258.225273,350.433491,266.758255
21.929,269.571766,258.225882,350.376255,266.761443
22.033,269.570167,258.226562,350.602618,266.760880
22.148,269.553648,258.223303,350.433824,266.761705
22.257,269.545504,258.223805,350.209722,266.758743
22.369,269.536865,258.220797,349.919682,266.758518
22.497,269.538768,258.225380,349.876057,266.761180
22.602,269.538197,258.227099,349.891372,266.761968
22.718,269.528759,258.228639,349.622588,266.761180
22.820,269.525486,258.229964,349.543678,266.764105
22.940,269.529558,258.231253,349.333965,266.763055
23.045,269.525220,258.233222,349.390790,266.763843
23.161,269.521415,258.230465,349.457949,266.761180
23.296,269.522518,258.233222,349.457618,266.762230
23.397,269.522252,258.230107,349.420808,266.759305
23.507,269.519284,258.233222,349.586084,266.761705
23.617,269.521148,258.234941,349.538101,266.759605
23.734,269.519816,258.235585,349.510553,266.760880
23.839,269.521148,258.233902,349.580893,266.761180
23.960,269.519816,258.234010,349.493496,266.761180
24.060,269.521148,258.234189,349.540917,266.764105
24.178,269.520615,258.234010,349.635346,266.760093
24.310,269.519816,258.232291,349.589010,266.762230
24.413,269.516011,258.230465,349.629988,266.761705
24.525,269.517381,258.230751,349.436315,266.760618
24.630,269.516848,258.232971,349.314493,266.760355
