timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF,CH4_pF,CH5_pF,CH6_pF,CH7_pF
8.989,339.424959,347.821526,349.195543,351.566733,396.752903,350.082587,351.133098,355.443975
9.409,339.424959,347.805464,344.716752,351.563448,398.320975,350.089669,351.145936,355.384652
9.834,339.425647,343.471132,344.330611,351.370067,398.332709,349.713125,350.814261,354.278966
10.250,339.426018,347.493430,348.870756,351.167501,396.995027,349.630706,350.769088,354.236807
10.670,339.426335,343.223076,348.869049,351.170447,396.985208,349.631424,350.768033,354.253467
11.090,339.425965,347.477609,348.854955,351.162610,399.331170,349.623637,350.763150,354.246657
11.510,339.425965,347.472683,348.853909,351.149771,396.854873,349.607069,350.745672,354.238046
11.930,339.424271,347.460804,348.836952,351.140268,398.086472,349.597460,350.735796,354.214464
12.354,339.425965,347.432451,348.810144,351.101535,396.947328,349.553395,350.689694,354.133833
12.771,339.426335,343.129839,344.013016,351.080754,399.260252,349.535893,350.665786,354.089224
13.191,339.426653,347.354361,348.738762,351.048142,399.226673,349.509173,350.639996,354.119093
13.611,339.423636,343.146021,344.012638,351.095312,396.882328,349.557923,350.703562,354.154762
14.031,339.426335,343.148118,344.030607,351.099312,399.284001,349.565377,350.707390,354.176368
14.451,339.426335,343.168764,344.040267,351.111092,399.297984,349.577966,350.717265,354.183908
14.871,339.423954,347.428182,348.815814,351.108536,399.289420,349.574874,350.713659,354.184245
15.291,339.426335,343.150860,344.039619,351.097201,396.963647,349.562450,350.700955,354.147223
15.711,339.426653,347.429003,348.805300,351.101035,398.392852,349.551242,350.697349,354.119825
16.132,339.424271,347.405798,348.784825,351.084032,398.383916,349.536721,350.672886,354.080112
16.553,339.423954,343.122958,348.742889,351.038087,398.387451,349.476715,350.612267,354.043948
16.972,339.423954,343.101940,348.736230,351.039253,399.249750,349.496090,350.629292,354.034837
17.392,339.424271,347.375701,348.745806,351.041364,396.829277,349.472079,350.600899,354.042879
17.812,339.423954,343.170431,344.042425,351.100813,396.637254,349.536059,350.674661,354.032701
18.232,339.423954,343.132312,343.990570,351.041364,396.843998,349.468491,350.614041,354.002841
18.652,339.423954,343.161129,348.790824,351.090811,398.398587,349.538101,350.676048,353.971974
19.072,339.426653,347.397754,348.775248,351.066531,398.404789,349.513700,350.649202,353.978439
19.492,339.426335,343.132581,343.997423,351.064086,396.990715,349.519717,350.664067,353.987379
19.912,339.426653,343.110218,343.977460,351.041031,399.260921,349.506026,350.652308,353.998118
20.333,339.423954,343.102316,343.979510,351.041698,396.847578,349.498960,350.644488,354.006721
20.752,339.426335,343.146344,344.019545,351.081254,399.290959,349.539150,350.681429,354.069031
21.173,339.423954,347.382267,348.765452,351.067364,396.879012,349.526397,350.670668,354.065713
21.593,339.423954,347.364484,348.754555,351.061308,398.402521,349.517288,350.666840,354.076231
22.013,339.423954,347.369627,348.760114,351.064420,398.397453,349.514031,350.657688,354.055027
22.433,339.423954,347.369080,348.759178,351.056975,398.399387,349.498960,350.637389,354.024434
22.853,339.426653,343.171829,344.046149,351.112815,399.316651,349.570898,350.713992,354.129613
