Time,Ch0_Avg,Ch1_Avg,Ch2_Avg,Ch3_Avg
58,29216.497062674676,29652.29769509909,29327.91502579022,28843.648369003382
59,29217.523525915192,29652.956753282477,29328.60717755724,28844.949925768848
60,29228.72154293948,29667.664033090405,29351.053426661652,28862.093702653267
61,22327.013769489437,29696.89477686404,22514.679384592193,28887.15192597108
62,6830.71938780052,29702.782971283996,7109.604491440749,28893.126206988112
63,29229.08418703895,29667.242918582277,29339.32829262921,28865.31926980675
64,29226.304546577,29660.47455942744,29313.93290849746,28854.84923439915
65,18125.128736300234,29676.978894568714,29324.0348432085,16680.700786858655
66,6759.263337351589,29698.6545124853,29335.682174323127,6899.90622606946
67,29225.02865033979,29660.672952222423,29314.83752798493,28855.19676017264
68,29219.271340363353,29654.89593242268,29314.20850588052,28850.212610819915
69,29230.306152164903,23920.87771266798,24234.43501523648,28866.090453774894
70,29246.31805337436,6213.70246211689,6383.508240168453,28894.438232465433
71,29226.212523121005,24452.73315475046,24229.082576321234,28863.813116499412
72,29221.17821898441,29668.79957347635,29321.56566156557,28856.146038571944
73,29236.25601610067,16753.661926349418,29327.216291422814,14889.72223048536
74,29244.91016430367,6336.260435381799,29322.702184798727,6465.690871366081
75,29230.674375121092,19685.41773765138,29292.908731197356,21374.70993646937
76,29221.494224758553,29658.757436391134,29283.508174921782,28854.00916729404
77,21708.031193504678,29676.5583865622,24460.646674664607,28867.66772054913
78,24244.241088763723,29671.04783855847,29339.14759683043,23981.874848569903
79,29231.30176588345,24693.804732963166,21687.546002336505,28871.994208318858
80,29234.803379704244,21920.55547573756,29344.9003960645,19517.41208110444
81,29220.850459991823,29661.346486821596,29333.969528624722,28853.28891482173
82,29230.042446110405,29687.98847094651,29344.001228479818,28864.891319629984
