timestamp,CH0_pF
38.394,30888.463148,27243.824487
38.493,30883.663546,27243.574416
38.599,30877.938261,27243.599423
38.706,30872.537776,27243.692306
38.817,30859.479890,27243.720885
38.922,30842.888389,27243.520829
39.026,30836.309739,27243.667299
39.132,30837.174438,27243.574416
39.243,30836.103249,27243.624430
39.347,30835.647257,27243.795907
39.451,30835.445076,27243.770900
39.558,30834.520228,27243.588705
39.669,30835.062227,27243.495823
39.772,30834.137396,27243.667299
39.878,30834.055669,27243.824487
39.983,30832.838402,27243.563698
40.098,30833.152390,27243.510112
40.198,30833.152390,27243.485105
40.306,30833.694353,27243.435092
40.409,30833.380357,27243.574416
40.515,30834.305153,27243.417230
40.628,30834.253536,27243.667299
40.729,30834.137396,27243.692306
40.834,30833.909421,27243.460099
40.941,30834.167506,27243.495823
41.053,30834.253536,27243.574416
41.157,30834.047066,27243.563698
41.261,30834.687988,27243.667299
41.368,30834.597656,27244.203172
41.486,30835.118148,27243.995966
41.584,30835.324628,27243.874501
41.687,30835.668766,27243.720885
41.793,30835.561222,27243.813769
41.899,30835.845139,27243.720885
42.009,30835.500998,27243.745893
42.116,30835.759103,27243.917371
42.219,30835.819328,27243.745893
42.326,30835.905364,27243.824487
42.443,30835.759103,27243.770900
42.543,30835.819328,27243.624430
42.645,30836.021514,27243.692306
42.751,30836.486117,27243.849494
42.865,30836.946429,27243.874501
42.967,30837.845573,27243.942379
43.072,30839.093253,27243.642292
43.177,30840.801408,27243.892364
43.284,30842.720562,27243.692306
43.398,30844.717361,27243.692306
43.499,30847.325541,27243.863784
43.605,30848.341357,27243.863784
43.709,30847.678488,27243.795907
43.820,30846.193567,27243.770900
43.924,30845.152034,27243.795907
44.028,30844.799130,27243.838777
44.135,30844.923937,27243.692306
44.241,30846.370031,27243.838777
44.353,30848.780412,27243.642292
44.455,30909.390922,27243.824487
44.561,30851.961687,27243.520829
44.672,30846.774611,27243.667299
44.778,30845.259628,27243.863784
44.880,30844.540912,27243.928089
44.987,30844.050305,27243.978103
45.093,30844.334339,27244.031691
45.200,30845.152034,27244.453252
45.309,30846.864997,27244.203172
45.413,30899.153074,27244.074561
45.519,30845.298362,27244.031691
45.632,30843.697420,27243.863784
45.736,30842.711955,27243.953096
45.840,30842.191271,27243.953096
45.945,30841.558721,27243.795907
46.062,30841.382299,27243.953096
46.163,30841.296240,27243.667299
46.268,30841.726538,27243.849494
46.371,30842.918512,27243.770900
46.482,30845.466210,27243.942379
46.588,30851.389108,27243.795907
46.691,30845.182161,27243.942379
46.798,30844.312821,27243.892364
46.911,30844.747486,27243.928089
47.014,30845.031530,27243.824487
47.117,30844.975582,27243.824487
47.229,30844.799130,27243.667299
47.333,30851.910025,27243.849494
47.436,30900.926637,27243.795907
47.543,30845.031530,27243.770900
47.658,30843.675903,27243.874501
47.759,30843.155193,27243.917371
47.862,30842.742078,27244.006683
47.974,30842.514008,27243.824487
48.078,30842.802324,27243.849494
48.181,30843.555407,27243.863784
48.288,30844.373071,27243.942379
48.398,30903.028356,27243.942379
48.504,30849.843652,27243.967386
48.608,30848.311226,27243.863784
48.717,30847.415929,27243.720885
48.822,30847.824834,27243.978103
48.927,30847.936746,27243.824487
49.034,30848.281096,27244.488978
49.147,30848.771803,27244.178164
49.248,30890.119335,27243.874501
49.353,30862.382841,27243.795907
49.463,30845.380134,27244.031691
49.570,30844.218143,27243.667299
49.676,30844.278393,27243.795907
49.779,30844.540912,27243.795907
49.886,30844.312821,27243.692306
50.000,30844.218143,27243.903081
50.100,30844.480661,27243.849494
50.209,30845.091782,27243.788762
50.311,30920.497746,27243.942379
50.419,30852.116674,27244.020974
50.525,30848.113225,27243.978103
50.631,30847.876486,27243.720885
50.747,30847.471884,27243.770900
50.847,30847.613924,27243.770900
50.952,30847.876486,27243.928089
51.057,30847.936746,27243.874501
51.166,30848.014225,27243.903081
51.271,30856.435247,27243.874501
51.377,30895.455406,27243.892364
51.493,30848.978420,27243.942379
51.592,30847.209328,27243.770900
51.697,30847.295412,27243.795907
51.812,30847.325541,27243.863784
51.912,30847.613924,27243.720885
52.017,30847.760270,27243.824487
52.123,30848.074485,27243.824487
52.237,30849.705902,27243.813769
52.338,30891.072566,27243.692306
52.442,30849.645636,27244.228180
52.548,30846.951079,27244.006683
52.656,30846.628272,27244.045981
52.761,30846.864997,27244.617592
52.867,30846.920950,27244.281768
52.976,30846.834868,27244.124577
53.084,30847.502014,27244.045981
53.188,30848.022833,27243.903081
53.302,30906.826666,27243.953096
53.403,30861.598917,27243.978103
53.508,30850.373141,27243.824487
53.614,30849.094643,27244.056699
53.728,30848.664191,27243.942379
53.828,30847.846356,27243.745893
53.936,30847.846356,27243.720885
54.040,30848.664191,27243.917371
54.150,30849.383052,27243.942379
54.256,30850.170814,27243.953096
54.359,30894.476088,27244.045981
54.465,30852.951901,27244.006683
54.581,30850.256910,27243.874501
54.680,30848.715845,27243.824487
54.786,30848.281096,27243.928089
54.891,30847.648358,27243.795907
55.002,30848.083094,27243.720885
55.104,30849.215172,27243.745893
55.214,30850.661567,27243.745893
55.318,30906.679900,27243.903081
55.424,30851.823922,27243.824487
55.537,30847.562273,27243.903081
55.641,30845.763175,27243.874501
55.745,30844.984189,27243.874501
55.861,30844.480661,27243.874501
55.958,30843.822220,27243.849494
56.067,30843.706027,27243.928089
56.169,30844.945456,27243.863784
56.275,30848.427446,27243.978103
56.394,30902.320566,27244.074561
56.494,30848.367184,27244.006683
56.596,30845.702921,27244.321067
56.701,30845.238110,27244.124577
56.815,30845.152034,27244.149584
56.916,30844.312821,27243.967386
57.020,30843.990056,27244.056699
57.137,30844.510786,27243.967386
57.238,30845.931027,27243.928089
57.341,30867.315350,27243.745893
57.448,30852.422346,27244.124577
57.552,30847.936746,27243.903081
57.665,30847.355670,27243.731603
57.767,30847.553665,27243.967386
57.872,30847.846356,27243.745893
57.986,30847.936746,27243.874501
58.087,30847.760270,27244.031691
58.191,30848.832066,27243.720885
58.298,30851.879889,27243.892364
58.407,30865.484368,27243.995966
58.511,30847.906616,27243.795907
58.618,30846.017106,27243.745893
58.732,30845.672794,27243.624430
58.833,30845.526464,27243.745893
58.937,30845.900900,27243.978103
59.049,30846.512063,27243.849494
59.153,30847.209328,27243.599423
59.256,30877.071846,27243.624430
59.363,30850.515201,27243.720885
59.469,30845.031530,27243.720885
59.582,30844.166500,27243.770900
59.687,30843.873862,27243.574416
59.789,30843.645779,27243.653009
59.901,30843.697420,27243.642292
60.004,30843.882469,27243.692306
60.112,30844.287000,27243.667299
60.214,30846.107488,27243.510112
60.321,30869.779894,27243.599423
60.428,30843.064824,27244.203172
60.540,30841.412420,27244.149584
60.644,30840.577662,27243.967386
60.747,30840.655112,27243.863784
60.860,30840.943402,27243.770900
60.964,30841.373693,27244.020974
61.067,30841.902963,27243.824487
61.185,30842.191271,27243.903081
61.282,30843.959931,27244.124577
61.386,30866.561397,27244.149584
61.501,30843.181013,27243.824487
61.603,30841.412420,27243.813769
61.706,30840.801408,27243.745893
61.812,30840.861648,27243.995966
61.923,30841.098306,27243.692306
62.026,30841.580236,27243.978103
62.132,30841.786781,27244.045981
62.245,30843.469339,27243.928089
62.348,30908.220995,27243.849494
62.452,30844.777612,27243.967386
62.558,30843.004577,27243.824487
62.670,30842.604375,27243.995966
62.772,30842.772201,27244.031691
62.878,30843.026094,27243.953096
62.992,30842.397822,27243.967386
63.093,30843.912593,27243.795907
63.197,30905.691416,27243.903081
63.304,30855.789341,27243.892364
63.410,30848.948289,27244.074561
63.523,30846.834868,27243.928089
63.626,30846.339903,27244.006683
63.730,30846.537887,27244.031691
63.843,30847.032857,27243.770900
63.945,30847.325541,27243.795907
64.049,30847.583795,27243.967386
64.155,30849.736034,27243.978103
64.262,30896.309650,27244.374655
64.374,30853.042314,27244.178164
64.477,30851.703379,27244.099569
64.581,30850.571164,27243.795907
64.692,30849.822129,27244.099569
64.797,30849.443317,27243.917371
64.901,30850.424799,27244.006683
65.018,30851.496734,27243.978103
65.118,30851.879889,27243.903081
65.223,30901.854474,27243.849494
65.327,30850.691701,27244.056699
65.439,30847.415929,27244.031691
65.542,30847.239457,27243.903081
65.646,30846.920950,27243.824487
65.752,30846.430287,27244.045981
65.865,30846.981208,27243.942379
65.966,30847.730140,27244.006683
66.072,30847.992703,27243.942379
66.184,30849.124775,27244.045981
66.289,30927.025581,27243.967386
66.391,30844.106251,27243.692306
66.498,30842.229999,27243.720885
66.604,30841.877145,27243.863784
66.716,30841.847023,27243.703023
66.820,30841.089700,27243.692306
66.924,30840.392643,27243.745893
67.034,30841.382299,27243.667299
67.137,30843.822220,27243.745893
67.243,30915.759772,27243.617285
67.349,30845.556591,27243.849494
67.464,30842.750685,27243.824487
67.564,30840.655112,27243.642292
67.669,30839.523505,27243.795907
67.775,30838.482310,27243.824487
67.885,30835.819328,27243.892364
67.989,30832.662055,27243.928089
68.094,30830.133145,27244.410381
68.201,30829.006418,27244.228180
68.307,30828.658091,27244.074561
68.416,30828.541984,27243.953096
68.521,30828.404375,27243.917371
68.627,30828.404375,27243.824487
68.738,30828.374274,27243.824487
68.842,30828.365673,27243.928089
68.947,30828.197965,27243.874501
69.053,30828.021658,27243.824487
69.159,30828.425877,27244.099569
69.271,30828.395775,27244.006683
69.375,30828.511882,27243.978103
69.479,30828.434477,27243.917371
69.589,30828.541984,27244.306776
69.692,30828.511882,27244.031691
69.798,30828.572086,27243.995966
69.904,30828.197965,27244.099569
70.016,30828.258168,27244.081706
70.121,30828.305470,27243.995966
70.224,30828.632290,27243.917371
70.337,30828.374274,27243.942379
70.439,30828.658091,27244.178164
70.543,30829.122528,27243.978103
70.650,30830.576112,27243.942379
70.759,30832.683561,27244.124577
70.864,30834.855749,27243.953096
70.976,30836.456004,27243.892364
71.076,30837.518607,27244.031691
71.181,30838.396264,27243.953096
71.288,30839.523505,27243.745893
71.404,30934.968911,27243.720885
71.503,30940.273371,27243.917371
71.609,30842.427944,27243.720885
71.714,30840.577662,27243.770900
71.826,30839.553623,27243.720885
71.930,30838.774872,27244.385373
72.033,30838.572660,27244.149584
72.146,30839.179303,27244.099569
72.248,30840.052728,27243.770900
72.353,30841.205878,27243.720885
72.459,30956.242536,27243.574416
72.571,30844.687235,27243.824487
72.676,30841.296240,27243.624430
72.779,30839.643978,27243.642292
72.892,30839.321286,27243.520829
72.993,30839.906438,27243.588705
73.098,30840.508817,27243.617285
73.204,30840.801408,27243.642292
73.313,30841.352178,27243.470816
