timestamp,CH0_pF
27.829,348.457070,253.345726
27.940,348.498571,253.346876
28.049,348.429259,253.345586
28.157,348.450144,253.346248
28.261,348.407552,253.346492
28.381,348.388868,253.346876
28.467,348.323488,253.346632
28.579,348.014296,253.347259
28.691,347.292378,253.346492
28.807,347.005810,253.346248
28.894,346.757020,253.346004
29.000,346.264566,253.344192
29.106,346.339798,253.447867
29.213,346.635776,253.466489
29.319,347.085481,253.595465
29.438,347.280071,253.599164
29.541,346.850149,253.604539
29.652,346.282323,253.601991
29.759,345.871252,253.603631
29.860,345.592670,253.604923
29.966,345.463326,253.603282
30.076,345.441449,253.604399
30.189,345.497040,253.602759
30.288,345.523157,253.605446
30.400,345.512080,253.603143
30.506,345.528641,253.603631
30.613,345.549928,253.605167
30.703,345.555739,253.603631
30.810,345.598482,253.605795
30.917,345.637539,253.606563
31.024,345.696978,253.605167
31.131,345.732464,253.604155
31.237,345.722736,253.604678
31.342,345.719910,253.603527
31.453,345.724095,253.603003
31.555,345.745345,253.602619
31.663,345.738714,253.604678
31.769,345.746377,253.606458
31.875,345.727573,253.604923
31.984,345.727301,253.605167
32.093,345.725508,253.605027
32.201,345.728334,253.605935
32.307,345.719204,253.606703
32.407,345.701543,253.607226
32.513,345.696978,253.606074
32.620,345.700728,253.604399
32.729,345.694153,253.606214
32.838,345.702141,253.604155
32.940,345.726160,253.603387
33.049,345.717845,253.607331
33.157,345.713009,253.604155
33.262,345.697304,253.604155
33.365,345.688991,253.604678
33.471,345.708118,253.603143
33.599,345.728932,253.603003
33.684,345.735942,253.606074
33.791,345.738388,253.606074
33.897,345.743606,253.605167
34.004,345.718552,253.605446
34.110,345.718552,253.607610
34.216,345.726867,253.608099
34.323,345.739747,253.606982
34.447,345.752628,253.607854
34.551,345.749802,253.603911
34.642,345.757193,253.606563
34.749,345.767901,253.604678
34.855,345.769967,253.606703
34.962,345.750128,253.607331
35.069,345.748062,253.605935
35.176,345.750508,253.606842
35.281,345.750562,253.605935
35.388,345.796494,253.604678
35.507,345.731758,253.606982
35.614,345.329982,253.603387
35.724,344.647924,253.487519
35.820,344.430263,253.341788
35.933,343.198339,253.334922
36.041,342.690869,253.332622
36.149,343.277831,253.377338
36.240,343.273743,253.467640
36.348,343.219688,253.421855
36.454,343.224851,253.590753
36.561,343.158764,253.601991
36.682,343.051740,253.603003
36.784,342.931067,253.603631
36.887,342.775721,253.602096
36.997,342.849971,253.601328
37.104,342.821138,253.602096
37.205,342.714964,253.602375
37.320,342.718345,253.601747
37.418,342.725268,253.599164
37.525,342.664791,253.597908
37.630,342.567965,253.595988
37.739,342.631850,253.595465
37.838,342.687435,253.596233
37.960,342.678152,253.592533
38.068,342.729722,253.596512
38.166,342.836172,253.600700
38.270,342.847877,253.599932
38.371,342.710402,253.596756
38.478,342.874029,253.598920
38.583,342.940735,253.499134
38.690,343.246848,253.348932
38.796,343.194951,253.337710
38.902,343.023527,253.328406
39.028,343.220011,253.358621
39.116,342.980543,253.141409
39.237,342.955830,253.118749
39.341,342.923117,253.084642
39.448,343.123657,253.098493
39.555,343.478023,253.094804
39.657,343.580014,253.085651
39.762,343.553085,253.092159
39.867,343.657532,253.089097
39.969,343.532029,253.089236
40.076,343.502090,253.089236
40.182,343.612387,253.090628
40.291,343.386301,253.090245
40.397,343.349440,253.090871
40.510,343.107853,253.091881
40.617,342.967864,253.091881
40.720,342.929992,253.092159
40.830,342.936223,253.089862
40.933,343.018745,253.090628
41.042,342.801811,253.088714
41.147,342.989891,253.091393
41.254,342.970604,253.092403
41.365,343.005258,253.092646
41.472,343.139140,253.096092
41.574,342.968186,253.093934
41.693,342.835474,253.096474
41.779,342.804280,253.095952
41.900,342.651754,253.092159
41.992,342.635659,253.094038
42.116,342.695376,253.096335
42.205,342.272632,253.096857
42.330,342.242422,253.097623
42.433,342.655509,253.096614
42.544,342.397099,253.095848
42.651,342.524044,253.097727
42.759,342.525062,253.096857
42.864,342.526457,253.099154
42.951,342.326740,253.101068
43.077,342.313721,253.101556
43.165,342.302416,253.102843
43.288,342.215002,253.101556
43.390,341.956373,253.100790
43.494,341.959797,253.101173
43.601,342.197169,253.104757
43.716,341.425920,253.105628
43.808,342.008376,253.107403
43.927,341.784876,253.106915
44.024,341.554377,253.106393
44.128,341.690117,253.106393
44.232,341.755798,253.104862
44.340,341.750987,253.107298
44.445,341.832083,253.107403
44.551,341.781509,253.105523
44.657,341.750987,253.106393
44.768,341.788939,253.105245
44.868,341.842670,253.105106
44.974,341.835826,253.105106
45.092,341.854326,253.105001
45.194,341.870796,253.104235
45.300,341.878978,253.106532
45.405,341.908446,253.104479
45.507,341.944711,253.106637
45.613,341.948509,253.106915
45.720,341.873203,253.107298
45.826,342.047118,253.106150
45.933,342.886380,253.106010
46.055,343.644494,253.104479
46.158,343.744454,253.106010
46.265,343.616534,253.104235
46.368,343.390768,253.105767
46.473,343.302308,253.106637
46.580,343.290903,253.106637
46.681,343.290580,253.103713
46.793,343.249269,253.105106
46.895,343.193499,253.104479
47.002,343.165646,253.105767
47.105,343.128119,253.105245
47.212,343.083396,253.104757
47.321,342.981295,253.105245
47.424,342.942777,253.103226
47.531,342.918659,253.104618
47.652,342.896692,253.107159
47.752,342.926608,253.105245
47.851,342.867101,253.105245
47.960,342.838642,253.106915
48.063,342.941326,253.105523
48.170,343.052815,253.106532
48.276,343.127420,253.106915
48.383,343.039057,253.107159
48.489,343.088556,253.107542
48.596,342.877090,253.106393
48.703,342.955508,253.106393
48.809,343.118120,253.105001
48.915,343.023205,253.105001
49.022,343.091297,253.107159
49.128,343.181508,253.107403
49.235,343.117798,253.106532
49.341,343.309194,253.106776
49.447,343.366659,253.108934
49.554,343.374946,253.107681
49.661,343.490676,253.108168
49.767,343.452129,253.106289
49.888,343.456597,253.106532
49.981,343.490353,253.106637
50.087,343.479639,253.108064
50.194,343.461065,253.106393
50.301,343.437003,253.107925
50.407,343.447284,253.107403
50.514,343.454874,253.107681
50.633,343.443893,253.107159
50.735,343.472424,253.108447
50.843,343.497944,253.108934
50.946,343.511351,253.108447
51.053,343.557555,253.109212
51.162,343.480715,253.109700
51.273,343.522067,253.108307
51.374,343.488630,253.108690
51.480,343.342229,253.109456
51.587,343.123657,253.109317
51.692,343.001550,253.109456
51.797,342.942777,253.109212
51.902,342.881547,253.108168
52.009,342.584055,253.109317
52.112,342.531551,253.107159
52.223,342.543617,253.108307
52.325,342.688079,253.109978
52.431,342.607764,253.107159
52.540,342.584431,253.108690
52.647,342.669942,253.110987
52.752,342.617687,253.108690
52.862,342.659641,253.110465
52.964,342.742066,253.110465
53.078,342.708417,253.110744
53.181,342.671606,253.107820
53.289,342.608783,253.108690
53.396,342.442015,253.109456
53.498,342.379949,253.108447
53.606,342.387452,253.108307
53.710,342.316453,253.109700
53.816,342.335312,253.107055
53.923,342.311685,253.108690
54.029,342.281470,253.109456
54.136,342.212645,253.107681
54.242,342.252010,253.108934
54.349,342.203327,253.106289
54.455,342.392650,253.107681
54.561,342.393669,253.107925
54.686,342.382361,253.106010
54.775,342.480828,253.106776
54.881,342.461260,253.104479
55.009,342.457829,253.104479
55.094,342.436494,253.105245
55.215,342.544957,253.103992
55.324,342.578262,253.102321
55.426,342.587863,253.106532
55.536,342.649393,253.104235
55.626,342.716949,253.102843
55.733,342.623213,253.096718
55.839,342.782592,253.095570
55.946,342.994727,253.092646
56.055,343.063456,253.095326
56.159,343.307419,253.096335
56.266,343.306127,253.096857
56.372,343.492452,253.097727
56.480,343.338463,253.080953
56.590,343.434204,253.082728
56.692,343.555886,253.084259
56.802,343.394213,253.081197
56.909,343.558255,253.081441
57.017,343.483461,253.084642
57.124,343.382857,253.083737
57.224,343.671002,253.083355
57.333,343.468333,253.084364
57.441,343.472801,253.083250
57.546,343.562348,253.083250
57.653,343.389100,253.092403
57.757,343.771027,253.094038
57.868,343.506613,253.095082
57.972,343.807253,253.094804
58.077,343.552708,253.094700
58.182,343.524113,253.096335
58.289,343.591002,253.099259
58.395,343.610016,253.103992
58.502,343.610609,253.104131
58.608,343.638945,253.104235
58.722,343.664429,253.104757
58.824,343.701717,253.105767
58.931,343.705489,253.103992
59.035,343.791727,253.104479
59.148,343.750005,253.105628
59.248,343.824182,253.105767
59.358,343.752107,253.106010
59.462,343.691747,253.106393
59.567,343.786228,253.105245
59.674,343.737232,253.103992
59.785,343.784827,253.104235
59.889,343.778951,253.105523
59.993,343.781107,253.105245
60.102,343.809356,253.106637
60.206,343.745909,253.103713
60.318,343.746179,253.105001
60.420,343.782401,253.104757
60.525,343.768601,253.106010
60.632,343.788654,253.103470
60.738,343.778304,253.103992
60.861,343.776903,253.103992
60.968,343.817281,253.102704
61.073,343.802132,253.103992
61.172,343.787899,253.104479
61.272,343.839009,253.105001
61.381,343.818305,253.106637
61.483,343.860740,253.106010
61.604,343.898759,253.106010
61.700,343.972928,253.107159
61.803,344.004707,253.107403
61.910,343.732112,253.107925
62.031,343.771728,253.104757
62.133,343.796525,253.106532
62.232,343.752431,253.107159
62.342,343.797280,253.106637
62.444,343.753778,253.108934
62.550,343.552116,253.108168
62.658,342.973344,253.106915
62.761,341.780440,253.107055
62.868,340.250251,253.105767
62.985,339.080025,253.107542
63.085,338.535411,253.109212
63.194,338.084290,253.107159
63.296,338.022673,253.106150
63.403,337.539610,253.107542
63.513,337.468058,253.109839
63.615,337.476456,253.109456
63.727,337.205187,253.107820
63.830,337.383095,253.108307
63.938,337.584663,253.105523
64.039,337.470420,253.106915
64.145,337.450947,253.107159
64.251,337.498975,253.105106
64.358,337.647531,253.106010
64.464,337.482178,253.106010
64.571,337.389444,253.104479
64.677,337.763858,253.105767
64.784,337.602834,253.104479
64.890,337.179655,253.105767
64.997,337.469055,253.105001
65.103,337.850325,253.105523
65.210,337.531210,253.104235
65.317,337.503018,253.104235
65.424,337.177663,253.102948
65.530,337.054867,253.103226
65.637,337.174308,253.101938
65.743,337.586343,253.102321
65.850,337.780676,253.107820
65.956,337.699645,253.108064
66.063,337.605144,253.104479
66.173,337.522179,253.104479
66.276,337.639127,253.103992
66.382,337.650525,253.104757
66.491,337.315944,253.106637
66.599,337.655936,253.105245
66.705,337.836551,253.105767
66.812,337.851692,253.105523
66.916,337.975905,253.107925
67.021,338.001786,253.109839
67.127,337.829455,253.106915
67.234,337.730908,253.104479
67.340,337.774316,253.106393
67.447,337.781359,253.106150
67.553,337.666337,253.103609
67.660,337.845278,253.105767
67.767,338.171928,253.107159
67.873,339.342990,253.108934
67.980,341.780440,253.106010
68.086,343.295422,253.105245
68.192,343.552708,253.109456
68.299,343.832809,253.112136
68.406,344.134993,253.112136
68.512,344.107678,253.114155
68.618,343.639969,253.113667
68.725,343.439748,253.113667
68.831,343.211083,253.115547
68.938,343.071410,253.113911
69.044,342.927307,253.114155
69.151,342.536055,253.113389
69.257,342.393293,253.111092
69.364,342.429633,253.112519
69.470,342.446786,253.112136
69.577,342.468122,253.111370
69.684,342.504472,253.109978
69.790,342.542598,253.111370
69.896,342.567321,253.111858
70.005,342.515786,253.112136
70.109,342.466674,253.114433
70.220,342.486618,253.112380
70.322,342.473965,253.113911
70.428,342.447858,253.113772
70.536,342.406371,253.114294
70.642,342.340135,253.114677
70.748,342.385790,253.111858
70.855,342.401922,253.114677
70.962,342.402190,253.114920
71.069,342.318221,253.112623
71.175,342.390560,253.111858
71.281,342.437512,253.111614
71.387,342.426202,253.111753
71.498,342.467103,253.112519
71.605,342.475305,253.111753
71.708,342.538093,253.110465
71.815,342.632172,253.109700
71.926,342.738631,253.108934
72.033,342.810078,253.110605
72.139,342.820065,253.109700
72.242,342.794671,253.109212
72.352,342.681640,253.111614
72.452,342.640755,253.112623
72.559,342.617044,253.110605
72.665,342.307613,253.110465
72.777,342.007038,253.109700
72.885,341.954661,253.111509
72.988,341.878337,253.110465
73.091,341.965253,253.108690
73.197,341.961509,253.111231
73.304,341.878978,253.110848
73.410,341.018693,253.109456
73.517,339.557100,253.110465
73.623,341.004360,253.110082
73.735,343.047978,253.111231
73.838,344.509463,253.110987
73.949,345.438355,253.111370
74.051,345.665355,253.109700
74.160,345.850752,253.110605
74.262,345.824709,253.110744
74.369,345.798559,253.110744
74.475,345.868533,253.109560
74.592,345.955826,253.110465
74.700,345.911224,253.109978
74.803,345.997987,253.110465
74.909,346.333205,253.111509
75.015,346.613792,253.106393
75.121,346.613465,253.109456
75.226,346.642758,253.108934
75.333,346.813952,253.107403
75.442,347.111060,253.108168
75.542,347.699417,253.109212
75.651,348.221167,253.108690
75.756,348.735515,253.110605
75.859,348.815208,253.106637
75.979,348.412388,253.106532
76.078,348.433986,253.107159
76.181,348.432117,253.110326
76.289,348.428325,253.108168
76.393,348.326290,253.108447
76.503,348.175431,253.108934
76.610,348.026147,253.108934
76.714,348.008645,253.108064
76.825,347.972493,253.108447
76.926,348.012102,253.108447
77.032,348.090514,253.108447
77.138,348.009688,253.108586
77.245,347.925433,253.107159
