timestamp,CH0_pF
7.693,329.172999,252.163548
7.799,329.229474,252.161229
7.911,329.195385,252.162787
8.012,329.178469,252.159879
8.121,329.175278,252.163272
8.224,329.105601,252.160744
8.331,329.140893,252.157836
8.437,329.221319,252.159602
8.543,329.359091,252.160640
8.650,329.490201,252.165072
8.756,329.524994,252.168465
8.863,329.251207,252.163029
8.974,328.426807,252.161506
9.084,327.859516,252.158079
9.186,327.434769,252.157075
9.289,327.193997,252.160467
9.395,326.850334,252.161229
9.501,326.529164,252.162787
9.614,326.777253,252.160640
9.714,326.727243,252.165072
9.822,326.793592,252.163029
9.927,326.902778,252.163895
10.034,326.981768,252.163133
10.143,327.007050,252.170092
10.250,327.059731,252.171373
10.356,326.889290,252.170611
10.460,326.844569,252.169746
10.569,326.771189,252.167461
10.674,326.680400,252.160640
10.787,326.716270,252.157317
10.887,326.639977,252.158598
10.993,326.586542,252.171373
11.098,326.767581,252.177605
11.204,326.725640,252.178470
11.313,326.799105,252.181379
11.418,326.865775,252.179751
11.526,326.894304,252.170092
11.630,327.081610,252.167218
11.736,327.032737,252.168742
11.855,327.085072,252.166180
11.954,327.008354,252.165556
12.057,326.945755,252.166457
12.163,326.878610,252.163548
12.269,326.848830,252.165833
12.375,326.756406,252.167980
12.484,326.734659,252.167461
12.590,326.560255,252.164552
12.695,326.530817,252.175320
12.802,326.493574,252.176081
12.908,326.545235,252.176670
13.016,326.623049,252.176081
13.125,326.565362,252.177605
13.227,326.572422,252.177328
13.334,326.341762,252.178193
13.442,325.916440,252.175804
13.552,328.006195,252.175043
13.657,329.133196,252.173762
13.759,329.673709,252.174281
13.866,329.962432,252.171892
13.972,330.015087,252.172896
14.079,329.999787,252.174939
14.185,329.910095,252.171373
14.292,329.851572,252.172515
14.403,329.712032,252.174420
14.511,329.614993,252.176081
14.614,329.506227,252.174039
14.717,329.366897,252.178851
14.824,329.351387,252.173000
14.930,329.299797,252.170092
15.040,329.260884,252.172411
15.146,328.776342,252.172135
15.250,328.622297,252.173173
15.362,328.535364,252.173658
15.472,328.379614,252.172896
15.569,327.893306,252.176324
15.675,324.753693,252.177085
15.782,324.753048,252.175804
15.890,324.720913,252.178367
15.996,324.718777,252.179232
16.101,324.689130,252.175804
16.209,324.785485,252.177709
16.318,324.896393,252.178367
16.425,325.066738,252.180513
16.528,325.161512,252.180756
16.635,325.233875,252.183283
16.741,325.273401,252.179994
16.848,325.324685,252.179751
16.956,325.483143,252.177328
17.060,325.717970,252.177605
17.170,325.865321,252.180998
17.277,326.012969,252.179371
17.379,326.142070,252.167703
17.490,326.196851,252.165314
17.599,326.235245,252.164552
17.699,326.156814,252.163548
17.805,326.081058,252.161506
17.917,326.003029,252.161748
18.021,325.859931,252.163029
18.125,325.851895,252.160225
18.236,326.065320,252.162268
18.338,326.003029,252.163029
18.443,325.998884,252.161748
18.549,325.998584,252.161506
18.665,326.004977,252.157594
18.765,326.004328,252.159879
