timestamp,CH0_pF
9.395,315.641684,252.946228
9.480,318.755943,252.948906
9.586,319.120393,252.947098
9.693,317.194966,252.945707
9.799,317.245730,252.947619
9.905,317.160009,252.946089
10.016,317.378818,252.948906
10.123,315.677640,252.947376
10.230,315.835796,252.946576
10.336,315.663858,252.949149
10.448,316.083490,252.947376
10.556,316.203737,252.945811
10.660,316.090323,252.946576
10.761,316.487934,252.946089
10.865,316.719495,252.948628
10.972,321.154313,252.946854
11.081,320.111145,252.947376
11.184,318.671522,252.949393
11.290,316.244567,252.949149
11.396,315.707879,252.948906
11.502,315.797284,252.949393
11.615,315.859612,252.947863
11.721,315.491959,252.948384
11.830,315.175637,252.947619
11.932,314.388500,252.947619
12.039,311.787963,252.946089
12.144,310.943926,252.947863
12.248,310.431439,252.948141
12.354,312.845678,252.946854
12.460,311.474094,252.947619
12.572,312.195159,252.946472
12.673,312.547161,252.944942
12.779,312.506873,252.945985
12.886,312.568319,252.945985
12.993,312.470869,252.947376
13.099,312.222714,252.947376
13.206,311.941410,252.947515
13.312,314.725770,252.946228
13.419,320.786430,252.947376
13.525,321.102357,252.946333
13.652,320.796190,252.945463
13.758,320.813322,252.944177
13.862,320.321094,252.946089
13.951,320.809173,252.947376
14.058,321.044793,252.947863
14.164,320.510280,252.946472
14.271,320.888792,252.945707
14.382,320.677236,252.945707
14.484,320.193436,252.943168
14.592,320.010257,252.944455
14.697,320.565951,252.943168
14.803,320.601496,252.943690
14.910,320.545621,252.945985
15.017,320.486934,252.946089
15.123,320.454136,252.945985
15.230,320.278923,252.944177
15.337,319.188752,252.946089
15.443,320.482304,252.946750
15.550,320.574288,252.944177
15.656,320.507551,252.945220
15.763,320.306387,252.943933
15.869,320.054809,252.944455
15.976,319.921859,252.945463
16.083,319.615850,252.942890
16.189,319.605995,252.941360
16.297,320.078743,252.942647
16.402,320.623440,252.942403
16.513,320.715336,252.941882
16.622,320.762079,252.944177
16.722,320.533142,252.941882
16.830,320.286568,252.944942
16.934,320.096452,252.944177
17.040,320.716604,252.944698
17.147,320.862868,252.939726
17.253,320.746708,252.942021
17.359,320.928881,252.943168
17.466,321.108612,252.942403
17.572,322.047078,252.944455
17.680,320.660067,252.943690
