timestamp,CH0_pF
11.421,328.117173,252.466144
11.527,328.177473,252.436981
11.646,328.020052,252.432785
11.744,328.001056,252.441662
11.847,328.157456,252.454214
11.954,328.236881,252.452064
12.060,328.502690,252.463855
12.166,328.630482,252.448250
12.285,328.637606,252.439027
12.385,328.719068,252.454214
12.485,328.862759,252.462329
12.600,328.913594,252.450816
12.700,328.958519,252.443188
12.805,328.948501,252.443950
12.912,329.032707,252.447626
13.018,329.456124,252.441662
13.132,329.392951,252.440379
13.232,329.352705,252.443569
13.341,329.348447,252.475646
13.448,329.346217,252.462606
13.551,329.329341,252.469924
13.658,329.333243,252.466005
13.775,329.307955,252.451302
13.877,329.296199,252.481611
13.978,329.343582,252.468814
14.084,329.283633,252.459936
14.196,328.552788,252.461982
14.298,328.156245,252.460179
14.404,328.152313,252.456018
14.510,328.164615,252.478455
14.617,328.110418,252.456885
14.728,328.144851,252.469924
14.831,328.161691,252.466248
14.942,328.144548,252.452931
15.045,328.169809,252.449533
15.149,328.156548,252.468814
15.256,328.191340,252.458168
15.374,328.193963,252.452689
15.472,328.193307,252.459416
15.579,328.198148,252.457370
15.687,328.187861,252.470444
15.789,328.163002,252.469057
15.896,328.187508,252.490767
16.014,328.206217,252.465658
16.109,328.196887,252.465138
16.220,328.134566,252.477935
16.322,328.139406,252.455255
16.429,328.089499,252.459173
16.536,328.129424,252.447626
16.648,328.062937,252.443950
16.751,328.760771,252.455601
16.856,331.821506,252.407788
16.962,332.885346,252.391738
17.072,332.589755,252.409834
17.176,332.495042,252.393124
17.282,332.428925,252.403004
17.388,332.248549,252.408828
17.498,331.981606,252.408967
17.605,331.940289,252.407442
17.708,331.785801,252.396764
17.816,331.786825,252.400959
17.921,331.677643,252.415797
18.027,331.683224,252.408551
18.134,331.755274,252.404634
18.249,331.793023,252.397804
18.347,332.052518,252.398567
18.463,332.841243,252.410354
18.563,333.127263,252.399954
18.666,333.202805,252.409071
18.773,333.231822,252.404391
18.880,333.269761,252.390698
18.991,333.007612,252.387405
19.093,332.960500,252.392084
19.199,332.996696,252.394754
19.308,332.961787,252.395759
19.411,332.923898,252.396660
19.518,332.812275,252.414271
19.624,332.612784,252.402242
19.738,332.419115,252.394996
19.838,333.234760,252.401722
19.948,333.471831,252.406922
20.051,333.886630,252.402484
20.157,333.998461,252.416559
20.275,333.897536,252.406679
20.375,333.819443,252.409210
20.479,333.772166,252.393887
20.584,333.707388,252.397284
20.696,333.744372,252.404876
20.797,333.798619,252.418952
20.903,333.764881,252.414514
21.010,333.955438,252.400959
21.123,334.008390,252.417704
21.224,333.941841,252.402484
21.329,333.806577,252.401999
21.436,331.169288,252.398428
21.542,329.803983,252.414791
21.649,329.386767,252.418189
21.758,329.781639,252.412503
21.862,329.761785,252.406922
21.976,329.914617,252.417842
22.077,330.181006,252.412746
22.182,330.261492,252.408204
22.289,330.404473,252.402242
22.403,330.470674,252.403247
22.505,330.473271,252.400439
22.608,330.431868,252.393610
22.719,330.733885,252.384493
22.821,330.334473,252.385256
22.927,329.768285,252.386642
23.034,329.391532,252.399434
23.146,329.355543,252.410354
23.249,329.000316,252.401202
23.353,328.935195,252.411740
23.464,329.019446,252.394476
23.567,329.716550,252.392604
23.673,329.965990,252.409071
23.779,330.020932,252.397562
23.890,330.804720,252.405396
23.995,331.018276,252.392327
24.099,330.781157,252.393124
24.209,330.969271,252.400335
24.315,331.018940,252.412226
24.419,331.129087,252.405154
24.525,331.215066,252.401999
24.637,331.296834,252.411116
24.739,331.090527,252.396764
24.845,331.081335,252.400716
24.954,330.758004,252.411983
25.057,330.584788,252.393610
25.164,330.436145,252.386261
25.278,330.425350,252.392847
25.380,330.157914,252.395655
25.488,328.160077,252.405396
25.594,327.154788,252.389693
25.697,327.130393,252.389935
25.804,327.107606,252.401202
25.914,327.143895,252.399572
26.020,327.110768,252.392847
26.123,327.121007,252.391322
26.233,327.170250,252.397804
26.339,327.274595,252.397804
26.443,327.460806,252.408828
26.555,327.547432,252.390975
26.658,329.868437,252.397562
26.763,330.854966,252.407962
26.875,330.773966,252.410596
26.976,330.655833,252.441176
27.081,331.007453,252.428867
27.188,331.313856,252.411983
27.300,331.034001,252.420234
27.406,331.230446,252.413647
27.508,330.986626,252.414514
27.619,330.901702,252.416663
27.723,331.402870,252.411116
27.828,327.648779,252.418085
27.944,326.946056,252.406679
28.046,326.768583,252.418085
28.149,326.866427,252.422627
28.261,327.293229,252.412884
28.362,327.268517,252.403004
28.467,327.300764,252.401479
28.574,327.363410,252.401202
28.680,327.462465,252.393714
28.786,327.782185,252.403871
28.893,327.989114,252.408066
29.003,328.057242,252.399434
29.105,328.317293,252.416317
29.217,328.336012,252.412399
29.318,328.380270,252.413509
29.424,328.536323,252.391842
29.543,328.501074,252.389935
29.643,328.469416,252.385880
29.747,328.615577,252.386885
29.858,328.735546,252.396764
29.960,328.698043,252.394754
30.063,328.631138,252.384736
30.173,328.761074,252.385013
30.277,328.863316,252.398914
