timestamp,CH0_pF
7.234,347.105102,252.945707
7.341,353.461339,252.943551
7.448,317.372042,252.945707
7.557,313.007505,252.946854
7.663,316.087790,252.945707
7.771,322.169659,252.945220
7.884,322.666953,252.943933
7.997,322.554085,252.945811
8.086,322.615776,252.946333
8.193,322.396588,252.945985
8.313,321.738148,252.943412
8.429,321.861542,252.943933
8.524,321.938838,252.942647
8.628,320.983874,252.943933
8.735,321.061455,252.943168
8.838,320.816885,252.944698
8.944,320.595547,252.945220
9.046,321.189658,252.943690
9.151,321.831140,252.944455
9.263,321.961993,252.944177
9.369,321.227503,252.944942
9.472,321.488481,252.945707
9.577,322.268037,252.946854
9.686,322.248191,252.944698
9.790,322.001931,252.945707
9.896,321.930793,252.946854
10.002,321.924858,252.948384
10.109,321.868162,252.947515
10.216,322.158905,252.946750
10.322,322.202365,252.947619
10.428,322.367049,252.946472
10.535,322.559053,252.948628
10.646,322.677780,252.948628
10.755,322.735321,252.948141
10.860,322.874779,252.946576
10.968,322.809176,252.948141
11.077,322.788937,252.945568
11.178,322.821093,252.944942
11.283,322.790562,252.944455
11.388,322.765697,252.943412
11.496,322.834046,252.947863
11.606,322.698599,252.948628
11.709,322.530672,252.947098
11.816,322.273343,252.947098
11.926,322.103917,252.948384
12.029,321.956057,252.946993
12.133,321.857373,252.949149
12.238,321.563053,252.945707
12.345,321.487649,252.947619
12.451,321.451816,252.945568
12.561,321.448782,252.945220
12.671,321.520305,252.947515
12.771,321.600814,252.945220
12.882,321.530587,252.948141
12.987,321.603704,252.945707
13.096,321.779664,252.942299
13.196,321.642304,252.943412
13.303,321.655140,252.942403
13.413,321.675767,252.942403
13.516,321.693112,252.942542
13.628,321.681695,252.944177
13.731,321.337161,252.943933
13.837,321.879735,252.945220
13.945,321.745402,252.944942
14.049,321.024273,252.946576
14.155,321.420688,252.944455
14.261,321.798782,252.946472
14.368,321.863013,252.943412
14.474,319.790883,252.944942
14.585,319.936541,252.945220
14.690,319.653768,252.943690
14.794,319.527754,252.944177
14.901,320.413694,252.946089
15.012,322.051887,252.945811
15.119,320.720751,252.944177
15.225,320.221376,252.946333
15.325,321.941879,252.946854
15.440,321.655140,252.947515
15.540,320.368582,252.943412
15.645,321.510659,252.946750
15.754,321.350468,252.945811
15.858,321.837269,252.947863
15.969,321.650143,252.945707
16.072,321.531224,252.943933
16.181,321.938985,252.942890
16.284,322.083153,252.944698
16.397,321.164628,252.943690
16.500,322.073778,252.943168
16.604,322.078784,252.943690
16.709,322.006003,252.943933
16.816,321.908917,252.942786
16.926,321.937562,252.941882
17.029,321.976368,252.942403
17.138,322.072845,252.940247
17.243,322.115356,252.942125
17.354,322.110544,252.941882
17.459,322.137939,252.941256
17.562,322.151638,252.940769
17.667,322.270444,252.942403
17.774,322.271722,252.942299
17.884,322.279631,252.942021
17.990,322.119381,252.943933
18.093,322.071225,252.942125
18.199,322.333336,252.942403
18.312,322.209192,252.944177
18.414,322.108728,252.945707
18.522,322.153897,252.944942
18.631,322.195440,252.944698
18.735,322.386905,252.946472
18.839,322.418365,252.943412
18.945,322.468709,252.944698
19.056,322.521180,252.944177
19.159,322.599934,252.944177
19.270,322.659079,252.945220
19.372,323.293131,252.945811
19.476,322.609134,252.946576
19.585,319.273999,252.949671
19.689,331.244806,252.945707
19.810,412.224803,252.946089
19.910,424.959122,252.948906
20.020,444.327592,252.946333
20.123,452.437550,252.945707
20.235,451.131627,252.946854
20.347,439.303340,252.945707
20.442,423.927425,252.944177
20.553,423.210126,252.945811
20.661,421.914458,252.944942
20.754,420.375106,252.945707
20.873,417.049621,252.944177
20.976,415.490830,252.944177
21.090,414.618424,252.943933
21.180,411.666881,252.942542
21.305,414.539939,252.943412
21.394,427.161878,252.942403
21.500,466.604911,252.943933
21.613,470.513969,252.943168
21.721,473.327791,252.944698
21.822,476.277096,252.944177
21.928,474.464836,252.945463
22.033,470.364252,252.944455
22.139,468.057954,252.943412
22.246,467.507099,252.941012
22.358,467.401901,252.943307
22.467,467.025706,252.944698
22.572,461.900661,252.944455
22.677,462.414864,252.945707
22.781,463.102980,252.946333
22.892,419.550401,252.944942
22.995,415.042584,252.945985
23.098,418.736066,252.943168
23.207,447.940196,252.945811
23.310,443.927913,252.945707
23.425,437.662246,252.945220
23.529,453.114391,252.945463
23.634,454.233742,252.944177
23.738,457.196897,252.945707
23.844,422.380398,252.943412
23.949,434.020531,252.944698
24.056,430.614681,252.945707
24.162,437.483481,252.946089
24.268,426.299565,252.944455
24.375,430.192228,252.948384
24.481,430.460368,252.945707
24.588,435.504771,252.945985
24.700,435.574278,252.944177
24.804,435.630593,252.944698
24.907,435.438087,252.944698
25.019,435.665131,252.943168
25.120,436.089173,252.943412
25.227,437.108954,252.945220
25.333,438.372468,252.946576
25.441,439.199631,252.946333
25.550,439.446977,252.948628
25.655,440.219281,252.945707
25.763,440.311544,252.947758
25.870,439.758540,252.947619
25.971,439.137347,252.947098
26.078,437.937858,252.948141
26.185,436.299592,252.948628
26.304,428.923720,252.947376
26.402,427.762405,252.947619
26.505,427.795007,252.944942
26.610,428.240925,252.944698
26.717,427.820810,252.945568
26.833,426.976989,252.946576
26.934,426.237637,252.945985
27.039,453.785133,252.947863
27.144,445.905397,252.948002
27.250,451.498546,252.949149
27.356,449.924707,252.948628
27.471,437.244835,252.947515
27.571,428.027685,252.945463
27.676,426.642905,252.947237
27.797,433.202135,252.946854
27.895,432.543244,252.947237
27.999,427.641049,252.944698
28.102,427.051683,252.946333
28.209,426.635762,252.947758
28.315,426.303095,252.948384
28.420,443.429438,252.944942
28.527,425.782698,252.946576
28.639,425.072637,252.946854
28.742,424.734858,252.945811
28.848,424.766467,252.946576
28.960,424.485837,252.946089
29.064,448.039167,252.945707
29.169,323.726649,252.948628
29.279,322.404453,252.944942
29.384,322.634179,252.947376
29.485,321.585239,252.946750
29.595,320.300153,252.945707
29.698,320.038515,252.947098
29.807,320.893626,252.946854
29.917,320.517007,252.948002
30.018,320.555566,252.946993
30.128,320.802438,252.946576
30.233,321.326105,252.948384
30.337,321.640051,252.949671
30.443,322.112165,252.946576
30.550,322.008751,252.946993
30.657,321.775154,252.946993
30.763,321.862522,252.945707
30.876,322.774855,252.948384
30.979,323.116771,252.944942
31.087,323.378474,252.946854
31.195,323.550148,252.947237
31.297,323.389336,252.947619
31.409,323.328271,252.947619
31.512,323.518184,252.945220
31.615,323.865288,252.945985
31.721,323.653926,252.947098
31.828,323.645375,252.944942
31.936,323.526977,252.944455
32.041,323.370230,252.947863
32.153,323.373143,252.945707
32.257,323.294069,252.944177
32.361,323.275612,252.944698
32.471,323.228145,252.946089
32.574,323.186213,252.944942
32.679,323.122294,252.944455
32.786,323.284051,252.946089
32.893,323.252766,252.946333
32.999,323.200321,252.948141
33.118,323.259427,252.947515
33.218,323.288097,252.945220
33.329,323.201949,252.945220
33.431,323.092018,252.946854
33.533,323.054499,252.943690
33.639,323.092659,252.945463
33.750,323.042815,252.945463
33.855,323.252124,252.944177
33.960,323.290367,252.944455
34.067,323.320966,252.945707
34.170,323.561808,252.946854
34.277,323.572530,252.946333
34.398,323.475753,252.945985
34.494,323.459702,252.945985
34.602,323.473283,252.945220
34.706,324.083533,252.946089
34.811,324.036045,252.946576
34.921,323.975102,252.946854
35.022,323.797763,252.945463
35.129,323.785893,252.946750
35.235,323.891264,252.947376
35.342,324.134053,252.946854
35.453,324.111764,252.948384
35.561,323.862814,252.947376
35.666,323.811217,252.948141
35.773,323.828283,252.942021
35.874,323.812157,252.947098
35.980,323.852622,252.946089
36.087,323.870681,252.945985
36.194,323.897944,252.944455
36.300,323.970400,252.945463
36.412,324.003715,252.945463
36.517,324.028717,252.945220
36.621,324.037827,252.945463
36.726,323.999606,252.945220
36.839,323.855739,252.943168
36.940,323.981438,252.944177
37.045,324.140889,252.941638
37.152,324.231312,252.944177
37.258,324.253464,252.943168
37.365,324.301098,252.943690
37.472,324.343882,252.944942
37.579,324.341651,252.943412
37.687,324.309723,252.944942
37.797,324.328959,252.942403
37.904,324.375963,252.940769
38.009,324.289696,252.943933
38.116,324.250986,252.941360
38.217,324.251631,252.943412
38.324,324.219270,252.942125
38.434,324.211292,252.942403
38.541,324.210003,252.944942
38.645,324.241421,252.945463
38.750,324.352509,252.946750
38.858,324.420200,252.944455
38.966,324.494460,252.944698
39.070,324.484240,252.944698
39.176,323.582264,252.946576
39.282,324.413505,252.947376
39.389,324.379186,252.945220
39.495,324.624933,252.945463
39.608,324.874227,252.944942
39.708,325.217001,252.946750
39.815,325.579936,252.945463
39.922,326.307151,252.944177
40.028,326.702493,252.943168
40.134,326.403846,252.944942
40.257,326.714417,252.944942
40.350,326.713465,252.945220
40.453,326.715970,252.945707
40.577,326.828277,252.945707
