timestamp,CH0_pF
12.910,328.293025,252.405396
13.019,327.897889,252.401202
13.123,328.437761,252.396938
13.230,329.953590,252.383973
13.343,330.861853,252.381685
13.443,330.499350,252.403871
13.551,330.250756,252.400716
13.657,330.021237,252.399330
13.762,330.258490,252.398324
13.876,330.454733,252.391842
13.974,330.569451,252.396764
14.090,330.569451,252.392847
14.189,330.207408,252.389693
14.294,330.232846,252.389554
14.401,330.187924,252.386885
14.510,330.140723,252.382691
14.622,330.002379,252.388653
14.722,329.395486,252.376902
14.829,328.840052,252.377907
14.933,328.749447,252.385602
15.052,328.712851,252.381581
15.152,328.688289,252.378774
15.253,328.714469,252.383973
15.360,328.746819,252.384216
15.465,328.735192,252.383453
15.572,328.749447,252.385013
15.684,328.753946,252.378254
15.790,328.765573,252.379779
15.899,328.722910,252.373990
15.999,328.717754,252.377387
16.105,328.725437,252.378531
16.210,328.714216,252.381928
16.316,328.695061,252.381061
16.433,332.079391,252.399572
16.534,334.897490,252.391565
16.640,337.737319,252.388167
16.743,338.985022,252.389277
16.849,339.607255,252.394130
16.960,339.838305,252.390213
17.069,340.019223,252.386122
17.169,340.138425,252.388167
17.275,340.262467,252.392847
17.383,340.364469,252.392604
17.492,340.536962,252.388410
17.595,340.747419,252.389173
17.701,340.924612,252.399191
17.812,341.051785,252.400335
17.919,341.274275,252.395412
18.021,341.453891,252.399954
18.127,341.502100,252.391218
18.234,341.623493,252.380576
18.340,341.710637,252.389173
18.447,341.757829,252.398810
18.557,341.518172,252.392847
18.660,341.606719,252.390802
18.766,341.728112,252.395759
18.872,341.901600,252.396764
18.985,341.992699,252.402762
19.089,342.005701,252.397804
19.194,342.146142,252.393124
19.298,342.099194,252.399330
19.404,342.155351,252.404114
19.518,342.198883,252.404391
19.622,342.311363,252.406922
19.724,342.329472,252.407546
19.835,342.372071,252.405639
19.937,342.312381,252.414271
20.043,342.289399,252.407199
20.149,340.885787,252.404287
20.264,334.044801,252.401202
20.363,326.762469,252.398047
20.479,326.560906,252.400439
20.578,325.858283,252.403767
20.682,325.851545,252.402762
20.788,326.371926,252.406159
20.901,326.776952,252.419992
21.002,326.913659,252.428105
21.111,327.171455,252.413751
21.214,327.108258,252.419472
21.320,327.279718,252.412399
21.437,327.392303,252.405396
21.535,327.518067,252.397042
21.644,327.808311,252.399330
21.748,328.143943,252.396279
21.852,328.254384,252.392327
21.959,329.031138,252.395759
22.075,329.239809,252.402762
22.171,329.391279,252.397804
22.282,329.445526,252.398810
22.387,329.480160,252.402762
