timestamp,CH0_pF
6.850,331.513200,252.957808
6.963,330.614447,252.957286
7.055,326.673337,252.957530
7.161,323.123724,252.958816
7.267,322.831583,252.958816
7.374,321.011425,252.957808
7.483,318.856603,252.957808
7.588,320.826305,252.956417
7.696,316.927651,252.956521
7.806,316.902137,252.954122
7.910,315.440739,252.955130
8.015,323.534931,252.954887
8.122,325.758229,252.952070
8.228,326.039442,252.956521
8.334,326.280596,252.954365
8.447,325.542201,252.952209
8.553,317.066547,252.955130
8.655,318.593464,252.953600
8.759,318.928898,252.954713
8.870,319.285293,252.954991
8.974,320.383781,252.953600
9.086,318.702173,252.953844
9.188,322.696040,252.954887
9.296,322.753585,252.954887
9.399,318.458679,252.953600
9.506,315.306958,252.953079
9.615,315.236647,252.954991
9.724,315.541189,252.954713
9.832,314.138966,252.953844
9.934,314.481734,252.956139
10.037,315.045250,252.956521
10.142,321.123226,252.954609
10.249,321.595818,252.954365
10.355,322.037066,252.954609
10.462,322.291226,252.954122
10.572,322.571007,252.954609
10.676,322.521820,252.953600
10.783,322.692939,252.953357
10.889,322.698501,252.952592
10.995,322.407550,252.954365
11.101,313.291791,252.953844
11.208,312.845678,252.953357
11.315,316.431554,252.954713
11.438,319.454343,252.954122
11.545,320.906614,252.951827
11.642,321.235033,252.951548
11.760,321.606790,252.951827
11.847,321.684929,252.954887
11.954,321.601157,252.955478
12.060,321.712762,252.953600
12.167,321.525936,252.955235
12.273,321.205695,252.956278
12.400,321.231219,252.953600
12.486,321.188045,252.954991
12.606,321.128016,252.954122
12.719,321.165263,252.955652
12.806,321.089211,252.954887
12.913,321.110225,252.954609
13.019,321.276309,252.955130
13.125,321.337161,252.954609
13.232,321.448782,252.953357
13.346,321.447313,252.954991
13.454,321.468068,252.954122
13.557,321.678315,252.954713
13.670,321.579460,252.955895
13.785,321.570742,252.954122
13.872,321.578627,252.955130
13.979,321.596798,252.957286
14.084,321.583280,252.956765
14.191,321.597141,252.954609
14.297,321.560654,252.955130
14.404,321.598071,252.955478
14.511,321.659500,252.953844
14.632,321.631233,252.952070
14.742,321.629127,252.954470
14.849,321.647301,252.954122
14.937,321.693945,252.955130
15.063,321.715311,252.956278
15.168,321.753930,252.956765
15.256,321.802508,252.956278
15.379,321.812951,252.955235
15.480,321.952524,252.956000
15.593,321.940947,252.954991
15.702,321.928390,252.955895
15.802,321.949434,252.955130
15.896,321.963955,252.956660
16.017,322.027889,252.956000
16.125,321.833886,252.956000
16.216,321.864631,252.955895
16.322,322.140984,252.957286
16.439,322.061851,252.954122
16.539,322.049286,252.954122
16.649,322.104555,252.953844
16.759,322.122130,252.954887
16.872,322.130035,252.956139
16.976,322.130673,252.957286
17.089,322.060918,252.954609
