timestamp,CH0_pF
9.928,330.524158,252.365117
10.024,330.429882,252.360023
10.131,330.585094,252.349002
10.238,330.772385,252.351913
10.350,330.513358,252.352155
10.452,330.592330,252.357596
10.560,330.748213,252.360023
10.663,330.369343,252.360265
10.770,330.458298,252.363592
10.883,330.268311,252.366746
10.993,329.779303,252.361790
11.089,329.620422,252.368029
11.195,329.454197,252.365707
11.308,328.497893,252.371945
11.418,328.006195,252.369381
11.515,327.880162,252.380819
11.621,327.924986,252.402346
11.728,327.983975,252.403351
11.841,327.849798,252.399330
11.941,327.975915,252.396002
12.047,328.436449,252.394650
12.154,328.535061,252.399954
12.261,328.313710,252.397284
12.369,328.496227,252.403004
12.475,329.182774,252.392604
12.583,329.227144,252.380576
12.686,329.259921,252.381061
12.793,329.249586,252.378531
12.901,329.248927,252.380403
13.008,329.233628,252.386781
13.113,328.844907,252.387128
13.219,328.859169,252.387128
13.335,328.873077,252.374337
13.432,328.827764,252.380299
13.539,328.699963,252.378774
13.645,328.560920,252.375620
13.757,328.514406,252.380819
13.865,328.448464,252.383973
13.965,328.364827,252.391461
14.078,328.368309,252.387647
14.178,328.360890,252.379779
14.284,328.338334,252.393610
14.391,328.301450,252.393367
14.498,328.316990,252.393887
14.608,328.356046,252.392847
14.713,328.340201,252.393367
14.818,328.351807,252.389173
14.924,328.397985,252.384216
15.033,328.384408,252.372708
15.143,328.394149,252.377387
15.245,328.434228,252.374337
15.350,328.408080,252.371945
15.456,328.330866,252.380576
15.563,328.371841,252.373713
15.676,328.306344,252.381685
15.778,328.368662,252.386538
15.884,328.455582,252.385360
15.993,328.465225,252.384216
16.095,328.403790,252.389450
16.202,328.375778,252.390213
16.317,328.377090,252.389173
16.417,328.321884,252.395516
16.527,328.367653,252.392847
16.627,328.441295,252.393887
16.734,328.437408,252.401202
16.850,328.505922,252.399572
16.948,328.485623,252.392847
17.053,328.493298,252.389173
17.161,328.468759,252.382344
17.267,328.506326,252.390559
17.373,328.577690,252.394892
17.484,328.584458,252.394996
17.588,328.575770,252.387647
17.694,328.671814,252.392327
17.799,328.647913,252.387647
17.905,328.555061,252.380680
18.020,328.582893,252.385013
18.118,328.587085,252.398324
18.227,328.626894,252.392604
18.334,328.638515,252.399191
18.438,328.633665,252.393367
18.544,328.626238,252.399572
18.659,328.603301,252.397562
18.758,328.619771,252.396522
18.872,328.599108,252.413266
18.972,328.680810,252.413647
19.077,333.641286,252.410076
19.183,333.702740,252.406436
19.295,333.554040,252.396764
19.397,333.705736,252.396279
19.505,333.786374,252.395239
19.610,333.838977,252.396764
19.722,333.758630,252.391322
19.831,333.734506,252.395135
19.933,333.809884,252.400439
20.036,333.829727,252.401999
20.142,333.795674,252.396764
20.260,333.883632,252.391565
20.356,334.001408,252.393367
20.466,333.954456,252.385117
20.568,333.982223,252.398428
20.675,334.249825,252.397042
20.781,334.227927,252.395135
20.888,334.233880,252.412642
20.998,333.985171,252.398914
21.101,333.925969,252.391079
21.211,334.028922,252.383211
21.315,334.034508,252.387647
21.420,333.928605,252.386261
21.526,333.996134,252.387128
21.638,333.931604,252.394372
21.748,333.872054,252.391079
21.848,333.876034,252.401999
21.955,333.818151,252.392847
22.060,333.710384,252.393610
22.166,332.084981,252.398428
22.276,327.699445,252.398914
22.386,326.435019,252.391218
22.486,326.568266,252.393991
22.592,326.659962,252.400196
22.699,326.707703,252.394996
22.809,326.770838,252.397042
22.912,326.844268,252.406922
23.024,326.903329,252.395135
23.128,326.994208,252.392327
23.231,327.089539,252.381581
23.338,327.271430,252.395759
23.455,327.340299,252.392604
23.553,327.547432,252.392084
23.662,327.614975,252.389693
23.766,327.714944,252.393991
23.870,327.972741,252.381339
23.977,327.899501,252.380923
24.083,328.043938,252.384736
24.196,328.145204,252.388930
24.295,328.123324,252.385256
24.402,328.241774,252.380056
24.508,328.254585,252.375100
24.617,328.219128,252.381061
24.721,328.293429,252.386642
24.827,328.375425,252.380819
24.938,328.375425,252.388653
