timestamp,CH0_pF
8.531,335.774675,252.949393
8.637,327.801213,252.957808
8.744,323.057358,252.956278
8.850,331.166019,252.955235
8.957,326.994509,252.955478
9.063,322.608150,252.956904
9.169,323.236286,252.955235
9.276,320.831284,252.956521
9.382,322.541788,252.956904
9.510,321.926427,252.954991
9.609,322.571695,252.954609
9.715,313.762690,252.954609
9.811,314.446020,252.954713
9.919,314.865328,252.955652
10.025,313.822599,252.954609
10.136,316.283826,252.958295
10.241,314.219254,252.955652
10.346,314.413488,252.954365
10.455,312.091494,252.951688
10.555,312.565827,252.955235
10.659,312.359744,252.953600
10.766,322.626109,252.954365
10.873,323.295056,252.955235
10.980,323.130037,252.956417
11.087,323.180097,252.955478
11.192,323.051048,252.955235
11.298,322.772639,252.954365
11.405,322.812672,252.953600
11.511,322.938135,252.957043
11.618,325.841613,252.958295
11.724,320.822791,252.957808
11.831,323.194303,252.954609
11.938,323.313020,252.954609
12.045,323.357938,252.953357
12.151,323.363565,252.955478
12.257,323.394520,252.954609
12.364,323.432787,252.954991
12.470,323.405037,252.956000
12.577,323.408295,252.957286
12.684,323.342388,252.954991
12.790,323.376203,252.954365
12.898,323.387065,252.953844
13.003,323.446516,252.952835
13.110,323.578657,252.953079
13.216,323.406666,252.954122
13.323,322.652238,252.954609
13.429,322.184980,252.954365
13.536,321.719672,252.953079
13.666,321.764027,252.955652
13.749,321.507428,252.957530
13.856,319.330477,252.956000
13.982,324.797855,252.955478
14.070,324.624635,252.954609
14.176,327.153232,252.956278
14.282,328.897356,252.955235
14.389,328.799245,252.957286
14.495,328.652107,252.954122
14.602,328.933678,252.955130
14.708,330.623621,252.957530
14.832,331.209854,252.955478
14.921,330.838641,252.953844
15.047,331.214504,252.956278
15.135,331.059837,252.956000
15.241,331.051973,252.955478
15.347,331.079343,252.957043
15.454,330.832418,252.957530
15.560,331.205000,252.956521
15.667,331.339059,252.955756
15.773,331.295556,252.954887
15.883,331.354447,252.956521
15.986,330.985962,252.955235
16.093,328.437761,252.954887
16.200,328.570214,252.953844
16.306,328.807032,252.953079
16.412,329.018788,252.954365
16.519,329.055079,252.954609
16.625,328.961758,252.952314
16.732,328.944252,252.954609
16.838,329.047284,252.956765
16.945,329.080693,252.956000
17.051,329.107930,252.957286
17.157,329.173050,252.954365
17.264,329.318040,252.954713
17.383,329.319256,252.956278
17.487,329.341909,252.956000
17.597,329.364667,252.957808
17.690,329.375007,252.957808
17.797,329.382509,252.958573
17.904,329.393256,252.955235
18.010,329.495120,252.956000
18.116,329.462361,252.954609
18.223,329.475647,252.956765
18.329,329.448467,252.955652
18.436,329.386767,252.954609
18.544,329.371814,252.954991
18.652,329.434169,252.956278
18.756,329.294628,252.954470
18.862,329.337804,252.954713
18.969,329.458811,252.956000
19.075,329.538639,252.956521
19.182,329.535747,252.957286
19.292,329.554567,252.955235
19.394,329.628237,252.955235
19.505,329.707920,252.958051
19.611,329.681170,252.957043
19.718,329.433459,252.956278
19.822,329.523726,252.954991
19.927,329.263164,252.956000
20.036,329.424738,252.955478
20.140,329.363450,252.954991
20.246,329.534428,252.956000
20.355,329.654219,252.956000
20.460,329.695483,252.956278
20.566,329.825821,252.954122
20.672,329.996229,252.956521
20.786,330.084735,252.954991
20.896,329.847255,252.958051
21.002,320.003400,252.956000
21.108,316.340169,252.957043
21.207,314.622465,252.955756
21.314,315.660424,252.955756
21.418,316.487934,252.952835
21.527,317.750495,252.953600
21.630,312.573727,252.954365
21.741,313.356951,252.954887
21.845,314.580891,252.954365
21.952,315.549911,252.955235
22.064,315.752816,252.951305
22.165,316.622770,252.952835
22.272,316.468597,252.954470
22.380,319.137880,252.956139
22.484,321.482851,252.954991
22.596,321.093560,252.956278
22.700,316.205171,252.954122
22.806,315.396057,252.954122
22.910,315.527415,252.955374
23.019,314.950826,252.955235
23.127,315.198097,252.954887
23.230,314.929627,252.958051
23.338,314.768037,252.957530
23.441,314.765710,252.956139
23.547,315.320908,252.956765
23.654,315.684174,252.954991
23.765,315.191816,252.953844
23.867,315.460845,252.955374
23.973,316.142554,252.955895
24.080,315.977731,252.955895
24.186,315.736214,252.953357
24.297,315.549911,252.956000
24.399,316.340934,252.954365
24.508,316.288991,252.955130
24.614,315.768942,252.955756
24.722,315.896273,252.955130
24.826,315.706925,252.954470
24.936,315.576557,252.955235
25.040,315.752625,252.954991
25.147,315.825153,252.955478
25.252,315.823578,252.955895
25.365,316.287413,252.956000
25.470,316.113402,252.954609
25.570,316.145087,252.953844
25.679,315.485240,252.954365
25.788,315.899233,252.957286
25.894,316.458881,252.955235
26.003,316.599829,252.956765
26.104,316.748295,252.955895
26.210,315.404488,252.952592
26.321,315.286676,252.954609
26.423,315.535708,252.953844
26.534,315.629143,252.956904
26.636,315.830784,252.955478
26.742,315.712697,252.957286
26.849,322.638854,252.954122
26.955,324.766062,252.953844
27.062,324.635706,252.954713
27.172,324.435378,252.956000
27.276,324.810574,252.954122
27.382,325.605113,252.954122
27.487,325.776540,252.954122
27.594,325.867817,252.953600
27.700,325.884839,252.954365
27.807,315.345431,252.954365
27.914,315.367480,252.956521
28.020,315.402154,252.956765
28.126,318.351392,252.956765
28.233,323.624765,252.953357
28.344,323.928329,252.956139
28.448,323.753154,252.954991
28.559,323.959361,252.953844
28.662,323.783618,252.953357
28.766,323.791877,252.957286
28.872,323.819676,252.957808
28.995,323.942929,252.953357
29.085,323.683339,252.955895
29.192,323.463208,252.954609
29.299,323.180738,252.954609
29.407,322.969032,252.955478
29.511,317.330570,252.955235
29.621,314.736360,252.955756
29.725,315.130485,252.956521
29.833,315.184963,252.957530
29.938,316.013982,252.956904
30.045,315.135956,252.957530
30.154,314.805751,252.956521
30.257,316.968615,252.955235
30.368,315.231840,252.954122
30.469,316.695585,252.956765
30.577,319.493495,252.954609
30.687,320.077770,252.954713
30.788,319.661294,252.952835
30.894,319.659983,252.955478
31.001,320.375938,252.958295
31.107,321.716928,252.955756
31.214,323.532115,252.956521
31.320,323.965054,252.954365
31.427,323.939366,252.956000
31.533,324.236019,252.954991
31.639,324.455368,252.957808
31.746,324.291332,252.955374
31.852,324.174527,252.957530
31.959,323.547233,252.958051
32.066,323.269148,252.954991
32.172,322.978789,252.955235
32.279,322.105537,252.957286
32.385,321.890721,252.956139
32.491,321.841143,252.956765
32.598,321.675130,252.957286
32.709,321.526866,252.957286
32.811,321.352719,252.955235
32.917,321.081196,252.956278
33.023,320.522759,252.954122
33.130,320.443075,252.954609
33.236,319.640076,252.955756
33.342,319.422812,252.954713
33.449,319.253787,252.955235
33.556,318.881086,252.953600
33.662,319.155854,252.954887
33.772,319.312829,252.955756
33.875,319.822611,252.955652
33.982,320.110367,252.955756
34.088,321.276113,252.953600
34.195,321.363679,252.957530
34.301,321.399938,252.957043
34.407,321.470466,252.956660
34.514,321.481725,252.956521
34.621,321.638777,252.955756
34.727,321.683606,252.955478
34.834,321.521578,252.956521
34.940,321.608063,252.956000
35.050,321.665772,252.955130
35.153,321.714968,252.953357
35.260,321.702423,252.953079
35.366,321.629421,252.953844
35.473,321.652886,252.954991
35.579,321.583917,252.953844
35.686,321.710312,252.953600
35.795,321.652250,252.954365
35.901,321.700021,252.955478
36.005,321.705657,252.955235
36.112,321.537638,252.957286
36.218,321.678952,252.958295
36.325,321.729768,252.954991
36.431,321.751970,252.955756
36.538,321.825698,252.956278
36.644,321.706784,252.955756
36.751,321.928684,252.957530
36.857,321.944773,252.956660
36.964,322.087178,252.955756
37.071,322.001145,252.954991
37.177,321.931431,252.956000
37.284,321.956547,252.956000
37.390,321.929959,252.958573
37.497,321.978281,252.956417
37.603,321.964249,252.956660
37.709,321.970088,252.957286
37.816,321.943694,252.957286
37.922,321.639708,252.957043
38.031,321.682479,252.956000
38.137,321.596455,252.954991
38.242,321.656414,252.955756
38.350,321.643578,252.955756
38.455,321.466795,252.954122
38.561,321.619770,252.956417
38.681,321.679295,252.956417
38.775,321.759224,252.958051
38.881,321.823247,252.958295
38.988,321.900824,252.958051
39.094,321.999379,252.954365
39.201,321.998103,252.953600
39.315,322.065581,252.956000
39.425,322.080061,252.957530
39.532,322.076526,252.954365
39.639,322.073140,252.952592
39.749,322.081386,252.954365
39.839,322.121836,252.954365
39.946,322.153062,252.954991
40.053,322.136319,252.958051
40.159,322.198829,252.957530
40.276,322.284446,252.954365
40.391,322.297368,252.954887
40.479,322.319134,252.954991
40.587,322.623206,252.954609
40.692,323.067563,252.954365
40.799,323.559881,252.956000
40.905,324.569886,252.954122
41.014,324.479180,252.952835
41.123,324.495105,252.954122
