timestamp,CH0_pF
16.874,329.713656,252.181517
16.977,329.224915,252.183906
17.083,329.293007,252.196718
17.188,329.216152,252.304890
17.301,328.764057,252.373332
17.401,328.458106,252.396418
17.509,328.352210,252.403247
17.614,328.159422,252.398810
17.720,328.205914,252.392604
17.828,328.716137,252.377249
17.937,328.722606,252.380819
18.040,328.669540,252.363073
18.149,328.691574,252.370663
18.252,328.681568,252.367752
18.359,328.855578,252.380056
18.467,328.848498,252.328971
18.573,328.931603,252.322873
18.679,328.894422,252.321348
18.786,328.406111,252.320239
18.891,328.366694,252.328694
18.998,328.356702,252.330981
19.104,327.490767,252.317432
19.210,327.612460,252.317432
19.317,327.443565,252.337323
19.423,327.387529,252.339852
19.533,327.507257,252.341135
19.641,327.606022,252.338744
19.743,327.705886,252.327447
19.854,327.805996,252.329976
19.962,327.822156,252.338501
20.062,327.029777,252.322873
20.168,327.142590,252.328694
20.280,327.048190,252.331501
20.385,327.044377,252.335174
20.488,326.945103,252.338744
20.600,326.877306,252.346714
20.704,326.784670,252.335174
20.807,326.693876,252.337461
20.920,326.682053,252.347962
21.020,326.520504,252.328105
21.126,326.514397,252.338605
21.233,326.590448,252.340615
21.343,326.587493,252.340130
21.450,326.625202,252.352675
21.552,326.653801,252.363073
21.658,326.677795,252.357111
21.768,326.596106,252.356072
21.874,326.571420,252.359503
21.978,326.431766,252.343526
22.085,326.549290,252.341655
22.194,326.540028,252.340372
22.302,326.642932,252.337565
22.404,326.791386,252.342763
22.516,326.817049,252.347962
22.621,326.825319,252.332541
22.723,327.051351,252.335798
22.830,326.927149,252.338848
22.940,326.942796,252.349002
23.043,327.029877,252.330981
23.150,327.129740,252.341897
23.257,327.296494,252.324155
23.369,327.349895,252.335694
23.475,327.452814,252.337461
23.577,327.484935,252.353680
23.688,327.332462,252.353923
23.793,327.304229,252.369381
23.899,327.243557,252.357111
24.002,326.934471,252.363315
24.120,326.704196,252.361028
24.215,326.329958,252.359919
24.325,325.632486,252.351635
24.431,325.683254,252.369034
24.535,325.753489,252.359260
24.647,325.822748,252.359919
24.750,325.850247,252.359399
24.856,325.889581,252.352155
24.961,326.115185,252.355066
25.068,326.202599,252.355309
25.180,326.245094,252.345848
25.285,326.273945,252.356349
25.389,326.358720,252.344046
25.493,326.410050,252.339090
25.606,326.424711,252.342763
25.714,326.440123,252.342278
25.813,326.466947,252.329110
25.920,326.496827,252.326546
26.032,326.512795,252.328105
26.132,326.566313,252.334169
26.241,326.616638,252.337080
26.345,326.620444,252.336699
26.451,326.632364,252.336803
26.558,326.565662,252.330981
26.666,327.668551,252.339090
26.777,328.349284,252.342417
26.877,329.071935,252.344566
26.983,329.605504,252.349002
27.093,328.899329,252.339090
27.202,328.709667,252.350388
27.303,328.850065,252.352918
27.416,329.092337,252.354824
27.516,328.650440,252.340615
27.626,328.345650,252.340476
27.730,328.250449,252.343526
27.835,328.316637,252.340372
27.954,328.370277,252.343283
28.049,328.469719,252.347373
28.157,328.411008,252.354304
28.262,328.392837,252.359641
28.372,328.582589,252.353160
28.475,328.561223,252.348724
28.581,328.580316,252.341135
28.692,328.584206,252.340372
28.795,328.658575,252.345848
28.901,328.654937,252.344046
29.010,328.669187,252.350769
29.113,328.696375,252.350526
29.220,328.672471,252.355586
29.334,328.683437,252.354720
29.435,328.713256,252.359260
29.540,328.755261,252.349002
29.651,328.760114,252.351635
29.752,328.735849,252.353160
29.858,328.662820,252.347719
29.970,327.507156,252.354720
30.073,327.102386,252.356072
30.178,326.503234,252.355066
30.289,326.527212,252.349764
30.392,326.529515,252.349625
30.498,326.551893,252.348239
30.604,326.567965,252.339852
30.716,326.907893,252.343041
30.818,327.170551,252.347199
30.924,327.179839,252.350284
31.034,327.291069,252.340615
31.139,327.409741,252.347199
31.243,327.456684,252.355725
31.361,327.445425,252.349002
31.459,327.387178,252.346194
31.566,327.437031,252.347199
31.676,327.327337,252.351150
31.780,327.249333,252.353438
31.882,327.179186,252.351635
31.989,327.167941,252.357111
32.102,327.118397,252.347962
32.203,327.036951,252.353680
32.308,327.014124,252.358636
32.419,326.952827,252.355968
32.523,326.920078,252.368271
32.628,326.899519,252.361790
32.734,326.891446,252.364078
32.845,326.900170,252.364078
32.949,326.598360,252.370143
33.054,326.712813,252.370663
33.162,326.777604,252.363419
33.267,326.855247,252.355482
33.373,326.991248,252.351289
33.489,327.209361,252.349487
33.586,327.011565,252.359156
33.693,326.908544,252.359156
33.800,326.807726,252.345328
33.907,326.916167,252.347477
34.011,326.928453,252.347199
34.121,326.907241,252.365221
34.224,326.897864,252.344808
34.332,326.889591,252.358636
34.436,326.924190,252.346610
