timestamp,CH0_pF
12.204,321.748588,252.943064
12.321,321.744569,252.942125
12.418,321.632507,252.944177
12.540,322.271525,252.942403
12.627,323.008705,252.941638
12.759,325.925028,252.943064
12.850,325.216155,252.940769
12.952,324.363567,252.942299
13.053,322.601213,252.942021
13.166,321.151136,252.944942
13.265,320.528364,252.942125
13.377,317.450777,252.941777
13.478,318.842766,252.941256
13.590,318.852152,252.941882
13.691,318.251443,252.941256
13.804,318.042521,252.941777
13.904,317.518959,252.943690
14.019,315.318385,252.940769
14.117,315.849303,252.939726
14.228,313.896480,252.940491
14.330,314.077597,252.941882
14.444,314.480880,252.942890
14.543,315.695478,252.941012
14.655,315.607974,252.940491
14.756,316.261637,252.942647
14.871,316.553331,252.940769
14.969,314.929912,252.939482
15.080,319.215161,252.937431
15.182,318.765180,252.939726
15.289,321.370578,252.942542
15.409,321.431406,252.939482
15.505,321.910192,252.940491
15.616,321.629421,252.937848
15.714,321.748588,252.938092
15.825,321.915833,252.939239
15.927,321.715948,252.939239
16.038,321.615607,252.939239
16.162,321.255132,252.940247
16.249,320.400880,252.941256
16.362,320.673383,252.940004
16.460,320.894114,252.942647
16.577,320.886546,252.943412
16.672,320.973764,252.943412
16.784,321.012891,252.940004
16.885,320.284035,252.940769
16.995,316.638193,252.940491
17.117,316.712547,252.941882
17.209,316.488557,252.941012
17.320,316.551559,252.941360
17.417,316.784481,252.943551
17.530,316.781605,252.945220
17.631,316.642121,252.944177
17.739,316.490615,252.943690
17.859,316.704066,252.942647
17.954,316.627943,252.943412
18.068,316.641786,252.940247
18.165,316.675127,252.942125
18.284,316.696352,252.943064
18.377,316.857781,252.942542
18.492,316.881708,252.943412
18.589,316.798621,252.942647
18.701,316.823165,252.942021
18.802,316.902137,252.941638
18.910,317.027341,252.943690
19.029,317.041352,252.942890
19.121,317.088913,252.940769
19.233,317.082002,252.941256
19.334,317.113345,252.941012
19.444,317.631858,252.941882
19.556,317.625988,252.940491
19.653,317.635467,252.942021
19.764,317.564410,252.941777
19.866,317.494675,252.944698
19.979,317.297466,252.941360
20.087,317.249236,252.941882
20.185,317.133508,252.945220
20.297,317.102497,252.943168
20.398,317.014241,252.942021
20.508,317.047495,252.941882
20.621,317.215616,252.944177
20.718,317.203466,252.943690
20.830,317.053638,252.943690
20.931,317.196551,252.943933
21.038,317.353588,252.943168
21.157,317.387806,252.943690
21.250,317.302030,252.944698
21.362,317.276472,252.942125
21.464,317.247459,252.943690
21.570,317.260716,252.942125
21.687,317.284014,252.942647
21.784,317.368725,252.943690
21.895,317.393958,252.943690
22.007,317.471450,252.946750
22.103,317.500974,252.945463
22.215,317.489145,252.943933
22.322,317.502849,252.942403
22.429,317.473326,252.943412
22.539,317.424096,252.943307
22.647,317.613046,252.942890
22.751,317.670065,252.941638
22.850,317.707365,252.942125
22.962,317.758535,252.941534
23.067,317.787134,252.940769
23.176,317.780008,252.941012
23.280,317.792671,252.942125
23.385,317.870930,252.944698
23.492,317.892414,252.945220
23.593,317.869629,252.945220
23.715,317.851760,252.944942
23.817,317.852723,252.944177
23.912,317.811499,252.942647
24.018,317.626325,252.940769
24.125,317.692155,252.942647
24.231,318.043293,252.942647
24.338,317.892269,252.941882
24.448,317.970226,252.942647
24.553,317.858118,252.943551
24.661,317.857154,252.943690
24.767,317.919295,252.942542
24.875,317.820311,252.944698
24.982,318.042039,252.943690
25.089,318.007527,252.943933
25.197,318.022758,252.941638
25.302,318.196204,252.941012
25.407,318.739114,252.940004
25.515,319.292953,252.943412
25.622,320.200153,252.942125
25.725,320.339504,252.940491
25.832,353.839664,252.940769
25.938,349.827686,252.942890
26.047,359.310728,252.942647
26.152,356.704428,252.943690
26.256,357.858964,252.942403
26.374,356.527353,252.940491
26.477,347.330835,252.942890
26.578,331.854654,252.940769
26.683,332.027237,252.940247
26.786,331.175521,252.940004
26.895,339.997151,252.940491
26.998,329.282316,252.943064
27.105,329.065861,252.942403
27.211,328.941064,252.943168
27.318,328.553142,252.941012
27.424,326.719527,252.940769
27.530,329.436704,252.942299
27.637,330.822981,252.941777
27.743,330.487329,252.942125
27.850,331.230140,252.942542
27.956,330.668984,252.944942
28.063,332.975997,252.943168
28.169,331.424502,252.943933
28.276,334.708183,252.942786
28.382,335.700326,252.942890
28.489,332.462469,252.943412
28.596,326.634668,252.941534
28.702,324.028420,252.942786
28.809,330.182990,252.941882
28.916,330.078176,252.940004
29.022,320.759200,252.944177
29.128,329.434422,252.941256
29.235,335.304907,252.943551
29.342,337.807271,252.940769
29.448,336.544355,252.943064
29.555,321.835798,252.942403
29.661,322.007573,252.943064
29.768,322.770030,252.941882
29.889,324.036986,252.943168
29.981,340.950872,252.946089
30.088,330.041418,252.942647
30.194,345.057554,252.943933
30.300,348.769360,252.943064
30.407,328.934639,252.942403
30.529,323.553557,252.943307
30.635,322.270248,252.942299
30.744,340.336626,252.942403
30.847,322.171132,252.941012
30.951,325.462514,252.941012
31.045,330.180040,252.944942
31.152,334.390993,252.943933
31.259,333.789681,252.942125
31.365,336.479482,252.942125
31.472,339.584215,252.943690
31.578,336.987810,252.942403
31.685,339.592372,252.943168
31.791,339.663937,252.944455
31.913,340.259387,252.944455
32.016,341.602606,252.943690
32.110,341.523618,252.943412
32.217,341.408147,252.944942
32.323,342.794241,252.942890
32.429,343.507636,252.943168
32.536,343.550662,252.941882
32.642,341.744520,252.943690
32.749,341.512351,252.944698
32.855,341.082803,252.941012
32.962,340.981877,252.941534
33.068,340.953909,252.942542
33.174,341.066121,252.940491
33.281,340.789310,252.939726
33.390,340.710272,252.941012
33.494,340.943362,252.941534
33.601,343.168442,252.943412
33.707,342.779479,252.941882
33.814,342.908024,252.944177
33.921,342.969905,252.942890
34.027,343.326088,252.945811
34.134,343.422523,252.943933
34.240,343.508282,252.943412
34.346,343.389800,252.945220
34.453,343.311615,252.944942
34.559,343.377745,252.944698
34.666,343.584808,252.945811
34.772,343.573120,252.944942
34.891,343.594503,252.943933
34.997,342.591672,252.942890
35.105,341.236726,252.943168
35.198,337.609871,252.942647
35.304,337.603832,252.942890
35.410,312.932323,252.943551
35.517,314.233041,252.943551
35.623,312.273280,252.943933
35.730,311.813546,252.944942
35.836,311.545359,252.943168
35.943,311.043964,252.941638
36.049,311.652182,252.945463
36.155,314.044505,252.943690
36.262,314.716131,252.944177
36.368,313.255563,252.943412
36.475,310.418309,252.943933
36.581,315.056283,252.943168
36.687,313.102791,252.942542
36.794,313.659838,252.942403
36.900,312.169907,252.943412
37.007,314.634332,252.943690
37.114,314.359201,252.942021
37.222,313.851307,252.945220
37.330,312.409402,252.941882
37.434,312.792767,252.941882
37.544,313.324770,252.942299
37.646,311.688847,252.946333
37.754,311.939816,252.943690
37.864,311.892749,252.943412
37.968,311.979906,252.941777
38.075,311.947693,252.942786
38.183,312.082298,252.943551
38.290,312.076575,252.941777
38.397,312.549089,252.946576
38.511,312.622916,252.945220
38.602,312.671929,252.943168
38.709,312.817527,252.945220
38.815,313.231697,252.944177
38.922,313.814229,252.945220
39.029,314.494304,252.946089
39.139,313.991823,252.944455
39.242,313.974408,252.945985
39.352,313.955195,252.945707
39.459,313.937309,252.946228
39.565,314.290567,252.943690
39.672,313.720003,252.943829
39.779,313.462163,252.944942
39.888,313.520101,252.942021
39.997,312.870208,252.943690
40.108,312.913955,252.942890
40.199,312.979332,252.944177
40.306,313.007222,252.941256
40.412,313.169168,252.946472
40.521,314.182872,252.944455
40.625,315.487527,252.944455
40.735,316.521731,252.944698
40.843,316.608306,252.945568
40.948,316.930817,252.943168
41.060,316.909570,252.942786
41.173,317.005125,252.945707
41.279,317.048455,252.945463
41.387,316.916956,252.944455
41.476,316.973796,252.945463
41.582,316.207848,252.944942
41.689,316.551559,252.945220
41.796,316.688542,252.946333
41.902,316.741346,252.942403
42.009,316.713841,252.941638
42.115,316.492338,252.941777
42.222,316.810269,252.942542
42.328,316.627943,252.944177
42.434,317.001191,252.942647
42.541,317.512804,252.945463
42.647,317.264175,252.946576
42.754,317.396649,252.947098
42.860,317.533628,252.945707
42.966,318.445688,252.944455
43.073,318.217430,252.943690
43.180,317.209469,252.945220
43.287,317.905854,252.944455
43.392,317.846895,252.944698
43.499,317.886248,252.946472
43.605,317.933219,252.943412
43.712,317.565998,252.943064
43.818,317.405349,252.944177
43.929,317.428038,252.942786
44.036,318.278562,252.943412
44.142,318.292170,252.942125
44.246,318.224521,252.943064
44.352,318.284063,252.945220
44.458,318.212171,252.944455
44.568,319.248213,252.945985
44.676,318.518622,252.946089
44.781,318.801841,252.944455
44.888,319.356903,252.942890
44.995,318.436174,252.946228
45.100,319.254611,252.943933
45.207,318.398946,252.946089
45.315,318.697387,252.943933
45.423,319.300127,252.945220
45.530,319.451626,252.942542
45.635,319.623326,252.944177
45.747,319.925651,252.944942
45.849,320.095527,252.945463
45.957,320.803707,252.944455
46.065,321.937562,252.947098
46.159,321.860267,252.944455
