timestamp,CH0_pF
10.034,329.012614,252.405639
10.140,329.066418,252.416074
10.247,329.081908,252.403247
10.361,328.973446,252.417426
10.462,327.964327,252.398047
10.570,327.242252,252.386642
10.672,327.068663,252.365464
10.778,327.398735,252.383453
10.892,327.705534,252.378254
11.000,327.949114,252.374857
11.097,327.999746,252.393367
11.214,328.259529,252.189100
11.311,328.289241,252.190139
11.417,328.480069,252.189377
11.524,328.695162,252.189100
11.635,328.722253,252.191004
11.742,328.876264,252.190381
11.843,329.361777,252.186815
11.956,329.389656,252.194813
12.055,328.978354,252.194051
12.162,328.608454,252.195575
12.268,328.391525,252.194571
12.378,328.290149,252.192147
12.486,328.183676,252.192528
12.588,328.133659,252.192770
12.700,328.143641,252.191766
12.810,328.198148,252.195333
12.907,328.392181,252.193290
13.014,328.057797,252.196718
13.124,327.829809,252.197479
13.230,327.751280,252.194051
13.333,327.636253,252.198241
13.445,327.620206,252.197341
13.552,327.656225,252.198241
13.652,327.679469,252.197722
13.769,327.680123,252.201912
13.865,327.624985,252.200250
13.972,327.586054,252.196718
14.078,327.554170,252.195575
14.189,327.549594,252.201392
14.292,327.623375,252.201288
14.399,327.612108,252.202674
14.504,327.779567,252.202674
14.611,327.869235,252.200873
14.717,327.927504,252.201392
14.826,327.871702,252.199245
14.933,327.863041,252.196718
15.037,327.786665,252.191905
15.144,327.474982,252.191766
15.251,327.903026,252.192666
15.361,328.071052,252.194917
15.463,328.153624,252.195817
15.570,328.433571,252.195575
15.682,328.540212,252.192424
15.786,328.613961,252.194051
15.892,328.752076,252.193047
15.996,328.653067,252.194051
16.103,328.653370,252.191489
16.209,329.438630,252.196337
16.316,329.946476,252.187057
16.426,329.958824,252.181621
16.529,329.933721,252.184183
16.640,330.067804,252.184183
16.748,330.116923,252.186953
16.848,330.442663,252.187334
16.960,330.954622,252.188615
17.061,331.129394,252.187715
17.170,331.118004,252.192009
17.274,331.161115,252.190139
17.380,331.149008,252.189377
17.492,331.669093,252.187715
17.594,331.662233,252.186711
17.702,331.704832,252.188338
17.807,331.638992,252.188234
17.914,331.506652,252.188096
18.026,331.491560,252.186953
18.136,331.368508,252.185707
18.233,331.179148,252.184945
18.340,331.181703,252.185707
18.447,331.138281,252.184668
18.553,331.389114,252.184945
18.662,331.695973,252.186192
18.771,331.705804,252.182625
18.874,331.837951,252.184183
18.979,331.940648,252.182625
19.090,332.010163,252.190139
19.192,332.077750,252.187473
19.303,332.113910,252.186711
19.405,332.148999,252.182798
19.516,332.174293,252.185949
19.620,332.175935,252.184945
19.726,332.168392,252.187992
19.830,332.150384,252.185187
19.936,330.011223,252.185430
20.047,327.560959,252.184668
20.153,327.016080,252.186953
20.259,326.992954,252.184183
20.363,326.917470,252.181760
20.469,326.936728,252.182902
20.583,326.854244,252.181379
20.682,326.860360,252.181379
20.793,326.821209,252.181517
20.895,326.793241,252.179474
21.001,326.790434,252.180756
21.108,326.634868,252.184426
21.219,326.632615,252.185949
21.322,326.516049,252.181275
21.429,326.391037,252.178367
21.534,326.244794,252.177189
21.640,326.235245,252.177847
21.753,326.217896,252.179751
21.856,326.287097,252.179751
21.966,326.332459,252.185430
22.068,326.360971,252.183387
22.172,326.330608,252.183664
22.279,326.396591,252.181517
22.391,326.390737,252.179474
22.492,326.435669,252.179371
22.599,327.305234,252.178090
22.705,328.958519,252.180513
22.812,329.330912,252.185430
22.924,330.316557,252.182037
23.034,330.727715,252.183041
23.135,330.845885,252.181864
23.239,330.906243,252.179751
23.344,331.047736,252.183041
23.451,331.142827,252.183283
23.560,331.446443,252.178367
23.670,331.539090,252.181760
23.773,330.301237,252.182037
23.878,326.190002,252.189619
23.983,327.292676,252.181621
24.089,328.170111,252.178193
24.201,327.935010,252.181517
24.304,327.555477,252.179232
24.413,327.311011,252.182279
24.519,327.255660,252.182279
24.622,327.216441,252.182798
24.728,327.136466,252.182521
24.845,327.188223,252.179994
24.941,327.336732,252.184668
25.050,327.494638,252.182383
25.154,327.471262,252.180236
25.260,327.551957,252.175043
25.366,327.613416,252.174800
25.476,327.661457,252.174039
25.583,327.746700,252.173762
25.685,327.872004,252.176843
25.799,328.109410,252.181275
25.898,328.131944,252.179371
26.006,328.009772,252.179751
26.111,327.908919,252.178713
26.227,328.268558,252.175562
26.323,328.239504,252.174523
26.431,328.231383,252.175181
26.536,328.285004,252.178090
26.647,328.199762,252.181275
26.749,328.193307,252.178955
26.859,328.282481,252.179474
26.961,328.287627,252.183145
27.069,328.277890,252.178470
27.179,328.200771,252.177432
27.281,328.098119,252.180513
27.393,328.027812,252.178609
27.496,328.284348,252.177328
27.608,328.344439,252.175804
27.710,328.462953,252.177709
27.813,328.487239,252.179751
27.919,328.481028,252.176566
28.026,328.479413,252.178090
