timestamp,CH0_pF
12.534,324.060110,252.946576
12.638,324.068677,252.942890
12.744,324.862797,252.941777
12.854,319.956475,252.941256
12.956,318.427144,252.941777
13.061,316.698891,252.943933
13.169,318.896812,252.942647
13.274,322.309602,252.944698
13.386,318.609992,252.945220
13.494,315.172782,252.947863
13.600,315.529941,252.946472
13.709,322.041090,252.944177
13.813,320.504382,252.943412
13.917,316.569803,252.944455
14.024,313.383002,252.944942
14.126,313.512829,252.945707
14.232,314.305828,252.944177
14.339,313.225661,252.943690
14.460,313.827376,252.943933
14.569,314.042611,252.944455
14.673,314.300709,252.942403
14.765,314.744670,252.944698
14.891,314.709768,252.941777
14.978,314.817295,252.944455
15.091,314.916509,252.944942
15.197,314.955817,252.945220
15.302,315.009682,252.948906
15.406,314.834302,252.949149
15.515,316.510242,252.946576
15.620,316.636325,252.945707
15.723,316.639918,252.946333
15.845,316.704066,252.948384
15.943,317.149735,252.945463
16.050,318.626956,252.946089
16.149,318.834203,252.944698
16.256,318.720885,252.945985
16.362,318.660887,252.945985
16.468,318.589646,252.946472
16.574,318.546981,252.947098
16.681,318.665045,252.946472
16.787,312.688818,252.946089
16.894,312.881509,252.943168
17.017,313.007222,252.944455
17.107,313.048404,252.943064
17.223,313.022158,252.944455
17.323,313.101849,252.944942
17.431,313.100482,252.944455
17.538,312.965906,252.944698
17.639,313.072297,252.943933
17.762,313.090301,252.945463
17.862,313.090725,252.944698
17.969,312.774082,252.944942
18.071,313.196847,252.946089
18.174,316.736458,252.944698
18.283,316.673211,252.946750
18.384,316.916620,252.948628
18.491,316.857781,252.946854
18.597,316.822350,252.943933
18.704,316.792821,252.945463
18.815,316.464672,252.944177
18.918,316.590873,252.943168
19.025,316.566978,252.943412
19.130,316.642121,252.943551
19.237,315.807925,252.942125
19.342,316.450409,252.940491
19.450,320.861696,252.941256
19.556,316.568558,252.943933
19.662,316.815926,252.944455
19.769,317.609870,252.943690
19.875,314.538471,252.944455
19.998,322.140984,252.945220
20.088,322.027398,252.945463
20.194,321.395289,252.946472
20.301,321.236354,252.945811
20.407,315.705971,252.948628
20.514,316.087360,252.945707
20.621,318.209035,252.946089
20.727,320.087354,252.948906
20.833,318.725623,252.949671
20.940,319.288978,252.949914
21.046,319.458175,252.949914
21.152,319.398318,252.947376
21.259,319.398949,252.948141
21.365,319.598470,252.947619
21.471,319.394147,252.947758
21.578,317.551808,252.948906
21.685,318.011335,252.949914
21.792,318.239912,252.946576
21.900,318.676453,252.948384
22.004,319.036270,252.945811
22.111,319.337023,252.947619
22.217,319.439547,252.946576
22.324,319.465646,252.947376
22.431,319.515040,252.947515
22.542,319.581772,252.947758
22.648,319.494466,252.948384
22.754,319.464676,252.946089
22.859,320.755979,252.944942
22.964,320.965753,252.944942
23.069,321.000825,252.944455
23.176,321.073329,252.943933
23.282,318.409906,252.944698
23.396,318.573169,252.944942
23.495,315.728724,252.943829
23.618,313.588211,252.941777
23.709,314.598593,252.942403
23.815,314.110410,252.943412
23.921,313.850030,252.944942
24.028,321.574905,252.943307
24.134,342.743086,252.944698
