timestamp,CH0_pF
9.791,327.920050,252.168326
9.898,328.036227,252.168465
10.013,328.177221,252.168742
10.110,328.218472,252.166699
10.218,328.191340,252.168084
10.323,328.427463,252.165072
10.430,329.668176,252.164656
10.548,329.631789,252.164033
10.643,329.486347,252.165418
10.752,329.276489,252.162510
10.855,329.282620,252.164414
10.962,329.266406,252.164899
11.072,329.060900,252.163272
11.177,328.917742,252.165072
11.281,328.634322,252.165176
11.393,328.588045,252.164310
11.500,328.477494,252.164552
11.601,328.230425,252.164795
11.711,327.800861,252.164033
11.821,327.584495,252.164310
11.921,327.440600,252.166457
12.027,327.365370,252.164414
12.133,327.341203,252.164033
12.241,327.317089,252.164656
12.347,327.315482,252.168084
12.453,327.368234,252.163548
12.559,327.482422,252.164414
12.671,327.474429,252.163895
12.777,327.444772,252.164899
12.878,327.433513,252.164552
12.987,327.432206,252.163548
13.102,327.458594,252.165314
13.197,327.435071,252.163272
13.304,327.448039,252.165660
13.414,327.442510,252.163272
13.522,327.421551,252.162787
13.624,327.370445,252.162510
13.735,327.366576,252.165660
13.844,327.341856,252.162025
13.942,327.369540,252.164137
14.049,327.069968,252.162787
14.157,326.797150,252.162787
14.266,326.654202,252.162268
14.368,326.429564,252.160225
14.480,326.255644,252.161644
14.583,326.301200,252.160744
14.687,326.422109,252.160363
14.798,326.276146,252.162268
14.900,326.293798,252.162787
15.006,326.364473,252.162268
15.113,326.608025,252.163548
15.220,326.798804,252.162510
15.326,326.898215,252.160883
15.432,326.899519,252.161229
15.541,326.985881,252.160225
15.654,327.127532,252.160987
15.752,327.071021,252.159983
15.857,326.903731,252.162268
15.964,326.510492,252.161229
16.070,326.445578,252.161748
16.179,326.243794,252.161402
16.285,326.093848,252.160225
16.391,326.013618,252.164033
16.500,325.992191,252.165418
16.604,325.904957,252.163375
16.709,326.131875,252.163791
16.816,326.253444,252.164795
16.931,326.594804,252.165660
17.032,327.687771,252.167218
17.142,329.066063,252.163548
17.242,328.923560,252.164310
17.348,327.716806,252.163375
17.455,327.053308,252.164033
17.562,326.825670,252.163272
17.672,326.909397,252.162268
17.776,327.105348,252.163029
17.891,327.194650,252.163548
17.991,327.225781,252.162268
18.094,327.548739,252.165660
18.201,329.411100,252.165660
18.307,330.724401,252.172654
18.414,331.081335,252.172896
18.522,329.985505,252.173277
18.626,329.617530,252.173416
18.733,330.073651,252.172654
18.841,330.486616,252.173658
18.946,330.626169,252.172758
19.057,330.709717,252.172654
19.162,330.449131,252.174800
19.265,330.306734,252.174800
19.372,330.318185,252.175320
19.482,330.325311,252.176566
19.588,330.325718,252.176324
19.692,330.255946,252.171650
19.798,330.139401,252.173277
19.905,329.676957,252.173173
20.014,329.693859,252.175562
20.126,329.847204,252.172654
20.227,329.918173,252.174800
20.331,329.942512,252.174281
20.437,330.044062,252.173173
20.549,330.063584,252.175804
20.655,330.069685,252.175043
20.760,330.125364,252.175320
20.863,330.225621,252.177085
20.977,330.343941,252.173416
21.085,330.395410,252.176081
21.183,330.407782,252.176566
21.289,330.395359,252.175043
21.396,330.319458,252.175562
21.509,330.254623,252.173658
21.612,330.258236,252.175043
21.715,330.226028,252.174177
21.826,330.155981,252.175562
21.928,330.153387,252.174800
22.034,330.099989,252.173277
22.149,330.011833,252.173277
22.250,329.878393,252.172411
22.359,329.731577,252.173416
22.460,329.335524,252.174523
22.567,328.932362,252.173277
22.679,326.106940,252.173173
22.780,325.624159,252.172654
22.889,323.414171,252.167980
22.993,323.051245,252.171373
23.099,322.568449,252.171373
23.206,322.315891,252.170611
23.312,322.082809,252.174177
23.419,322.026417,252.172515
23.528,322.139216,252.172135
23.634,322.094590,252.172135
23.738,322.082662,252.173519
23.845,322.058022,252.172896
23.951,322.064305,252.171892
24.058,322.103917,252.170611
24.164,322.125371,252.171892
24.270,322.169364,252.171892
24.377,322.191413,252.170611
24.486,322.208013,252.169849
24.590,322.188516,252.170092
24.699,322.189989,252.173416
24.802,322.201923,252.172654
24.909,322.280614,252.172411
25.015,322.321198,252.171027
25.122,322.329306,252.170369
25.230,322.333778,252.172411
25.335,322.361053,252.169607
25.441,322.367049,252.168845
25.548,322.373634,252.171373
25.654,322.402340,252.173173
25.763,322.398505,252.173762
25.868,322.437243,252.173416
25.975,322.419004,252.174420
26.087,322.423330,252.174800
26.192,322.431245,252.175320
26.294,322.429623,252.174420
26.400,322.429770,252.173277
26.507,322.444175,252.172654
26.621,322.450468,252.173277
26.719,322.457696,252.172135
26.827,322.468070,252.175804
26.932,322.469005,252.176566
27.039,322.464973,252.172135
27.151,322.472889,252.172411
27.260,322.488870,252.175562
27.358,322.514344,252.176947
27.464,322.557135,252.175562
27.571,322.599934,252.176324
27.678,322.629504,252.177605
27.784,322.649384,252.175043
27.896,322.642101,252.175562
27.998,322.645644,252.174420
28.108,322.674384,252.173519
28.210,322.688755,252.176566
28.316,322.693776,252.174281
28.423,322.655782,252.175562
28.529,322.635803,252.173762
28.638,322.642889,252.175458
28.742,322.655043,252.174523
28.849,322.637427,252.172135
28.959,322.646284,252.176566
29.066,322.516606,252.174523
29.168,323.118892,252.173935
29.275,323.349793,252.174281
29.381,324.276363,252.176324
29.487,325.957084,252.174177
29.594,328.585115,252.174800
29.707,330.067448,252.174177
29.812,330.323682,252.174177
29.914,329.490607,252.175043
30.020,329.319915,252.177328
30.137,329.303344,252.175043
30.238,328.264976,252.175043
30.344,327.460153,252.172411
30.448,327.395921,252.175320
30.552,327.304883,252.174039
30.659,327.025964,252.171892
30.772,327.032135,252.175562
30.872,327.011916,252.171130
30.981,327.022803,252.171892
31.085,326.968526,252.172758
31.201,326.926497,252.173762
31.301,326.989743,252.173762
31.405,327.077997,252.175804
31.515,327.096414,252.174800
31.618,327.062641,252.175562
31.725,327.052957,252.175562
31.831,327.096314,252.178193
31.941,327.021499,252.177951
32.054,327.063946,252.176324
32.152,327.122964,252.174800
32.257,327.108610,252.176081
32.363,327.077997,252.177328
32.480,327.051000,252.174523
32.578,327.062892,252.174039
32.685,327.103139,252.174177
32.789,327.047538,252.172758
32.896,327.045330,252.174939
33.008,326.962757,252.175804
33.113,326.926397,252.175043
33.216,326.994208,252.174177
33.324,326.975598,252.174697
33.428,326.953378,252.171892
33.535,327.088886,252.173173
33.650,327.104996,252.172896
33.749,327.093152,252.173935
33.855,327.360145,252.173762
33.961,327.289763,252.172411
34.071,327.478903,252.172758
34.180,327.579918,252.176566
34.283,327.921712,252.176670
34.387,327.907912,252.176324
34.493,327.942918,252.175562
34.603,328.054874,252.176324
34.713,328.082947,252.175043
34.813,328.037790,252.176566
34.927,328.081636,252.175804
