timestamp,CH0_pF
20.866,313.854523,252.954122
20.971,313.730544,252.955130
21.076,313.499701,252.956139
21.182,315.348050,252.954713
21.292,313.052881,252.952314
21.415,315.012915,252.954122
21.507,314.074804,252.956765
21.608,314.794968,252.957043
21.730,314.394854,252.956139
21.822,314.664997,252.956278
21.928,314.188083,252.955235
22.038,317.418279,252.957043
22.141,314.488849,252.954887
22.255,314.460390,252.956278
22.373,313.799617,252.958573
22.462,314.787653,252.956765
22.580,314.795586,252.957043
22.678,316.181460,252.957286
22.780,316.663342,252.954713
22.889,315.099422,252.957286
23.000,313.960921,252.955130
23.099,313.099539,252.955235
23.215,315.491435,252.953600
23.312,316.045652,252.954122
23.426,316.438923,252.954122
23.526,314.134135,252.952314
23.632,312.322919,252.950540
23.747,316.959933,252.954365
23.845,318.667075,252.953600
23.958,316.622004,252.954365
24.058,319.968144,252.955235
24.169,319.554979,252.952314
24.283,319.830775,252.954122
24.383,318.924735,252.951827
24.492,311.890171,252.952592
24.591,311.585095,252.953357
24.704,311.801832,252.954887
24.822,311.523223,252.956278
24.915,313.448000,252.954122
25.026,312.614310,252.952731
25.124,313.791390,252.953600
25.238,314.483109,252.953357
25.337,317.009395,252.953600
25.445,312.605797,252.956000
25.562,312.263513,252.954609
25.656,313.532852,252.954609
25.772,315.936091,252.953357
25.869,312.723635,252.952070
25.981,315.573887,252.952070
26.102,317.052054,252.953844
26.189,315.861522,252.953357
26.303,315.794135,252.954713
26.401,317.228871,252.953600
26.515,318.414493,252.953844
26.615,318.092371,252.950540
26.726,318.441728,252.953844
26.835,318.587617,252.952592
26.935,318.533839,252.950783
27.044,318.456168,252.951305
27.154,317.316876,252.951305
27.254,317.237709,252.953079
27.360,317.181712,252.951827
27.474,317.252214,252.953357
27.573,317.144550,252.951827
27.679,317.219266,252.951444
27.793,318.198905,252.952835
27.893,318.456168,252.954609
28.002,318.245412,252.952592
28.111,318.553696,252.951201
28.212,318.406574,252.953357
28.320,318.181636,252.950540
28.434,317.215616,252.953357
28.532,317.430585,252.953600
28.640,318.519588,252.953079
28.751,316.069443,252.953600
28.851,316.149627,252.952835
28.958,316.150583,252.954609
29.070,316.140833,252.952835
29.187,317.452652,252.955652
29.277,318.623476,252.953844
29.385,317.998707,252.951444
29.505,318.491039,252.953600
29.596,318.626327,252.952835
29.709,318.800245,252.951305
29.817,318.949516,252.951548
29.916,319.156968,252.953357
30.022,319.010560,252.952592
30.135,318.953049,252.952070
30.253,318.945547,252.950436
30.342,317.937315,252.950436
30.454,317.477893,252.950540
30.569,316.711780,252.952835
30.661,316.622483,252.951027
30.768,316.591161,252.951201
30.875,313.921743,252.952835
30.982,313.471464,252.951688
31.090,311.414219,252.951548
31.197,311.711280,252.954122
31.306,316.633356,252.953600
31.411,316.603756,252.953844
31.520,317.802976,252.953844
31.627,318.428448,252.953600
31.731,318.429366,252.952453
31.836,318.516883,252.951201
31.939,320.145644,252.950436
32.048,319.939555,252.951027
32.153,320.285788,252.952592
32.264,320.377838,252.950540
32.370,320.267237,252.950158
32.479,320.312961,252.953844
32.579,320.509159,252.950783
32.689,320.630462,252.954609
32.791,309.433398,252.954609
32.899,314.569787,252.950158
33.004,319.729673,252.950783
33.110,319.480783,252.952453
33.217,318.633142,252.953844
33.323,319.159342,252.952592
33.429,319.216421,252.954122
33.536,319.245208,252.952835
33.642,319.327180,252.952070
33.749,319.403071,252.949149
33.855,319.465646,252.951548
33.962,319.446678,252.952592
34.068,319.396378,252.950923
34.175,319.316999,252.950679
34.281,319.487285,252.951305
34.396,316.617933,252.949914
34.499,316.909858,252.951688
34.609,317.165531,252.949914
34.713,317.395544,252.950540
34.819,317.590338,252.949914
34.925,317.646534,252.949671
35.033,316.667271,252.951305
35.138,316.582062,252.950679
35.243,316.675463,252.953357
35.346,316.705647,252.950158
35.452,316.782420,252.952592
35.559,316.878111,252.951027
35.667,316.952402,252.952070
35.771,317.074898,252.950923
35.878,316.951442,252.950540
35.984,316.970966,252.953600
36.091,317.882779,252.953357
36.198,318.143630,252.952070
36.304,318.303898,252.953357
36.411,318.351586,252.953600
36.517,318.549541,252.951827
36.637,318.626472,252.952314
36.731,318.800245,252.952209
36.837,318.816933,252.951966
36.944,319.118165,252.952209
37.050,319.169371,252.953079
37.157,319.261106,252.950262
37.263,319.248891,252.949671
37.369,319.334792,252.950540
37.476,319.358503,252.953079
37.582,319.341823,252.953079
37.688,319.497183,252.953600
37.795,319.663188,252.953600
37.901,319.591966,252.953357
38.008,319.655371,252.951548
38.114,319.286748,252.952592
38.221,318.041895,252.950436
38.344,317.151943,252.952070
38.450,317.219890,252.950783
38.555,317.480442,252.951548
38.657,317.951095,252.949149
38.763,317.962660,252.950540
38.868,318.161185,252.951305
38.974,318.086826,252.950158
39.084,317.885140,252.952592
39.178,318.062142,252.952314
39.300,317.942567,252.952835
39.403,318.528960,252.950679
39.505,318.831204,252.952209
39.608,318.678484,252.950540
39.718,318.935528,252.952070
39.820,318.880457,252.953079
39.930,318.683415,252.951027
40.033,318.553358,252.953844
40.142,318.034568,252.953079
40.258,318.930930,252.952314
40.363,319.102084,252.952209
40.470,319.047746,252.952314
40.577,319.104457,252.951966
40.682,318.996568,252.952314
40.785,317.954565,252.951827
40.890,317.826331,252.950436
41.003,318.960988,252.951201
41.106,319.131002,252.949149
41.215,318.565534,252.951548
41.307,318.793087,252.950783
41.413,317.656158,252.952835
41.520,317.627287,252.951027
41.627,317.637344,252.951027
41.733,317.850508,252.949671
41.840,317.869340,252.950923
41.947,317.787904,252.951305
42.053,317.954227,252.949149
42.160,317.808947,252.947098
42.266,317.773845,252.949671
42.373,316.456248,252.950436
42.479,319.163169,252.948628
42.586,319.214821,252.948628
42.692,319.436685,252.951027
42.798,318.011479,252.948628
42.905,319.019613,252.949393
43.028,318.490266,252.947863
43.119,318.580127,252.947863
43.239,318.706138,252.948628
43.344,318.846588,252.951688
43.438,318.881715,252.951444
43.558,318.893135,252.951827
43.651,319.053315,252.952070
43.757,319.018016,252.951827
43.864,318.830865,252.951548
43.989,318.940659,252.951444
44.077,319.766008,252.953079
44.183,319.817655,252.950436
44.290,319.821348,252.950783
44.396,319.879860,252.952592
44.503,319.698590,252.950540
44.609,319.655371,252.950783
44.715,319.442700,252.953600
44.822,320.141995,252.951827
44.928,320.178105,252.951548
45.035,320.143114,252.952592
45.141,320.179029,252.950679
45.247,319.991582,252.950158
45.356,319.853081,252.950540
45.465,320.051307,252.950679
45.573,320.385876,252.950783
45.678,320.294261,252.951444
45.783,320.338530,252.951827
45.891,320.370969,252.950436
46.001,320.281455,252.951444
46.116,320.040120,252.953079
46.205,319.938291,252.951305
46.311,320.744805,252.954365
46.418,320.806586,252.952835
46.524,320.624854,252.952314
46.631,320.656701,252.951827
46.737,320.544354,252.953600
46.862,319.785004,252.951027
46.965,319.430136,252.952592
47.072,319.458175,252.953357
47.169,319.588616,252.951966
47.276,320.406824,252.950923
47.379,321.083933,252.950923
47.486,321.157393,252.951305
47.589,321.213225,252.952592
47.695,321.217870,252.951966
47.801,321.273570,252.949671
47.907,321.219630,252.948141
48.014,321.424848,252.950436
48.120,321.402825,252.950783
48.226,321.487159,252.951827
48.333,321.443300,252.951548
48.439,321.439482,252.948628
48.546,321.353991,252.948628
48.652,321.245645,252.951201
48.759,321.317739,252.949149
48.865,321.347435,252.952592
48.972,321.398518,252.949671
49.078,321.486866,252.949914
49.185,321.346163,252.950158
49.291,320.292167,252.951305
49.397,320.304147,252.951027
49.504,320.323188,252.951444
49.610,320.303660,252.952314
49.717,320.153187,252.951827
49.823,320.153479,252.951305
49.929,320.160536,252.951688
50.036,320.228581,252.952592
50.142,320.269964,252.952835
50.249,320.277462,252.952070
50.355,320.234958,252.951305
50.462,320.239096,252.952070
50.568,320.222350,252.952209
50.690,320.259398,252.949393
50.781,320.200445,252.949671
50.887,320.227948,252.951201
50.994,320.255747,252.952070
51.100,320.379299,252.951827
51.207,320.327961,252.949914
51.313,320.365368,252.949914
51.419,320.330834,252.949914
51.531,318.306890,252.948906
51.632,317.562053,252.951688
51.739,320.394986,252.950158
51.845,320.403609,252.949914
51.951,320.420856,252.948628
52.058,320.469194,252.948141
52.164,320.446632,252.950158
52.271,320.401222,252.950540
52.377,320.445803,252.949393
52.484,320.605836,252.949914
52.590,320.586429,252.948628
52.714,320.576190,252.950923
52.818,320.543427,252.952731
52.922,320.553031,252.949149
53.017,320.433670,252.949914
53.123,320.394304,252.951027
53.229,320.408091,252.948002
53.335,320.419297,252.950679
53.442,320.428700,252.948384
53.548,320.371603,252.951548
53.655,320.475091,252.952070
53.767,320.449799,252.951688
53.870,320.337068,252.950158
53.978,321.120831,252.949671
54.082,320.756809,252.950783
54.191,320.345105,252.950923
54.301,320.688553,252.951548
54.411,319.093365,252.953079
54.510,320.266750,252.950158
54.613,320.068527,252.952592
54.720,318.930640,252.952314
54.830,316.104801,252.950923
54.941,316.396383,252.950783
55.045,318.222013,252.953079
55.150,315.392199,252.951966
55.261,315.432355,252.952209
55.372,317.653463,252.951827
55.480,318.099169,252.951966
55.583,318.205369,252.949393
