timestamp,CH0_pF
30.042,327.315130,252.978535
30.143,327.362757,252.980065
30.248,327.365722,252.978674
30.362,327.375319,252.980552
30.463,327.345675,252.976100
30.577,327.338993,252.978152
30.674,327.340550,252.975961
30.780,327.373359,252.976622
30.886,327.312970,252.974327
30.993,327.361803,252.974083
31.103,327.327136,252.976622
31.210,327.272334,252.980065
31.312,327.257267,252.977005
31.418,327.344670,252.979022
31.530,327.427080,252.981595
31.631,327.453819,252.980065
31.739,327.443465,252.978535
31.844,327.393610,252.978778
31.950,327.356025,252.980065
32.064,327.416827,252.979022
32.172,327.410344,252.978535
32.273,327.401349,252.980691
32.377,327.442510,252.977144
32.483,327.386223,252.975613
32.598,327.001281,252.977005
32.696,326.421108,252.976622
32.805,326.563509,252.974848
32.908,327.202030,252.977144
33.022,328.752733,252.976379
33.121,330.139045,252.974848
33.231,331.317792,252.973457
33.334,331.841538,252.972936
33.441,331.930755,252.975335
33.552,332.053492,252.974709
33.657,332.068210,252.975857
33.763,332.030467,252.975961
33.866,332.021597,252.977005
33.973,332.048261,252.979543
34.080,332.051184,252.978396
34.190,331.969148,252.983230
34.293,331.793382,252.982987
34.403,331.817868,252.979300
34.509,331.843177,252.978535
34.612,331.814641,252.976866
34.718,331.832674,252.979787
34.828,331.902208,252.977144
34.935,331.905795,252.974848
35.041,331.942595,252.976483
35.144,331.989142,252.978778
35.256,331.962843,252.978013
35.361,330.130602,252.978152
35.470,328.148481,252.979022
35.570,329.538639,252.976866
35.677,331.118310,252.977770
35.790,331.631108,252.979300
35.899,331.842921,252.981700
35.999,331.894982,252.980552
36.103,331.877302,252.982708
36.209,331.797941,252.978917
36.325,331.730077,252.980830
36.423,331.699609,252.982361
36.533,331.533155,252.982222
36.637,331.133991,252.979300
36.743,329.692844,252.981595
36.849,327.813748,252.976866
36.961,327.514246,252.977770
37.064,327.396876,252.977492
37.174,327.321560,252.976100
37.275,327.294334,252.977631
37.380,327.362456,252.975857
37.487,327.315130,252.979787
37.605,327.354065,252.979022
37.704,327.400394,252.975335
37.812,327.404866,252.976866
37.915,327.427432,252.976866
38.019,327.432558,252.981700
38.132,327.480511,252.978778
38.236,327.479556,252.979161
38.345,327.450552,252.978257
38.446,327.473122,252.975613
38.552,327.295540,252.978257
38.667,327.368234,252.976379
38.765,327.541649,252.970397
38.876,327.500721,252.975613
38.980,327.561663,252.974848
39.085,327.605770,252.974083
39.196,327.689080,252.975857
39.298,327.935564,252.976100
39.404,327.959088,252.973179
39.510,327.983321,252.974848
39.621,328.032095,252.972414
39.728,328.089096,252.970884
