timestamp,CH0_pF
10.069,326.423059,252.949914
10.165,325.853741,252.947863
10.277,325.410202,252.950158
10.381,324.920550,252.949671
10.493,325.061664,252.947758
10.595,324.181216,252.948384
10.697,320.991690,252.947863
10.809,317.627287,252.948906
10.913,318.176572,252.949671
11.016,316.221665,252.948628
11.125,317.866017,252.948384
11.229,317.302366,252.946228
11.339,314.977447,252.946854
11.442,314.228540,252.947098
11.551,314.132478,252.948906
11.677,314.924589,252.949149
11.762,317.915345,252.947376
11.877,318.771999,252.945463
11.975,318.655038,252.945463
12.084,315.127630,252.946333
12.207,316.375474,252.945463
12.294,315.218704,252.948141
12.406,315.513499,252.946750
12.507,315.521648,252.946333
12.621,315.635580,252.946854
12.727,314.801903,252.950158
12.826,314.877065,252.949393
12.933,314.283127,252.948384
13.049,313.988085,252.948384
13.146,313.225755,252.948628
13.252,312.280324,252.947515
13.360,312.215062,252.950436
13.472,311.970762,252.948384
13.572,312.137994,252.947619
13.679,312.155311,252.948628
13.788,312.255250,252.948141
13.901,313.332508,252.946472
13.998,314.991091,252.949149
14.105,318.976042,252.948384
14.215,312.719870,252.949149
14.337,315.705971,252.947619
14.424,314.298719,252.949393
14.531,310.565713,252.946333
14.645,310.819492,252.945985
14.743,311.543065,252.946228
14.854,313.417080,252.947515
14.964,313.557979,252.947376
15.062,313.178032,252.948906
15.171,313.573897,252.944942
15.285,312.641824,252.946089
15.382,312.658099,252.946854
15.492,312.404328,252.947237
15.595,312.195253,252.945985
15.704,312.243230,252.948384
15.824,312.321792,252.945220
15.914,312.245108,252.948628
16.031,312.236282,252.948384
16.127,312.154419,252.946333
16.237,311.972028,252.947098
16.340,314.792023,252.949393
16.450,318.436995,252.948906
16.554,318.702173,252.947237
16.663,318.709619,252.948906
16.779,318.821045,252.949671
16.872,318.786122,252.947619
16.985,318.902184,252.947376
17.085,319.513438,252.946854
17.195,319.762025,252.947863
17.299,319.656973,252.946228
17.406,319.955989,252.949393
17.527,319.634978,252.947376
17.618,319.555610,252.947098
17.732,319.784518,252.945463
17.830,319.852303,252.946472
17.940,319.658235,252.946993
18.043,319.612208,252.946333
18.155,320.178737,252.948906
18.271,320.175866,252.946854
18.365,319.830435,252.944455
18.483,319.673386,252.947237
18.576,320.135766,252.948628
18.691,320.086575,252.949149
18.789,319.861537,252.949393
18.897,319.872716,252.946333
19.016,319.860905,252.946576
19.108,319.859010,252.946576
19.223,320.364442,252.945707
19.321,319.943250,252.945707
19.434,320.043768,252.946089
19.540,320.098057,252.946854
19.650,320.071884,252.947098
19.759,319.981711,252.946576
19.853,319.879569,252.945707
19.960,319.993041,252.946089
20.066,320.456378,252.946576
20.172,320.450481,252.946576
20.279,320.626122,252.946750
20.385,320.360935,252.946089
20.492,320.470120,252.946089
20.598,320.608371,252.944177
20.705,320.492539,252.942786
20.815,320.352606,252.946993
20.918,320.646166,252.944942
21.028,320.582138,252.947515
21.133,320.549960,252.946576
21.241,320.660555,252.946333
