timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF,CH4_pF,CH5_pF,CH6_pF,CH7_pF
6.076,298.821642,292.580249,299.938815,295.177653,299.961776,307.293375,311.560101,282.348062
6.199,298.822568,292.579350,299.973701,295.179733,300.003272,307.293926,311.561973,282.345216
6.327,298.824640,292.581104,299.962663,295.176570,299.992853,307.294247,311.561458,282.344647
6.449,298.827946,292.580805,299.947725,295.176267,299.973701,307.293971,311.557620,282.340012
6.574,298.824022,292.592056,299.963284,295.177437,299.991346,307.294293,311.560101,282.339727
6.701,298.824331,292.579650,299.968337,295.180642,299.990149,307.293329,311.560756,282.347778
6.824,298.824948,292.581874,299.933674,295.181206,300.000923,307.292732,311.555982,282.339727
6.952,298.823449,292.578751,299.939702,295.179213,299.970731,307.289291,311.556076,282.341435
7.076,298.825257,292.581318,299.971041,295.179213,299.996134,307.291172,311.556684,282.340581
7.198,298.825257,292.588334,299.962397,295.178346,299.989573,307.290209,311.558884,282.340500
7.323,298.821950,292.582473,299.947148,295.176873,299.974056,307.291172,311.557340,282.351559
7.448,298.823141,292.579949,299.970155,295.179516,299.968648,307.288740,311.558884,282.340297
7.573,298.822568,292.580249,299.942672,295.179169,300.000612,307.289016,311.558276,282.341435
7.699,298.824640,292.580805,299.930704,295.179213,299.957299,307.287456,311.556404,282.340866
7.823,298.821686,292.582559,299.926228,295.175357,299.953398,307.290576,311.558884,282.342126
