timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
113.888,270.811762,260.025327,338.165821,562.951468
114.000,270.807662,260.021204,337.612550,563.196251
114.112,270.807662,260.020879,337.618957,563.250215
114.225,270.807662,260.020951,337.595061,563.172086
114.338,270.805479,260.018348,337.540975,562.784765
114.451,270.807126,260.020698,337.471102,562.411488
114.563,270.807126,260.017552,337.320979,562.073890
114.675,270.799770,260.012490,337.173941,561.721638
114.787,270.798429,260.017010,337.164557,561.901078
114.900,270.798698,260.015816,336.880245,562.089624
115.013,270.799502,260.014225,336.915745,561.957390
115.130,270.800575,260.016070,336.757605,561.783751
115.238,270.798429,260.013792,336.631054,561.770778
115.350,270.802222,260.018058,336.621326,561.488887
115.463,270.804674,260.020445,336.568144,561.264511
115.575,270.801686,260.018348,335.962190,560.810121
115.688,270.802759,260.018601,335.782023,560.770096
115.801,270.802759,260.019396,335.723300,561.129817
115.913,270.801686,260.017010,335.718976,560.937024
116.026,270.798698,260.016323,335.971212,561.046631
116.138,270.801418,260.017552,336.069700,560.649606
116.250,270.798429,260.015961,335.830387,560.651250
116.363,270.795671,260.015274,335.821005,560.624285
116.475,270.799234,260.011441,335.800002,560.545921
116.588,270.799234,260.016576,335.778688,561.275271
116.701,270.795135,260.016323,335.748674,561.247713
116.813,270.797050,260.015274,335.678656,561.222902
116.925,270.794062,260.015816,335.213032,561.258473
117.038,270.795978,260.014225,335.706317,561.394311
117.150,270.801686,260.017805,335.747632,561.208301
117.264,270.799770,260.018167,335.717986,560.972240
117.377,270.801150,260.018854,335.278230,560.733035
117.488,270.802759,260.020156,335.777333,561.726365
117.600,270.801686,260.020156,335.586321,561.447253
117.713,270.801686,260.019903,335.287902,561.223999
117.825,270.800307,260.019649,334.892818,560.999778
117.941,270.802490,260.018167,334.644130,560.904554
118.051,270.802759,260.024025,334.107034,560.495842
118.163,270.800039,260.022253,333.534220,560.490363
118.275,270.798429,260.021204,333.286259,561.157367
118.388,270.799770,260.018854,333.120360,561.616564
118.500,270.801418,260.020590,332.992422,561.683057
118.614,270.797318,260.017010,332.831364,561.784301
118.728,270.801954,260.019649,331.638326,561.610520
118.838,270.796514,260.017299,332.858997,562.264173
118.951,270.801954,260.020445,332.851792,562.448822
119.063,270.806053,260.027605,332.457846,563.465262
119.176,270.809846,260.025074,333.757959,564.148954
119.288,270.809310,260.022542,333.817790,563.913072
119.402,270.804674,260.020156,333.241358,564.015790
119.513,270.803065,260.021747,333.236770,563.649825
119.626,270.806322,260.021385,332.921273,563.762418
119.738,270.804942,260.023736,332.604919,563.432246
119.851,270.809310,260.022795,332.287919,563.900027
119.963,270.809310,260.023591,332.771735,564.553040
120.077,270.807662,260.023229,333.259864,564.507862
120.189,270.813409,260.025580,333.280021,564.442541
120.301,270.814482,260.025327,333.140144,565.044136
120.413,270.810383,260.023229,333.603596,564.228719
120.526,270.812298,260.023736,333.424263,564.124286
120.638,270.812835,260.025580,333.026717,563.788499
120.754,270.812835,260.027605,332.856732,564.179265
120.864,270.815287,260.024784,332.302755,563.930540
120.976,270.811494,260.024784,331.801578,563.663193
121.088,270.809310,260.023049,331.185023,563.513741
121.201,270.808773,260.025580,331.804498,563.515950
121.313,270.803601,260.023736,331.624556,562.918828
121.429,270.811494,260.022000,331.692696,562.641493
121.539,270.809310,260.022795,330.418170,561.161209
121.652,270.809578,260.025327,332.397697,562.924892
121.764,270.811225,260.024531,333.383307,562.881449
121.876,270.812030,260.024784,335.214696,564.068209
121.989,270.813141,260.026556,335.227016,564.056265
122.101,270.812835,260.024025,335.241989,563.779327
122.214,270.813946,260.025580,335.179452,563.257389
122.327,270.812030,260.025074,335.140161,562.972201
122.439,270.814214,260.027677,334.905174,562.710918
122.551,270.812298,260.022434,335.069339,562.955328
122.664,270.812030,260.023229,334.843350,563.127842
122.776,270.810383,260.020698,334.474253,562.995471
122.890,270.809846,260.023229,333.660753,562.490565
123.002,270.810383,260.023482,332.548638,562.315033
123.114,270.810383,260.023482,331.853681,561.841146
123.226,270.807126,260.017299,331.592772,562.524271
123.339,270.807931,260.021928,335.195410,562.439130
123.451,270.813677,260.022000,340.564881,563.883666
123.566,270.814482,260.023229,340.569667,563.637894
123.676,270.813409,260.022976,340.412775,563.832930
123.793,270.810383,260.020590,340.058596,564.026295
123.902,270.810957,260.021638,339.550004,563.739433
124.014,270.809846,260.021204,339.178134,563.408729
124.127,270.809042,260.018854,339.022533,562.871746
124.240,270.810957,260.021494,339.105764,562.607447
124.352,270.807969,260.013972,339.018464,562.208916
124.464,270.807126,260.018854,338.814344,561.774406
124.577,270.810651,260.021494,338.543848,561.424406
124.689,270.812873,260.024025,338.683621,561.836198
124.804,270.810957,260.020445,338.695440,562.247331
124.915,270.812298,260.020445,338.610665,562.225536
125.026,270.805785,260.022181,337.140078,559.825065
125.139,270.811762,260.024784,337.426386,561.493611
125.252,270.812030,260.025833,337.593065,561.403427
125.364,270.805479,260.019396,337.632403,560.962915
125.478,270.808237,260.022253,337.662975,560.647085
125.590,270.810957,260.025074,336.979796,560.286283
125.702,270.811762,260.020445,337.199787,560.472722
125.814,270.807931,260.020951,337.245771,558.191747
125.927,270.803027,260.022542,336.022277,559.919255
126.039,270.803333,260.023736,336.213332,559.966195
126.157,270.805479,260.022434,336.381136,559.729038
126.265,270.807931,260.024025,336.172874,559.817955
126.377,270.806590,260.020445,335.792706,559.238892
126.489,270.805210,260.020879,334.973246,558.767043
126.602,270.805479,260.021204,335.329195,558.606183
126.715,270.805479,260.022181,335.533686,559.023470
126.828,270.805479,260.022000,335.368831,559.211152
126.940,270.804138,260.022795,335.197749,558.830861
127.052,270.803333,260.023482,335.202064,558.593862
127.165,270.806053,260.022976,329.740969,556.234204
127.277,270.804942,260.024025,331.661926,556.408919
127.392,270.804406,260.023844,335.111892,557.247082
127.502,270.804674,260.020951,334.406586,556.281235
127.615,270.804406,260.022795,333.740446,556.860601
127.727,270.805479,260.022795,333.374385,556.974474
127.840,270.809310,260.025074,332.624299,556.478307
127.952,270.806590,260.024278,332.301728,557.190915
128.068,270.807126,260.023049,334.163695,557.001183
128.177,270.803333,260.023736,333.124636,556.982291
128.290,270.800039,260.021204,331.007453,556.401222
128.402,270.800575,260.017552,332.587442,554.782798
128.515,270.799234,260.017371,331.988834,557.317709
128.627,270.803065,260.022000,333.865128,558.949470
128.740,270.804942,260.020156,333.694166,525.407643
128.852,270.779888,260.003125,321.719182,557.990086
128.965,270.803333,260.019903,322.742065,556.496740
129.077,270.802490,260.017118,327.435172,558.700619
129.190,270.802490,260.021928,331.113356,558.545346
