timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
11.005,292.671857,282.401942,297.277801,284.065209
11.117,292.670787,282.413167,297.272200,284.094330
11.229,292.666678,282.413656,297.265417,284.096135
11.342,292.662870,282.410808,297.260997,284.092894
11.455,292.661201,282.410239,297.260078,284.094043
11.571,292.663255,282.407148,297.259815,284.087931
11.680,292.659746,282.407961,297.260691,284.089490
11.792,292.660901,282.409670,297.259203,284.089777
11.905,292.657991,282.409670,297.259509,284.088341
12.017,292.658590,282.408816,297.259203,284.089367
12.130,292.658975,282.408816,297.258371,284.086496
12.246,292.657477,282.407961,297.261872,284.109630
12.355,292.660644,282.409100,297.263973,284.110204
12.468,292.659746,282.407961,297.263010,284.111886
12.580,292.658975,282.407677,297.261303,284.111886
12.693,292.660644,282.407392,297.260691,284.114183
12.805,292.659746,282.408531,297.262135,284.113322
12.922,292.660345,282.406579,297.259203,284.111230
13.032,292.660430,282.407961,297.259815,284.111230
13.143,292.660730,282.410239,297.258897,284.108071
13.256,292.661800,282.409222,297.261566,284.109343
13.368,292.657392,282.408531,297.260384,284.109630
13.481,292.657178,282.406172,297.256271,284.108933
13.599,292.657392,282.407392,297.257409,284.109507
13.707,292.659446,282.407961,297.259509,284.111230
13.818,292.657477,282.408246,297.261872,284.111230
13.931,292.657178,282.407961,297.263010,284.110656
14.044,292.659146,282.409507,297.261566,284.109343
14.156,292.658590,282.409670,297.261872,284.109794
14.269,292.660901,282.411093,297.260691,284.110656
14.382,292.661800,282.408816,297.257759,284.111353
14.494,292.658291,282.408246,297.258940,284.111886
14.606,292.662656,282.409100,297.260384,284.111640
14.719,292.660901,282.407148,297.259815,284.108933
14.831,292.661286,282.410524,297.261872,284.110081
14.944,292.661201,282.410646,297.264279,284.110204
15.059,292.657991,282.408531,297.258897,284.106635
15.169,292.659746,282.407392,297.260997,284.108645
15.282,292.661201,282.407961,297.257409,284.107497
15.394,292.660345,282.410361,297.261303,284.110368
15.507,292.658590,282.409019,297.263623,284.107497
15.619,292.659831,282.407961,297.260384,284.104379
15.734,292.657991,282.408531,297.259815,284.106635
15.846,292.659446,282.408816,297.261303,284.107497
15.957,292.658676,282.407677,297.258897,284.108358
16.069,292.657777,282.409100,297.263010,284.099580
16.182,292.658376,282.407148,297.257715,284.098719
16.295,292.661201,282.409385,297.258371,284.100565
16.408,292.661500,282.408531,297.259203,284.102123
16.521,292.660644,282.405033,297.258328,284.099867
16.632,292.661500,282.408531,297.259509,284.101139
16.745,292.659446,282.408816,297.261303,284.102246
16.857,292.659146,282.407148,297.260691,284.098719
16.970,292.657777,282.407595,297.260384,284.099006
17.087,292.659746,282.406294,297.262704,284.100154
17.197,292.656622,282.406579,297.261566,284.098719
17.307,292.658077,282.407595,297.260997,284.097857
17.420,292.659446,282.410930,297.260384,284.094453
17.533,292.658376,282.408816,297.257759,284.090515
17.645,292.659831,282.408816,297.257453,284.091459
17.764,292.662656,282.411215,297.258678,284.089490
17.871,292.660644,282.407961,297.255965,284.083665
17.983,292.659746,282.405725,297.257759,284.085388
18.095,292.653369,282.406457,297.256271,284.084814
18.208,292.656322,282.404871,297.258590,284.085388
18.321,292.656622,282.408816,297.258590,284.082107
18.434,292.657178,282.409670,297.260078,284.084978
18.547,292.657777,282.409100,297.261303,284.074847
18.659,292.656921,282.409100,297.260384,284.070746
18.771,292.658975,282.405887,297.258897,284.064922
18.883,292.655252,282.404749,297.257453,284.054711
18.996,292.657178,282.407961,297.257409,284.037856
19.109,292.656022,282.405603,297.258021,284.029040
19.222,292.657178,282.406457,297.256271,284.010630
19.334,292.660131,282.411947,297.259815,284.094453
19.446,292.658590,282.408816,297.259509,284.096135
19.559,292.659232,282.408816,297.256884,284.096135
19.671,292.656022,282.407148,297.258678,284.098719
19.784,292.658291,282.407677,297.257759,284.096135
19.898,292.656921,282.406863,297.255702,284.099293
20.010,292.657178,282.409954,297.256271,284.099006
20.121,292.654567,282.407961,297.257759,284.098555
20.234,292.656322,282.407148,297.258897,284.098432
20.347,292.657178,282.409507,297.258590,284.099129
20.459,292.657477,282.410239,297.256577,284.099580
20.574,292.655509,282.408816,297.256884,284.099293
20.686,292.656322,282.409507,297.257102,284.085101
20.797,292.656022,282.407677,297.256884,284.083091
20.909,292.659532,282.410808,297.257102,284.083255
21.022,292.657777,282.406294,297.253646,284.083378
21.135,292.657991,282.404464,297.253602,284.077718
21.251,292.656622,282.407961,297.257453,284.084240
21.361,292.653198,282.406172,297.255702,284.082107
21.472,292.655723,282.406009,297.255702,284.067793
21.585,292.656022,282.406457,297.255396,284.071320
21.698,292.654867,282.404179,297.254783,284.069598
21.810,292.655423,282.406172,297.255702,284.069064
21.923,292.656622,282.407392,297.254477,284.066358
22.035,292.652813,282.405440,297.253077,284.063241
22.148,292.651444,282.398973,297.251808,284.066358
22.263,292.652813,282.403244,297.251808,284.049748
22.373,292.654268,282.404179,297.252727,284.056146
22.485,292.654867,282.405155,297.253602,284.057130
22.598,292.657178,282.406579,297.255965,284.059386
22.711,292.657178,282.404586,297.252420,284.060534
22.824,292.656622,282.403610,297.253295,284.059673
22.936,292.652299,282.403894,297.254477,284.062256
23.049,292.656921,282.403325,297.252989,284.061682
23.161,292.653369,282.404749,297.254477,284.060534
23.273,292.656622,282.408246,297.257409,284.058853
23.386,292.654867,282.406579,297.259815,284.060821
23.498,292.654268,282.406863,297.257453,284.062954
23.614,292.655723,282.404464,297.253908,284.062954
23.724,292.652899,282.400112,297.251589,284.058442
23.836,292.650844,282.398119,297.251808,284.069228
23.949,292.635868,282.384333,297.224111,284.111886
24.061,292.655723,282.407880,297.253602,284.113896
24.174,292.659746,282.406579,297.253908,284.114183
24.290,292.658590,282.409100,297.257102,284.116193
24.399,292.657777,282.407961,297.257715,284.115045
24.511,292.656322,282.408450,297.257102,284.115332
24.624,292.656022,282.406579,297.255702,284.115045
24.737,292.655423,282.405318,297.256271,284.116193
24.849,292.656622,282.407677,297.258897,284.118860
24.966,292.657777,282.408531,297.260384,284.117998
25.075,292.656921,282.407026,297.256840,284.118573
25.187,292.655423,282.407677,297.255090,284.118286
25.299,292.657178,282.409385,297.254783,284.117998
25.412,292.657477,282.406741,297.254214,284.116317
25.524,292.655423,282.407148,297.255090,284.116029
25.638,292.658291,282.407392,297.251589,284.115455
25.751,292.660045,282.407961,297.251589,284.114594
25.862,292.656322,282.403040,297.251589,284.114183
25.975,292.653754,282.405318,297.251851,284.114594
26.087,292.658077,282.406741,297.252420,284.117711
26.200,292.656921,282.408531,297.254477,284.116193
26.315,292.656921,282.408246,297.252770,284.116317
26.426,292.655423,282.407392,297.256577,284.117137
26.537,292.654353,282.409100,297.255396,284.114306
26.650,292.657178,282.409670,297.255921,284.117424
26.763,292.657477,282.408246,297.254783,284.117588
26.875,292.656322,282.407880,297.253602,284.114594
26.993,292.655252,282.407392,297.254783,284.117424
27.101,292.658676,282.408450,297.252989,284.117711
27.219,292.659446,282.407677,297.255090,284.115332
27.327,292.658376,282.406172,297.250933,284.116317
27.438,292.656622,282.403894,297.253602,284.114758
27.550,292.656322,282.404179,297.253339,284.116891
27.663,292.654867,282.406457,297.255702,284.117711
27.775,292.654054,282.405887,297.253295,284.115332
27.888,292.655423,282.408246,297.253908,284.114183
28.004,292.654353,282.408531,297.258590,284.116317
28.114,292.657178,282.407148,297.259509,284.117875
28.226,292.656322,282.409385,297.255090,284.116891
28.338,292.653112,282.404464,297.250364,284.117424
28.451,292.653498,282.407148,297.254214,284.117424
28.563,292.653198,282.406863,297.253295,284.115619
28.676,292.656022,282.407392,297.252770,284.111886
28.789,292.655723,282.406741,297.254214,284.115455
28.902,292.655423,282.407392,297.251283,284.110779
29.014,292.657477,282.407311,297.251239,284.113199
29.126,292.656322,282.408816,297.256577,284.111640
29.239,292.656022,282.407961,297.255396,284.113322
29.352,292.655723,282.410239,297.255090,284.108358
29.465,292.656022,282.406579,297.257190,284.108769
29.577,292.653112,282.407148,297.257190,284.106102
29.689,292.655423,282.410076,297.257759,284.103969
29.801,292.657777,282.408246,297.254477,284.101139
29.914,292.656622,282.408816,297.253908,284.099580
30.027,292.654867,282.404179,297.253295,284.095314
30.140,292.653669,282.402756,297.252727,284.092894
30.253,292.652813,282.402756,297.253339,284.093468
30.364,292.655723,282.404464,297.255090,284.093181
30.477,292.656322,282.407392,297.252114,284.091746
30.590,292.656622,282.404464,297.252420,284.086783
30.702,292.658376,282.407392,297.252770,284.085388
30.817,292.654653,282.410808,297.258897,284.087070
30.927,292.657477,282.406579,297.256534,284.083255
31.040,292.656022,282.407677,297.256534,284.080261
31.152,292.656022,282.405603,297.258065,284.080671
31.265,292.655723,282.407961,297.257102,284.079728
31.377,292.656022,282.407677,297.255396,284.084814
31.492,292.653498,282.406172,297.254477,284.082107
31.602,292.654953,282.405318,297.254783,284.078292
31.717,292.656022,282.406863,297.257715,284.082107
31.829,292.660901,282.408816,297.255702,284.080261
31.940,292.660644,282.407961,297.255090,284.082107
32.053,292.661500,282.406457,297.256271,284.077267
32.165,292.660901,282.406863,297.255090,284.077554
32.278,292.655723,282.406457,297.253908,284.072181
32.394,292.652299,282.405155,297.254783,284.072181
32.503,292.653968,282.406294,297.252158,284.058565
32.615,292.655723,282.403894,297.252727,284.055572
32.728,292.648576,282.401942,297.256884,284.058155
32.841,292.652599,282.404749,297.255090,284.053029
32.953,292.653754,282.404464,297.252114,284.058155
33.066,292.654653,282.408246,297.256271,284.094617
33.178,292.656022,282.407392,297.255965,284.095314
33.296,292.657991,282.407961,297.255396,284.087480
33.404,292.653754,282.406457,297.254783,284.086208
33.516,292.658077,282.405318,297.251283,284.082107
33.628,292.657777,282.404871,297.253602,284.080384
33.741,292.658376,282.407148,297.255396,284.078292
33.854,292.652599,282.407148,297.255702,284.071607
33.966,292.655423,282.405603,297.254477,284.066645
34.079,292.653754,282.407677,297.254214,284.065660
34.192,292.654353,282.405887,297.251283,284.077431
34.304,292.653968,282.406294,297.255090,284.084527
34.416,292.653754,282.406457,297.255702,284.083542
34.529,292.654567,282.405725,297.256534,284.086783
34.642,292.652214,282.406579,297.253908,284.088505
34.757,292.655167,282.407392,297.253908,284.087767
34.868,292.653968,282.405725,297.255702,284.081533
34.979,292.655423,282.405318,297.255396,284.078005
35.092,292.657477,282.404179,297.254783,284.080015
35.204,292.658376,282.407148,297.254783,284.071033
35.317,292.657477,282.404464,297.251851,284.074601
35.432,292.655423,282.405318,297.252420,284.075709
35.543,292.653198,282.405318,297.253295,284.078867
35.654,292.653198,282.399949,297.250364,284.064922
35.767,292.652599,282.403040,297.252989,284.065783
35.880,292.649475,282.391694,297.254783,284.063118
35.992,292.653112,282.404749,297.248876,284.047780
36.110,292.655423,282.405318,297.255965,284.059386
36.218,292.654353,282.404179,297.255090,284.059960
36.330,292.653369,282.403040,297.254214,284.057007
36.443,292.653968,282.404871,297.252158,284.054711
36.555,292.656022,282.406172,297.252114,284.049748
36.668,292.655167,282.403040,297.253295,284.045074
36.780,292.654567,282.405440,297.254214,284.047493
36.894,292.657178,282.403325,297.253602,284.043925
37.006,292.653112,282.395191,297.250933,284.033428
37.118,292.650245,282.403325,297.253295,284.035724
37.231,292.650844,282.397265,297.250670,284.026375
37.343,292.654268,282.405155,297.252158,284.030885
37.461,292.640189,282.390108,297.258897,284.034002
37.569,292.656921,282.409507,297.232993,282.716243
37.681,292.659446,282.410646,297.257759,284.120009
37.794,292.657477,282.410524,297.258590,284.121855
37.906,292.657777,282.411947,297.259815,284.122388
38.019,292.657477,282.411093,297.256840,284.120296
38.131,292.660345,282.410361,297.257190,284.121567
38.244,292.661201,282.409507,297.257409,284.122142
38.357,292.659831,282.410239,297.257190,284.118860
38.469,292.660430,282.408531,297.254477,284.115045
38.582,292.655423,282.408816,297.254783,284.115906
38.694,292.657178,282.406457,297.256577,284.116604
38.807,292.656921,282.406863,297.256271,284.115045
38.919,292.657178,282.406863,297.258897,284.116481
39.032,292.657178,282.409100,297.261872,284.114758
39.144,292.656921,282.408246,297.262441,284.113035
39.257,292.655423,282.406863,297.259509,284.115455
39.372,292.654353,282.405887,297.258021,284.113896
39.483,292.655723,282.408246,297.257759,284.113035
39.594,292.656322,282.405440,297.258371,284.119147
39.707,292.657777,282.405155,297.261566,284.119434
39.820,292.660045,282.406294,297.266598,284.112460
39.932,292.659746,282.406579,297.265417,284.108645
40.045,292.659746,282.404179,297.267736,284.107661
40.158,292.654268,282.390108,297.243013,282.585936
40.270,292.655423,282.405155,297.272200,284.112173
40.383,292.651700,282.397550,297.266598,283.922089
40.495,292.653498,282.396981,297.266905,283.944794
40.608,292.651700,282.398973,297.272200,283.990869
40.725,292.651700,282.397550,297.273994,283.995296
40.834,292.657178,282.408246,297.280733,283.936884
40.946,292.657178,282.409385,297.281083,284.182455
41.058,292.658676,282.410808,297.281609,284.185985
41.171,292.656322,282.411500,297.284278,284.192099
41.283,292.661500,282.412232,297.286029,284.195669
41.396,292.661500,282.411500,297.284541,284.194972
41.510,292.661800,282.411500,297.284891,284.187134
41.621,292.661500,282.409670,297.285416,284.186846
41.733,292.657178,282.409670,297.283972,284.180075
41.846,292.659146,282.406863,297.286948,284.163169
41.959,292.656622,282.406294,297.286685,284.138060
42.072,292.654054,282.402756,297.288392,284.126695
42.184,292.654867,282.401942,297.289836,284.081533
42.297,292.655723,282.402471,297.291631,284.088505
42.409,292.654867,282.403325,297.295745,284.092607
42.521,292.656622,282.403040,297.298721,284.106389
42.634,292.655723,282.400397,297.304630,284.054711
42.746,292.655723,282.401251,297.310801,284.100565
42.861,292.657477,282.400682,297.315835,284.100852
42.972,292.656622,282.401942,297.324677,284.121567
43.084,292.658291,282.402105,297.329667,284.122675
43.197,292.656322,282.402756,297.334438,284.143967
43.309,292.655167,282.400234,297.335620,284.093879
43.422,292.654054,282.399258,297.335314,284.124111
43.539,292.655167,282.398689,297.337108,284.063241
43.648,292.653968,282.398973,297.336758,284.104256
43.759,292.652299,282.400804,297.339954,284.120009
43.872,292.656622,282.401942,297.342712,284.154758
43.985,292.653968,282.403325,297.343237,284.157343
44.097,292.657178,282.404301,297.344725,284.197352
44.214,292.656622,282.406457,297.344156,284.221649
44.323,292.641944,282.394459,297.320518,284.461901
44.435,292.661800,282.416015,297.350022,284.473572
44.547,292.661500,282.417438,297.354138,284.487627
44.660,292.661500,282.418089,297.353306,284.500450
44.773,292.660345,282.422482,297.356852,284.506698
44.885,292.660644,282.421627,297.355363,284.517796
44.998,292.663854,282.418577,297.356546,284.532594
45.110,292.662656,282.422075,297.357377,284.545256
45.223,292.662955,282.425288,297.358559,284.556315
45.335,292.663169,282.425858,297.360967,284.566141
