timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
8.109,292.685081,282.394907,297.337940,284.343956
8.223,292.686365,282.440623,297.328835,284.378457
8.334,292.680202,282.441762,297.319380,284.367367
8.446,292.675281,282.435132,297.315222,284.365806
8.558,292.674125,282.432203,297.313734,284.366381
8.671,292.671857,282.428501,297.311720,284.365519
8.783,292.670402,282.432488,297.314040,284.365519
8.897,292.667577,282.434562,297.311414,284.362397
9.010,292.666978,282.432772,297.312245,284.361986
9.121,292.668433,282.432488,297.310801,284.362397
9.234,292.669246,282.429071,297.313427,284.364122
9.346,292.667577,282.433464,297.314653,284.365272
9.459,292.669931,282.433464,297.315528,284.366381
9.578,292.670102,282.434562,297.315222,284.367244
9.684,292.669332,282.430494,297.313471,284.369544
9.796,292.670402,282.433179,297.312552,284.366792
9.909,292.671386,282.433708,297.313777,284.367655
10.022,292.672156,282.435416,297.314390,284.368394
10.134,292.676479,282.434847,297.312552,284.365519
10.253,292.674211,282.434277,297.314390,284.366956
10.361,292.671086,282.429925,297.313777,284.365806
10.472,292.670701,282.434562,297.312027,284.366094
10.584,292.668433,282.433179,297.313471,284.365806
10.697,292.670701,282.430901,297.310538,284.364410
10.810,292.670188,282.435416,297.314346,284.364122
10.930,292.668647,282.432772,297.315835,284.364410
11.035,292.666978,282.433464,297.312858,284.361699
11.147,292.666208,282.430494,297.309357,284.364985
11.260,292.667877,282.432488,297.312858,284.366669
11.372,292.667877,282.432610,297.312289,284.365519
11.485,292.668433,282.431471,297.313777,284.366094
11.598,292.669931,282.430779,297.310538,284.364122
11.710,292.671600,282.431755,297.308788,284.362972
11.824,292.671300,282.432203,297.311720,284.364985
11.935,292.668133,282.431471,297.309619,284.361986
12.048,292.667877,282.431064,297.312027,284.362274
12.160,292.666678,282.431471,297.310538,284.363136
12.273,292.669931,282.434277,297.311676,284.361699
12.389,292.666978,282.428786,297.315528,284.362561
12.498,292.668433,282.430617,297.315835,284.362561
12.610,292.668133,282.431186,297.313208,284.362561
12.723,292.668733,282.430210,297.311414,284.365149
12.836,292.667877,282.432325,297.313208,284.363999
12.948,292.668133,282.429071,297.313208,284.365806
13.065,292.669802,282.429640,297.311107,284.363835
13.174,292.668133,282.426427,297.310232,284.362274
13.286,292.669802,282.430901,297.310801,284.361986
13.399,292.669631,282.429640,297.311107,284.362685
13.511,292.669332,282.433993,297.311720,284.366381
13.624,292.669546,282.433464,297.311720,284.364985
13.741,292.669802,282.432610,297.314040,284.365519
13.849,292.669802,282.433464,297.313208,284.366792
13.961,292.672156,282.433464,297.313165,284.365519
14.074,292.671857,282.432203,297.314084,284.364410
14.187,292.670701,282.431186,297.315528,284.365272
14.299,292.670787,282.428786,297.311720,284.368230
14.417,292.666678,282.430494,297.312289,284.368230
14.526,292.668647,282.431471,297.313471,284.367367
14.637,292.671857,282.433708,297.312552,284.366094
14.749,292.672456,282.433342,297.314040,284.367531
14.862,292.672156,282.430779,297.312289,284.363999
14.975,292.673355,282.430617,297.312552,284.364410
15.087,292.670787,282.432772,297.314915,284.364574
15.201,292.667577,282.433708,297.314040,284.363835
15.313,292.667577,282.431755,297.311939,284.365272
15.425,292.669246,282.432894,297.312858,284.364410
15.537,292.668133,282.430901,297.315222,284.363835
15.650,292.667877,282.432772,297.315528,284.362849
15.763,292.668947,282.432610,297.315835,284.364122
15.876,292.669332,282.431918,297.312027,284.367080
15.988,292.670402,282.431471,297.313734,284.368805
16.100,292.667877,282.432610,297.313471,284.367080
16.213,292.668947,282.430494,297.311414,284.364862
16.325,292.671686,282.433179,297.312596,284.364985
16.438,292.670701,282.430494,297.312245,284.364862
16.552,292.671386,282.430494,297.313208,284.364410
16.665,292.669246,282.430494,297.311107,284.364697
16.775,292.668647,282.432203,297.313471,284.362685
16.888,292.669546,282.431633,297.312027,284.364122
17.001,292.668947,282.431471,297.314346,284.365806
17.113,292.666978,282.431633,297.316404,284.366505
17.232,292.666678,282.428501,297.315528,284.364985
17.339,292.668947,282.430901,297.316141,284.364122
17.451,292.668947,282.431471,297.314084,284.366669
17.563,292.668433,282.431633,297.312027,284.366792
17.678,292.671300,282.429640,297.312858,284.365519
17.789,292.670188,282.430779,297.314653,284.364697
17.901,292.672156,282.431349,297.314084,284.363835
18.014,292.672456,282.432203,297.313165,284.369092
18.126,292.675409,282.433708,297.312858,284.367244
18.240,292.671857,282.433627,297.313734,284.364410
18.352,292.671300,282.436840,297.314915,284.367819
18.464,292.671686,282.432894,297.316141,284.367819
18.577,292.671001,282.434847,297.316404,284.366669
18.689,292.671300,282.434481,297.316710,284.368106
18.802,292.671857,282.431349,297.319030,284.368517
18.915,292.668947,282.431064,297.315222,284.366381
19.027,292.671857,282.433179,297.313471,284.365806
19.139,292.667278,282.429640,297.311720,284.368230
19.252,292.669802,282.431064,297.313165,284.365806
19.365,292.669802,282.430210,297.312027,284.364862
19.477,292.670787,282.431349,297.313734,284.364410
19.593,292.670701,282.432894,297.312027,284.364410
19.703,292.671001,282.430617,297.314653,284.366669
19.815,292.665822,282.433179,297.314390,284.363711
19.927,292.665523,282.432203,297.311720,284.362972
20.040,292.668433,282.428501,297.309313,284.363547
20.153,292.667877,282.429640,297.313471,284.363547
20.270,292.665523,282.427851,297.312289,284.363260
20.379,292.668733,282.431349,297.314040,284.362972
20.490,292.667877,282.429071,297.314346,284.364574
20.603,292.667877,282.429356,297.313208,284.364410
20.715,292.670402,282.429640,297.314040,284.367819
20.828,292.668433,282.428989,297.314653,284.367244
20.945,292.670787,282.429640,297.313471,284.363260
21.054,292.672456,282.430494,297.312289,284.365806
21.166,292.671001,282.432203,297.314915,284.366669
21.278,292.672456,282.433057,297.315528,284.364410
21.391,292.669931,282.432488,297.312858,284.362972
21.503,292.665608,282.431349,297.314346,284.363136
21.620,292.669032,282.429356,297.311414,284.363136
21.729,292.668733,282.430779,297.314040,284.365272
21.842,292.668347,282.431918,297.314346,284.363835
21.954,292.668947,282.429640,297.316141,284.367655
22.066,292.669802,282.432203,297.314653,284.364697
22.179,292.669332,282.432203,297.314346,284.365806
22.297,292.669032,282.432203,297.314915,284.368230
22.405,292.671300,282.432894,297.316404,284.368230
22.517,292.671600,282.434481,297.313427,284.366094
22.629,292.672755,282.431186,297.314346,284.364985
22.742,292.671300,282.432894,297.312289,284.364862
22.854,292.670787,282.431064,297.314697,284.365519
22.967,292.666678,282.434847,297.316404,284.365396
23.081,292.667877,282.431186,297.316404,284.368106
23.193,292.666678,282.431471,297.315222,284.364985
23.305,292.667877,282.431064,297.315222,284.362274
23.417,292.668433,282.432772,297.316973,284.363835
23.530,292.667577,282.430210,297.317323,284.361411
23.643,292.668133,282.431186,297.314915,284.363260
23.757,292.666678,282.430210,297.313208,284.366669
23.868,292.665223,282.428501,297.312027,284.362274
23.980,292.666379,282.431633,297.313427,284.364410
24.093,292.670188,282.431064,297.310538,284.363547
24.205,292.669802,282.429640,297.309926,284.363260
24.318,292.669246,282.428989,297.312552,284.363999
24.431,292.671600,282.431349,297.317323,284.368394
24.543,292.670188,282.430779,297.314084,284.365806
24.655,292.667877,282.432772,297.313427,284.364410
24.768,292.666678,282.431064,297.313427,284.364985
