timestamp,CH0_pF
5.654,471.706960,252.936318
5.762,472.745240,252.937570
5.869,477.360743,252.938439
5.972,475.510586,252.936562
6.083,477.677078,252.938717
6.193,476.896206,252.938961
6.292,476.419531,252.936040
6.398,470.503612,252.940491
6.504,469.285612,252.938196
6.610,469.111528,252.940491
6.717,469.545518,252.938717
6.823,469.769889,252.935797
6.932,469.769466,252.936562
7.040,469.881540,252.938717
7.142,470.049598,252.938439
7.257,469.716195,252.937953
7.365,470.227921,252.937431
7.461,470.551494,252.939482
7.581,470.806133,252.939726
7.674,470.442327,252.936805
7.780,470.473053,252.938717
7.886,470.469658,252.939482
7.993,470.863068,252.940491
8.099,470.106654,252.935797
8.212,469.597829,252.937188
8.316,469.760912,252.935275
8.418,469.447098,252.935797
8.525,469.653874,252.936562
8.634,469.660563,252.934510
8.738,467.615866,252.936805
8.850,465.978267,252.940004
8.951,465.283931,252.938961
9.057,465.024277,252.938196
9.169,464.780427,252.936909
9.273,464.844062,252.937431
9.376,464.926314,252.936040
9.482,464.450197,252.938439
9.589,463.761995,252.935553
9.701,463.717026,252.937953
9.804,464.880848,252.937188
9.909,467.252950,252.936562
10.024,468.242260,252.937674
10.125,473.950165,252.938961
10.227,474.716542,252.938717
10.333,467.671062,252.936666
10.440,466.054364,252.936805
10.549,466.787966,252.937674
10.655,464.616269,252.939726
10.759,465.292367,252.940247
10.870,465.248185,252.939239
10.973,464.935575,252.936805
11.078,463.382829,252.940004
11.185,464.418208,252.939239
11.296,464.594349,252.938196
11.399,464.481271,252.937431
11.505,465.016265,252.939239
11.620,465.260712,252.938717
11.719,465.401304,252.937188
11.824,465.316006,252.940004
11.930,462.976333,252.937188
12.037,485.367439,252.938196
12.146,504.681447,252.938196
12.253,505.448914,252.938335
12.356,506.608414,252.940247
12.466,506.764631,252.939482
12.570,506.532789,252.942299
12.676,506.365339,252.940491
12.791,506.523715,252.940004
12.893,504.332630,252.941012
12.995,504.160231,252.940247
13.102,504.527011,252.939482
13.214,504.455785,252.941882
13.318,504.329625,252.939726
13.421,504.362123,252.939239
13.527,504.486980,252.940769
13.642,504.735041,252.937953
13.743,505.608852,252.938439
13.847,504.660388,252.936318
13.960,504.492899,252.935797
14.062,504.713978,252.937953
14.166,505.801970,252.935553
14.272,504.895685,252.938961
14.385,504.737674,252.940004
14.489,504.753660,252.941256
14.592,504.631809,252.938717
14.702,504.700909,252.937431
