timestamp,CH0_pF
16.315,579.796782,251.990290
16.415,578.428447,251.992330
16.517,565.128855,251.989771
16.622,566.141712,251.991535
16.735,566.884855,251.989252
16.837,569.779465,251.992676
16.943,577.317268,251.991293
17.047,578.323474,251.991639
17.153,578.931555,251.991051
17.260,579.336273,251.991396
17.378,578.636409,251.991535
17.476,577.762487,251.992572
17.579,577.115031,251.991535
17.685,579.402520,251.994959
17.792,579.901686,251.992330
17.903,579.402520,251.994440
18.005,578.367525,251.993679
18.111,578.243874,251.991051
18.218,578.286196,251.993956
18.324,577.193832,251.994198
18.431,576.298329,251.991812
18.542,576.430390,251.993195
18.645,576.700813,251.991051
18.750,577.332372,251.992815
18.857,577.640171,251.991812
18.966,578.594624,251.990532
19.073,578.941780,251.991535
19.176,578.915241,251.990013
19.292,578.307645,251.990013
19.395,578.543777,251.990290
19.496,578.384963,251.991051
19.602,578.982452,251.991915
19.709,578.665225,251.991535
19.820,579.175417,251.991535
19.922,578.678313,251.989771
20.028,577.670059,251.990532
20.134,577.893321,251.990774
20.251,577.570211,251.993437
20.353,578.355594,251.992572
20.454,578.049071,251.992572
20.560,578.500280,251.993437
20.670,579.642644,251.992054
20.775,579.711821,251.990532
20.880,579.234279,251.991293
20.986,580.467445,251.990290
21.093,580.621327,251.989771
21.204,578.039442,251.989529
21.306,578.767073,251.990013
21.412,578.915701,251.989771
21.523,579.002905,251.989252
21.627,579.761092,251.987108
21.732,578.996125,251.989252
21.838,578.647201,251.989529
21.955,579.553113,251.992330
22.055,579.651737,251.991293
22.158,579.488566,251.990774
22.264,578.956486,251.991812
22.374,579.110357,251.991293
22.479,579.457390,251.991535
22.587,579.843300,251.992918
22.690,578.949707,251.993195
22.801,578.628029,251.988768
22.905,579.502717,251.991396
23.010,579.878998,251.992918
23.116,580.020787,251.990878
23.222,580.023667,251.991051
23.332,578.823003,251.992572
23.437,579.705605,251.989771
23.542,579.957200,251.992330
23.650,580.290220,251.990013
23.754,579.893163,251.989529
23.861,580.180719,251.988249
23.967,580.374844,251.990013
24.080,579.911936,251.989771
24.182,580.162049,251.991154
24.287,580.593522,251.993437
24.402,581.053300,251.993679
24.502,580.952595,251.992572
24.606,579.971483,251.991812
24.714,580.483822,251.989529
24.819,581.155648,251.992054
