timestamp,CH0_pF
13.983,316.386766,252.937674
14.096,316.231992,252.938196
14.206,315.020285,252.937674
14.302,317.014577,252.941256
14.408,313.599643,252.939482
14.515,313.434168,252.941638
14.633,313.216087,252.941882
14.730,311.054983,252.937570
14.839,317.476980,252.940247
14.943,317.281997,252.937188
15.047,312.956768,252.940247
15.162,311.984736,252.939239
15.260,310.006482,252.937953
15.366,311.691329,252.939100
15.472,310.728090,252.938196
15.584,315.744515,252.938961
15.686,315.866677,252.938857
15.795,315.977015,252.938439
15.900,315.863813,252.936040
16.005,315.867918,252.936805
16.111,315.879517,252.937674
16.218,315.954140,252.937848
16.330,316.061035,252.940491
16.440,316.056592,252.939726
16.540,316.090323,252.936805
16.643,316.134095,252.938196
16.750,316.099306,252.938857
16.856,316.099306,252.938857
16.970,316.045508,252.938857
17.071,315.984369,252.939100
17.179,315.980262,252.937570
17.282,315.959107,252.937674
17.389,315.997217,252.938613
17.504,316.022102,252.936562
17.602,316.047515,252.935032
17.708,316.057117,252.935275
17.817,316.054251,252.935032
17.921,316.049091,252.933989
18.028,316.024968,252.936040
18.142,316.095818,252.937674
18.246,316.109962,252.939726
18.348,316.135385,252.940004
18.458,316.130654,252.938335
18.561,316.108385,252.940247
18.667,316.147907,252.938439
18.774,316.159521,252.938196
18.884,316.185237,252.938717
18.996,316.190734,252.937327
19.096,316.190543,252.938961
19.200,316.221139,252.938335
19.306,316.337012,252.938961
19.424,316.358682,252.937431
19.519,316.351171,252.938961
19.629,316.345048,252.938196
19.732,316.303578,252.937570
19.839,316.273592,252.940491
19.950,316.308935,252.941012
20.059,316.309270,252.938092
20.161,316.300708,252.943168
20.264,316.306400,252.938961
20.371,316.326967,252.941256
20.485,316.395426,252.940769
20.586,316.459216,252.938961
20.695,316.528290,252.939726
20.800,316.472857,252.938961
20.903,316.465342,252.938335
21.009,316.422270,252.937188
21.126,316.403129,252.936562
21.226,316.416001,252.938961
21.328,316.415044,252.937674
21.438,316.444427,252.938961
21.542,316.452419,252.939482
21.648,316.429974,252.936909
21.755,316.416432,252.938717
21.865,316.373130,252.938857
21.970,316.395426,252.940769
22.078,316.399206,252.939239
22.180,316.416001,252.938335
22.287,316.410498,252.940247
22.397,316.426337,252.939482
22.502,316.453712,252.940769
22.607,316.456248,252.939726
22.716,316.450553,252.938439
22.819,316.421791,252.937327
22.926,316.441891,252.936562
23.044,316.461417,252.936805
23.140,316.533030,252.937570
23.251,316.535711,252.935032
23.354,316.520917,252.937188
23.458,316.530540,252.937083
23.564,316.524700,252.938857
23.677,316.488557,252.937570
23.777,316.499901,252.937848
23.888,316.514981,252.937570
23.992,316.532743,252.938857
24.097,316.523742,252.937431
24.204,316.509284,252.938196
24.317,316.497029,252.940247
24.417,316.498465,252.937083
24.526,316.481185,252.938335
24.630,316.495976,252.937327
24.736,316.498800,252.940247
24.854,316.479605,252.938961
24.951,316.473814,252.939482
25.063,316.452419,252.940491
25.164,316.458258,252.939239
25.268,311.345803,252.938335
25.375,312.109511,252.938613
25.491,309.688358,252.939239
25.593,314.593657,252.937327
25.695,314.473575,252.937431
25.803,314.059417,252.937431
25.908,314.107900,252.936805
26.015,314.109274,252.936562
26.121,314.141760,252.936318
26.233,314.176572,252.935032
26.336,314.180030,252.935797
26.445,314.262134,252.936040
26.547,314.263982,252.935275
26.653,314.287960,252.936805
26.762,314.240480,252.936040
26.873,314.137592,252.937083
26.973,314.110836,252.939239
27.080,314.136030,252.935032
27.194,314.147538,252.938439
27.293,314.161510,252.938857
27.403,314.124238,252.936562
27.506,314.092985,252.936805
27.613,314.060695,252.937570
27.722,313.973982,252.936909
27.830,314.052411,252.938613
27.934,314.115003,252.939726
28.038,314.126179,252.938961
28.145,314.158289,252.938857
28.256,314.182019,252.938196
28.358,314.212242,252.937848
28.467,314.347350,252.937188
28.570,314.391392,252.938439
28.677,314.393099,252.942125
28.788,314.412777,252.939726
28.890,314.346117,252.937188
29.000,314.335546,252.936909
29.106,314.352375,252.937327
29.210,314.334930,252.938613
29.316,314.314501,252.937674
29.427,314.339007,252.935797
29.536,314.419890,252.937953
29.637,314.393384,252.938961
29.742,314.359817,252.936805
29.859,314.442273,252.938717
29.956,314.439048,252.937953
30.062,314.396845,252.938717
30.171,314.372286,252.938196
30.275,314.345074,252.937188
30.381,314.315970,252.935797
30.495,314.242564,252.937848
30.596,314.220912,252.937188
30.704,314.206179,252.938613
30.807,314.106338,252.938092
30.913,314.091280,252.938857
31.021,314.097057,252.936318
31.127,314.122959,252.935553
31.233,314.153884,252.937570
31.342,314.148485,252.939726
31.449,314.166341,252.939482
31.557,314.213616,252.940247
31.659,314.241948,252.940491
31.765,314.252183,252.939726
31.876,314.243275,252.937431
31.978,314.247160,252.938717
32.088,314.289193,252.938335
32.191,314.316065,252.936040
32.298,314.300709,252.936805
32.409,314.327488,252.937570
32.512,314.307723,252.935553
32.623,314.296017,252.938717
32.727,314.264314,252.936805
32.830,314.263697,252.935275
32.937,314.291088,252.936805
33.048,314.313458,252.937570
33.150,314.295591,252.938717
33.257,314.303647,252.937431
33.363,314.286397,252.937083
33.472,314.293079,252.937953
33.576,314.303932,252.937327
33.685,314.314406,252.937848
33.789,314.301325,252.935797
33.895,314.343510,252.938196
34.006,314.324360,252.934267
34.116,314.340998,252.933989
34.217,314.346733,252.934510
34.321,314.349672,252.933398
34.428,314.383143,252.935553
34.544,314.392673,252.936040
34.642,314.393289,252.935797
34.750,314.409315,252.935032
34.856,314.291420,252.938092
34.959,314.100892,252.937953
35.066,314.722874,252.939482
35.178,315.441263,252.941012
35.281,315.558109,252.939726
35.388,315.651030,252.937848
35.491,315.391532,252.937674
35.598,315.191197,252.939239
35.708,315.308100,252.937848
35.812,315.385864,252.936909
35.923,315.389675,252.936562
36.024,315.400487,252.937327
36.131,315.410252,252.938439
36.237,315.360432,252.936805
36.353,315.330908,252.936040
36.450,315.314814,252.936562
36.558,315.297579,252.936318
36.663,315.176350,252.935797
36.769,315.128296,252.938717
36.887,315.141379,252.938961
36.983,315.152322,252.936040
37.090,315.186867,252.938857
37.195,315.201048,252.939482
37.301,315.235076,252.937674
37.412,315.303387,252.939726
37.515,315.354670,252.940004
37.624,315.403440,252.937188
37.730,315.453793,252.939726
37.833,315.434880,252.937570
37.940,315.427925,252.938335
38.051,315.426876,252.937953
38.153,315.427496,252.938961
38.264,315.446838,252.936562
38.368,315.477235,252.936805
38.472,315.460511,252.937083
38.579,315.513213,252.935797
38.685,315.541808,252.938092
38.795,315.509638,252.939239
38.902,315.506779,252.936909
39.013,315.502586,252.935797
39.112,315.498154,252.937848
39.217,315.421065,252.937327
39.324,315.330289,252.937188
39.438,315.259447,252.937674
39.539,315.254210,252.938335
39.643,315.241692,252.939100
39.752,315.241359,252.940004
39.857,315.238551,252.938857
39.963,315.249165,252.939482
40.076,315.248213,252.941256
40.179,315.248832,252.937431
40.283,315.219322,252.937953
40.394,315.198858,252.939482
40.498,315.232458,252.940004
40.601,315.224796,252.938196
40.708,315.242739,252.938196
40.818,315.271823,252.937848
40.923,315.316195,252.937848
41.033,315.333241,252.936909
41.134,315.361051,252.938613
41.240,315.362004,252.937327
41.346,315.361051,252.937570
41.456,315.368528,252.937431
41.569,315.381864,252.937570
41.667,315.363290,252.937327
41.772,315.338241,252.936318
41.878,315.347289,252.936318
41.995,315.359194,252.936562
42.091,315.330908,252.936562
42.201,315.330289,252.938613
42.306,315.337098,252.937848
42.411,315.345288,252.937953
42.517,315.339622,252.935275
42.628,315.334812,252.938335
42.734,315.329336,252.936040
42.839,315.319147,252.936318
42.942,315.339527,252.935797
43.049,315.348860,252.938335
43.164,315.364956,252.937570
43.262,315.371386,252.936562
43.373,315.368528,252.936040
43.478,315.368100,252.936040
43.581,315.356956,252.936666
43.687,315.345003,252.939239
43.795,315.356860,252.939726
43.903,315.345098,252.937431
44.016,315.340574,252.935797
44.115,315.360765,252.938196
44.220,315.345003,252.938092
44.326,315.361385,252.937327
44.440,315.322623,252.936805
44.540,315.261969,252.937953
44.650,315.257162,252.936040
44.752,315.699246,252.937848
44.859,309.896937,252.939726
44.965,308.890167,252.938961
45.075,312.987246,252.938717
45.182,337.552737,252.937431
45.289,350.301863,252.937083
45.391,352.469508,252.937570
45.498,352.858617,252.937848
45.607,352.972817,252.937431
45.717,353.001487,252.938857
45.821,352.624116,252.940247
45.924,352.019767,252.939482
46.037,352.033544,252.940769
46.143,351.798383,252.941256
46.243,351.876522,252.941882
46.350,351.483350,252.939482
46.457,351.628314,252.938439
46.562,351.693531,252.939239
46.668,351.740659,252.939239
46.775,351.575641,252.940769
46.885,351.360054,252.940004
46.997,351.417855,252.938335
47.094,351.606208,252.940004
47.201,351.601197,252.940491
47.317,351.484408,252.938196
47.414,351.255502,252.939100
47.520,351.335191,252.939482
47.627,350.854780,252.940491
47.733,351.019200,252.941882
47.839,351.209857,252.939726
47.949,351.247662,252.940247
48.052,351.376186,252.940769
48.159,351.581542,252.940491
48.271,351.702889,252.941638
48.372,351.757707,252.939726
48.480,351.951898,252.941777
48.585,352.040015,252.941012
48.692,352.386096,252.941256
48.801,352.677687,252.941256
48.905,352.820003,252.941117
49.011,352.923827,252.937953
49.117,353.028872,252.938961
49.224,353.041306,252.939482
49.336,353.113904,252.940004
49.445,353.084716,252.937188
49.543,353.110934,252.938196
49.650,353.092223,252.936805
49.763,353.065111,252.938961
49.870,353.146064,252.939239
49.969,353.175988,252.938092
50.075,353.133850,252.937848
50.182,353.089030,252.939726
50.293,353.071888,252.938439
50.398,353.058277,252.943168
50.502,352.977520,252.938335
50.608,352.931329,252.937570
50.717,352.872274,252.939239
50.821,352.862871,252.938196
50.927,352.838190,252.936805
51.034,352.809203,252.937431
51.141,352.795942,252.940247
51.247,352.749674,252.938196
51.353,352.741227,252.938717
51.460,352.688537,252.937570
51.567,352.674890,252.938961
51.675,352.678022,252.936562
51.779,352.645196,252.937083
51.885,352.657778,252.940247
51.998,352.542216,252.941256
52.098,352.514662,252.938613
52.208,352.477666,252.939239
52.311,352.342642,252.938196
52.420,351.947214,252.936040
52.524,351.153050,252.936805
52.631,351.959370,252.936040
52.738,352.407715,252.938439
52.844,352.470179,252.935275
52.952,352.762597,252.937674
53.057,352.903395,252.936562
53.163,353.062142,252.937083
53.269,353.173690,252.935797
53.381,353.227437,252.936805
53.488,353.228502,252.937953
53.588,353.211519,252.938335
53.698,353.124549,252.939239
53.806,353.025232,252.940769
53.913,352.984799,252.938439
54.014,352.789452,252.937674
54.120,352.733227,252.939239
54.231,352.763995,252.938092
54.333,352.755044,252.939239
54.440,352.764107,252.938196
54.547,351.592678,252.939239
54.656,324.907626,252.937083
54.763,314.010660,252.937327
54.868,312.627290,252.937431
54.972,312.226235,252.937188
55.081,313.019284,252.937953
55.187,309.210543,252.937848
55.295,309.168416,252.938717
55.398,309.133517,252.937848
55.504,308.890768,252.936562
55.617,309.514240,252.937953
55.717,309.698010,252.939726
55.824,309.856579,252.939100
55.930,310.148956,252.937327
56.040,310.203461,252.938857
56.144,310.183462,252.938857
56.250,310.194717,252.938717
56.356,310.336337,252.937083
56.466,310.399082,252.937188
56.571,310.396335,252.939726
56.676,310.478190,252.939726
56.783,311.052088,252.941012
56.893,311.176095,252.938961
56.999,311.705285,252.938196
57.102,311.861439,252.938196
57.209,311.922470,252.938613
57.318,311.960634,252.939726
57.424,311.954023,252.938857
57.528,311.974279,252.939726
57.634,311.990364,252.936805
57.743,312.013437,252.938092
57.851,312.014985,252.936562
57.954,312.025444,252.937570
58.060,311.983095,252.938335
58.166,311.984033,252.939100
58.276,311.972356,252.939726
58.382,311.893405,252.937848
58.486,311.940754,252.937431
58.595,311.964151,252.939239
58.702,311.962603,252.938961
58.806,311.958477,252.940247
58.912,311.971419,252.940769
59.018,311.984033,252.940004
59.127,311.988488,252.937188
59.235,312.000165,252.938613
59.338,311.995428,252.937953
59.449,312.014657,252.940004
59.553,312.008654,252.940004
59.657,312.020379,252.940004
59.763,312.007716,252.939482
59.873,312.029150,252.939482
59.981,312.039609,252.940247
60.082,312.026664,252.938857
60.189,312.024178,252.937953
60.295,312.028868,252.938613
60.405,312.047912,252.938717
60.508,312.009310,252.939726
60.619,311.991677,252.939239
60.725,311.998008,252.938961
60.828,312.010623,252.937953
60.934,312.073478,252.941012
61.044,312.039375,252.940247
61.147,312.028305,252.937953
61.253,312.049741,252.939482
61.360,312.080422,252.938613
61.469,312.106930,252.938717
61.578,312.129782,252.936562
61.679,312.150946,252.935797
61.788,312.141185,252.936909
61.892,312.144939,252.935797
61.998,312.138932,252.934649
62.105,312.133207,252.935797
62.216,312.157563,252.936805
62.323,312.169250,252.938961
62.424,312.187602,252.938857
62.531,312.169250,252.937083
62.643,312.176196,252.940247
62.748,312.213607,252.941012
62.850,312.284362,252.940491
62.957,312.308125,252.941534
63.068,312.340062,252.939482
63.175,312.332876,252.939726
63.276,312.332453,252.940491
63.382,312.314747,252.939100
63.494,312.328085,252.938196
63.595,312.365099,252.938961
63.704,312.385347,252.938335
63.808,312.442577,252.938335
63.914,312.408463,252.939482
64.022,312.379334,252.936562
64.132,312.418941,252.938439
64.234,312.433789,252.937083
64.341,312.432850,252.938092
64.451,312.470775,252.938196
64.557,312.491408,252.936040
64.660,312.599355,252.937083
64.767,312.688724,252.938439
64.876,312.689429,252.938335
64.983,312.444880,252.937953
65.086,311.011889,252.939726
65.192,308.795787,252.938857
65.305,308.597594,252.937953
65.407,310.106693,252.935553
65.511,390.978475,252.936562
65.618,409.661256,252.935032
65.727,413.425471,252.937083
65.836,414.740538,252.937188
65.941,415.438534,252.937953
66.047,415.825878,252.936318
66.150,415.950992,252.937674
66.257,418.803302,252.935797
66.364,418.631086,252.935797
66.474,418.276943,252.936562
66.576,418.189083,252.940004
66.682,418.028529,252.937674
66.795,417.694620,252.938961
66.896,416.610462,252.938613
67.004,416.149669,252.936805
67.108,415.363508,252.937188
67.214,414.608533,252.939482
67.325,413.681057,252.938961
67.427,409.818494,252.938196
67.533,410.885562,252.938335
67.640,410.952933,252.939482
67.747,410.847421,252.939239
67.856,410.747664,252.937953
67.964,410.223383,252.939726
68.073,408.302679,252.938961
68.173,404.915806,252.940004
68.280,404.290395,252.938092
68.389,403.670798,252.938439
68.496,403.577495,252.936318
68.602,404.412489,252.936318
68.705,404.822428,252.936562
68.812,404.342033,252.937327
