timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
17.494,274.366125,260.163733,409.668963,506.976184
17.602,274.369755,260.164493,409.546993,506.610683
17.713,274.364486,260.160296,409.461361,506.549709
17.825,274.366399,260.164783,409.719863,506.947888
17.938,274.363393,260.169053,409.782927,506.978645
18.051,274.355314,260.169415,409.772369,506.828670
18.163,274.356953,260.191239,409.706946,506.435919
18.277,274.373932,260.213355,409.645911,506.237444
18.389,274.385017,260.213355,409.698057,506.272010
18.500,274.377523,260.210821,409.710140,506.246888
18.613,274.385290,260.217229,409.798626,506.191077
18.725,274.383924,260.226315,410.116543,506.520029
18.838,274.390560,260.230840,410.109241,506.668264
18.953,274.393917,260.238624,410.001262,506.592153
19.064,274.395010,260.238117,410.011759,506.590641
19.176,274.389740,260.231383,409.939330,506.441967
19.288,274.390014,260.231637,409.899301,506.343138
19.406,274.384978,260.231890,409.848368,506.214779
19.514,274.388882,260.228596,409.845103,506.457087
19.630,274.391380,260.235329,409.989931,506.603309
19.739,274.391926,260.235221,410.022674,506.658146
19.851,274.389428,260.231999,410.012941,506.578540
19.963,274.389740,260.232252,410.006059,506.472207
20.077,274.395557,260.238117,409.956358,506.338131
20.190,274.396103,260.238624,409.999246,506.226300
20.301,274.395283,260.235221,409.964838,506.206091
20.413,274.394698,260.237320,410.080521,506.441305
20.526,274.385290,260.229537,410.097488,506.467671
20.639,274.389701,260.233483,410.078088,506.430439
20.751,274.385564,260.229537,410.080521,506.431856
20.866,274.384158,260.228596,410.070787,506.398596
20.977,274.382207,260.227799,409.995145,506.324528
21.088,274.381933,260.227872,409.973318,506.270027
21.201,274.381387,260.225518,409.934465,506.228850
21.314,274.386383,260.231202,410.142832,506.648691
21.426,274.387242,260.233483,410.250934,506.764820
21.541,274.386930,260.233990,410.249682,506.695497
21.652,274.386110,260.234424,410.265476,506.747985
21.764,274.387515,260.233736,410.194652,506.650676
21.876,274.387242,260.233230,410.148883,506.625526
21.989,274.385837,260.232252,410.062304,506.493376
22.101,274.389155,260.235329,410.246829,506.886192
22.218,274.393371,260.238117,410.306741,506.975617
22.328,274.394425,260.236633,410.282872,506.980822
22.439,274.393371,260.234279,410.287325,507.019911
22.551,274.385564,260.231456,410.298251,507.051811
22.664,274.385564,260.232686,410.298251,507.058248
22.777,274.387515,260.233483,410.249682,506.987731
22.894,274.386930,260.234279,410.361862,507.359409
23.002,274.387789,260.235474,410.567270,507.642623
23.114,274.391926,260.236271,410.594018,507.702272
23.227,274.391926,260.237067,410.456610,507.628969
23.339,274.389194,260.237320,410.461901,507.621289
23.452,274.390560,260.239094,410.449717,507.645089
23.565,274.390833,260.238370,410.478543,507.762026
23.678,274.393371,260.238913,410.739579,508.292955
23.790,274.396923,260.241448,410.877892,508.508481
23.902,274.398602,260.242027,410.795900,508.561148
24.014,274.395557,260.239167,410.777287,508.671164
24.127,274.393371,260.238370,410.787395,508.772273
24.239,274.393058,260.238624,410.721737,508.779789
24.354,274.396923,260.241158,410.715186,508.843819
24.464,274.395283,260.242751,410.780912,509.147479
24.577,274.395830,260.247132,411.035319,509.621202
24.690,274.404457,260.249232,411.054018,509.678520
24.802,274.401373,260.244851,410.997157,509.799670
24.915,274.403052,260.248942,410.960256,509.814364
25.028,274.403911,260.249666,410.868130,509.823619
25.140,274.403052,260.249485,410.828805,509.787935
25.252,274.404184,260.250173,410.992693,510.138829
25.365,274.404457,260.251296,411.057646,510.344699
25.477,274.408322,260.253866,411.055623,510.260044
25.590,274.406917,260.250970,411.054437,510.211419
25.704,274.401100,260.250716,411.041808,510.092417
25.815,274.401373,260.252454,411.018714,509.974888
25.927,274.400827,260.248942,410.930614,509.842035
26.040,274.399460,260.248182,410.837729,509.682239
26.152,274.405784,260.254373,410.907111,509.851482
26.265,274.405824,260.254301,411.036575,509.969734
26.384,274.403598,260.251766,410.920850,509.842989
26.490,274.403911,260.248942,410.880332,509.763035
26.603,274.406097,260.251585,410.833267,509.634458
26.716,274.403091,260.247385,410.737906,509.419761
26.828,274.402779,260.246842,410.668984,509.212910
26.940,274.405277,260.249377,410.660901,509.269684
27.052,274.403911,260.249232,410.800361,509.465606
27.165,274.408361,260.253323,410.842192,509.431293
27.278,274.404184,260.250427,410.784537,509.346096
27.392,274.403872,260.251585,410.759861,509.249965
27.503,274.404145,260.247892,410.690864,509.087488
27.615,274.403598,260.246842,410.652749,508.991523
27.728,274.399187,260.245539,410.602099,508.870176
27.840,274.397508,260.241158,410.578206,508.735270
27.953,274.398055,260.244598,410.808099,508.995045
28.067,274.402505,260.245792,410.786210,509.121577
28.179,274.403364,260.246589,410.742367,509.073301
28.290,274.400514,260.244851,410.685638,508.840108
28.403,274.399187,260.242317,410.639372,508.724521
28.515,274.400827,260.238805,410.595621,508.614963
28.628,274.399734,260.240108,410.546583,508.475402
28.745,274.399734,260.239420,410.482930,508.368678
28.853,274.401920,260.239601,410.598059,508.633601
28.965,274.403364,260.245792,410.680760,508.729562
29.078,274.400280,260.247132,410.667800,508.649006
29.191,274.397782,260.240905,410.649126,508.564760
29.303,274.395830,260.238370,410.609414,508.479109
29.418,274.398875,260.238298,410.554314,508.358511
29.528,274.395244,260.233736,410.456192,508.277375
29.640,274.393917,260.232180,410.402375,508.170427
29.753,274.392785,260.235329,410.519839,508.058005
29.866,274.396923,260.237574,410.632892,508.478159
