timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
129.749,274.159180,260.144156,395.619932,607.878871
129.861,274.157230,260.144156,395.286235,606.820661
129.974,274.159453,260.145206,395.022033,605.913594
130.086,274.158049,260.141587,395.148270,605.512822
130.201,274.156100,260.142926,395.164614,606.017994
130.312,274.159726,260.139344,395.558017,606.643960
130.424,274.156100,260.141587,395.244436,606.417165
130.537,274.158049,260.141587,395.344592,606.944371
130.649,274.155593,260.139778,395.553727,607.041396
130.762,274.153332,260.144156,395.574914,606.838877
130.875,274.153059,260.141587,395.347296,606.729717
130.988,274.149745,260.138801,395.441223,606.874818
131.099,274.155008,260.140574,395.452109,606.708676
131.212,274.152240,260.140031,395.724717,607.499369
131.324,274.154501,260.139525,395.604617,607.507383
131.437,274.155320,260.141081,395.882267,607.166897
131.553,274.156684,260.141768,395.725906,607.691112
131.663,274.158907,260.139778,395.520466,607.034254
131.774,274.156957,260.142383,395.316104,606.564617
131.887,274.158634,260.140285,395.212267,606.543216
132.000,274.160310,260.141261,395.433901,607.293669
132.112,274.156957,260.139525,395.230328,606.361101
132.225,274.154462,260.140827,394.801062,606.373887
132.337,274.155866,260.138294,394.739004,605.930788
132.450,274.155320,260.139778,394.499919,606.120085
132.562,274.154774,260.141515,394.891444,605.994532
132.675,274.155008,260.142383,394.479144,606.297054
132.787,274.156412,260.137933,394.806789,606.459711
132.900,274.156684,260.137752,395.216947,607.421588
133.014,274.157230,260.137498,395.238964,607.591345
133.125,274.157230,260.137679,395.501264,607.462388
133.237,274.158322,260.139778,395.565673,607.864804
133.350,274.160037,260.143867,394.991801,606.540141
133.462,274.158049,260.141768,394.691170,606.172922
133.575,274.157776,260.141081,394.815213,607.186853
133.689,274.156139,260.138982,395.213058,607.607375
133.800,274.156412,260.140285,395.037052,607.359718
133.912,274.154735,260.136956,395.056551,607.641411
134.025,274.155593,260.138475,394.154323,606.971211
134.138,274.156139,260.137679,394.949652,606.963085
134.250,274.159180,260.142058,394.724462,606.044159
134.363,274.156412,260.138294,394.797179,607.225781
134.477,274.156412,260.137136,395.408174,608.067826
134.588,274.156957,260.138729,395.420179,608.215742
