timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
23.966,269.165647,258.284184,385.960351,266.741981
24.089,269.163748,258.283396,385.769330,266.742769
24.194,269.157254,258.283934,386.002140,266.741419
24.323,269.154861,258.285402,385.516627,266.743594
24.431,269.154557,258.281426,385.649183,266.742769
24.545,269.178600,258.267673,385.424309,266.742244
24.642,269.169673,258.261513,385.446813,266.741981
24.772,269.175371,258.258146,385.391001,266.744381
24.883,269.161583,258.259436,385.342191,266.740369
24.998,269.161849,258.257215,385.310799,266.741681
25.094,269.159153,258.251557,384.637281,266.742244
25.224,269.168610,258.256141,384.404013,266.744644
25.334,269.170243,258.256427,384.269290,266.743031
25.444,269.172370,258.252774,384.252075,266.741157
25.559,269.172940,258.254601,384.338922,266.742244
25.676,269.174269,258.257215,384.599762,266.740369
25.771,269.169977,258.262981,385.076242,266.739807
25.881,269.167812,258.270860,384.919097,266.738494
25.997,269.167281,258.275445,384.773333,266.739319
26.126,269.169977,258.273726,384.657438,266.740107
26.235,269.156190,258.272508,384.570486,266.741981
26.346,269.143239,258.272508,384.818614,266.741157
26.454,269.153759,258.270968,384.922651,266.742506
26.567,269.154823,258.272007,385.563816,266.742244
26.679,269.154823,258.272759,385.829551,266.743856
26.795,269.151329,258.269392,386.088922,266.744906
26.903,269.151860,258.272257,386.059609,266.743294
27.020,269.151329,258.269893,386.069805,266.741419
27.129,269.154823,258.270180,386.017048,266.742769
27.247,269.156190,258.271648,386.090324,266.743294
27.355,269.155924,258.273189,386.146793,266.741419
27.470,269.153759,258.273976,386.163366,266.742506
27.577,269.172674,258.275445,386.247013,266.741981
27.695,269.147531,258.275015,386.319588,266.740894
27.804,269.144303,258.268103,386.428231,266.741157
27.919,269.145670,258.269141,386.466774,266.741981
28.027,269.138113,258.270431,386.403730,266.740369
28.143,269.139176,258.270180,386.323733,266.741981
28.250,269.142974,258.269392,386.338021,266.743031
28.367,269.140809,258.270180,386.214750,266.746481
28.474,269.145100,258.271219,386.202764,266.743031
28.594,269.168610,258.267673,386.348483,266.742506
28.701,269.144037,258.268604,386.482729,266.739282
28.819,269.151595,258.268855,386.508769,266.741157
28.946,269.159153,258.269141,386.715012,266.742506
29.055,269.162685,258.269141,386.860690,266.742244
29.168,269.168078,258.270431,386.932409,266.740107
29.278,269.171838,258.268855,386.924226,266.741981
29.391,269.162951,258.267924,386.984580,266.744644
29.502,269.159722,258.267136,386.991997,266.740669
29.615,269.164850,258.264271,386.962841,266.741157
29.731,269.166711,258.268103,386.874751,266.741981
29.844,269.170243,258.268712,386.904665,266.744606
29.957,269.176169,258.267565,386.812761,266.741981
30.069,269.181031,258.264271,386.756279,266.741681
30.179,269.182664,258.253670,386.777746,266.742244
30.291,269.177536,258.259006,386.752702,266.741157
30.399,269.152962,258.269392,386.552303,266.739582
30.515,269.085978,258.276734,386.557410,266.737444
30.623,269.079221,258.283396,386.599420,266.738232
