Condition,Pose,Mean ΔC (pF),Std ΔC (pF)
20250911_node1_node4,1,-8.851646123005283,4.802761198708228
20250911_node1_node4,2,16.312605745046426,11.405470283428686
20250911_node1_node4,3,36.97904298311556,30.194261798310603
20250911_node1_node4,4,43.320827059728636,38.78770348260341
20250911_node1_node4,5,174.70722873141452,162.57022065315297
20250911_node1_node4,Overall,,99.32947513748825
20250911_node1_node5,1,-14.230911583825637,5.163240599398287
20250911_node1_node5,2,17.623752483058556,12.666514766250305
20250911_node1_node5,3,72.8850588203621,41.90636898867238
20250911_node1_node5,4,85.1707168869419,52.37323288815636
20250911_node1_node5,5,279.095783427513,173.6144539563823
20250911_node1_node5,Overall,,131.89856596223828
20250911_node1_node6,1,-7.7848725211947185,6.045177543086763
20250911_node1_node6,2,2.2018290423790843,5.726394659829841
20250911_node1_node6,3,63.11070965387725,36.189702175737224
20250911_node1_node6,4,52.18368788525558,37.45625641291634
20250911_node1_node6,5,234.2423777292193,226.89381119901526
20250911_node1_node6,Overall,,135.82563223725788
20250911_node2_node4,1,-12.243263760626244,7.167475713566464
20250911_node2_node4,2,23.5059737148426,15.375475365900812
20250911_node2_node4,3,65.29434751388055,42.69861847453269
20250911_node2_node4,4,79.12850583481378,56.52853177522011
20250911_node2_node4,5,180.1046922459351,127.70527942375774
20250911_node2_node4,Overall,,92.44332842690993
20250911_node2_node5,1,-10.824862485584411,11.976283199075363
20250911_node2_node5,2,20.194097910645862,21.047285322919034
20250911_node2_node5,3,100.2444947570931,91.39513263943802
20250911_node2_node5,4,69.85523510740342,81.57862073867653
20250911_node2_node5,5,194.51533227549044,195.21421844477396
20250911_node2_node5,Overall,,125.71412622136779
20250911_node2_node6,1,-22.764202821701844,13.526096792491467
20250911_node2_node6,2,-13.9187182414245,13.60665086942674
20250911_node2_node6,3,108.7659638982469,66.34887414522733
20250911_node2_node6,4,103.74525661801592,64.57667781592288
20250911_node2_node6,5,203.06953076565475,140.02044609467825
20250911_node2_node6,Overall,,113.46868817650252
20250911_node3_node4,1,-16.041146308584718,9.52504589430326
20250911_node3_node4,2,71.74074804226134,42.684291415060365
20250911_node3_node4,3,28.445365943638453,20.638673233432733
20250911_node3_node4,4,47.962204279979964,38.22726975919918
20250911_node3_node4,5,128.97927880393837,104.7221323658319
20250911_node3_node4,Overall,,72.50196110506715
20250911_node3_node5,1,-17.1325501165831,11.365899744539503
20250911_node3_node5,2,73.78127960892813,56.77001247102635
20250911_node3_node5,3,104.28202960087991,65.2123831822399
20250911_node3_node5,4,90.07735721083897,78.77475770041816
20250911_node3_node5,5,141.04931161485536,126.40388750035441
20250911_node3_node5,Overall,,93.45272019901115
20250911_node3_node6,1,-25.547220969752384,21.06193539934518
20250911_node3_node6,2,9.78896171329818,14.725992189344272
20250911_node3_node6,3,60.04453158942248,41.48073073078263
20250911_node3_node6,4,115.16976123459195,70.16468967906616
20250911_node3_node6,5,107.47144993610247,70.82596441862495
20250911_node3_node6,Overall,,73.80849830886805
