timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
19.339,274.492470,259.834059,388.183918,453.515440
19.450,274.493290,259.828388,388.107112,453.329126
19.562,274.490517,259.827882,388.176339,453.267448
19.674,274.494930,259.829797,388.232350,453.460805
19.787,274.487470,259.829435,388.407524,453.638665
19.900,274.493602,259.831964,388.525827,453.623853
20.015,274.493055,259.839731,388.195608,453.594714
20.125,274.494657,259.840273,388.178009,453.343039
20.237,274.496063,259.838683,388.291585,453.192276
20.349,274.497469,259.841465,388.372685,453.257558
20.462,274.489658,259.836407,388.210509,453.227568
20.575,274.487470,259.837455,388.253550,453.269699
20.692,274.493290,259.839984,388.345178,453.576362
20.800,274.490517,259.834854,388.192525,453.669982
20.912,274.489658,259.835649,388.138448,453.742128
21.025,274.496063,259.840778,388.071800,453.570487
21.137,274.493016,259.832578,387.933418,453.454530
21.250,274.488837,259.832831,387.756630,453.349795
21.365,274.486338,259.833012,387.564450,453.299210
21.476,274.487744,259.832072,387.591301,453.448737
21.587,274.488017,259.835107,387.849179,453.558414
21.700,274.483838,259.828930,387.835259,453.443829
21.812,274.486924,259.831278,387.792286,453.536444
21.925,274.486611,259.832072,387.731237,453.507393
22.041,274.489111,259.832217,387.739444,453.544974
22.151,274.487470,259.830736,387.674113,453.461288
22.262,274.483565,259.831025,387.703346,453.379313
22.375,274.486064,259.829977,387.798956,453.521314
22.488,274.485518,259.828930,387.803958,453.489449
22.600,274.488603,259.829002,387.798058,453.556241
22.713,274.490478,259.829688,387.655074,453.448254
22.826,274.491610,259.833120,387.577971,453.335479
22.938,274.485791,259.829435,387.570345,453.265196
23.050,274.484658,259.831964,387.476483,453.165830
23.163,274.486924,259.830230,387.514280,453.447852
23.275,274.487197,259.829255,387.543817,453.448737
23.389,274.482745,259.829544,387.417555,453.416879
23.501,274.485205,259.831531,387.485451,453.407950
23.614,274.488017,259.829544,387.514280,453.366766
23.725,274.486338,259.830736,387.511781,453.308619
23.838,274.488056,259.834312,387.611168,453.261176
23.950,274.490204,259.835107,387.752397,453.516808
24.063,274.486611,259.832506,387.862201,453.663300
24.177,274.492743,259.837130,387.877469,453.581272
24.289,274.491610,259.831531,387.863099,453.562036
24.400,274.489697,259.832506,387.821917,453.481000
24.513,274.487197,259.832578,387.678921,453.476012
24.626,274.484698,259.830736,387.651228,453.426291
24.738,274.486064,259.831025,387.621295,453.466598
24.853,274.485791,259.829255,387.807165,453.595599
24.963,274.490204,259.832578,387.916799,453.701785
25.075,274.489970,259.831964,387.923151,453.693733
25.188,274.486064,259.832506,387.927130,453.686165
25.301,274.488876,259.832072,387.904416,453.687453
25.413,274.487744,259.827882,387.887221,453.678033
25.530,274.488017,259.832506,388.028917,454.001781
25.640,274.488330,259.831278,388.129844,454.097302
25.751,274.491064,259.831711,388.138448,454.056913
25.863,274.492196,259.833120,388.172486,454.083435
25.976,274.492196,259.833120,388.180321,454.040792
26.088,274.489931,259.834059,388.139219,454.021930
26.202,274.488291,259.832831,388.113405,453.998638
26.313,274.487197,259.835902,388.157200,454.192932
26.426,274.485791,259.828641,388.327570,454.394934
26.539,274.484698,259.828930,388.388754,454.404376
26.652,274.487197,259.832217,388.393382,454.399453
26.763,274.482198,259.829002,388.348648,454.374276
26.876,274.487744,259.830483,388.282847,454.324009
26.989,274.486924,259.832831,388.251494,454.245840
27.101,274.488837,259.832759,388.337723,454.479839
27.216,274.488017,259.831783,388.471684,454.705450
27.327,274.492196,259.832831,388.546922,454.724757
27.439,274.494422,259.835649,388.474384,454.625410
27.551,274.493290,259.831025,388.454839,454.620888
27.664,274.488876,259.830230,388.478757,454.622745
27.776,274.486611,259.832831,388.437995,454.583661
27.892,274.487744,259.831025,388.413695,454.680249
28.001,274.489111,259.831964,388.647271,454.929365
28.114,274.488837,259.830736,388.717538,455.008190
28.226,274.487744,259.829688,388.705440,455.010373
28.339,274.488056,259.830736,388.596834,454.943835
28.451,274.485479,259.830230,388.567760,454.890244
28.568,274.486611,259.832831,388.609700,454.865512
28.678,274.488291,259.829977,388.738068,455.102239
28.789,274.487470,259.831531,388.807780,455.245835
28.902,274.486338,259.827954,388.676354,455.160236
29.015,274.489150,259.829977,388.608928,455.127879
29.127,274.489423,259.830916,388.581911,455.092777
29.239,274.485205,259.828930,388.554189,455.062611
