timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
308.091,275.001143,260.076249,287.500256,379.917882
308.203,274.996404,260.073971,287.491703,378.775762
308.316,274.994133,260.069883,287.515986,378.529836
308.428,274.993624,260.071800,287.490577,378.647720
308.540,274.996130,260.076249,287.427507,378.608068
308.652,274.996404,260.075200,287.412494,378.649889
308.765,274.989474,260.067496,287.404403,378.681243
308.878,274.990570,260.066990,287.409741,378.653358
308.994,274.998911,260.073175,287.407740,378.532065
309.104,274.993624,260.068979,287.430677,378.281974
309.215,274.990570,260.064711,287.441062,378.028228
309.328,274.996679,260.071077,287.414662,377.912599
309.440,274.988847,260.069775,287.409741,377.815488
309.553,274.988573,260.064892,287.438643,377.853846
309.666,274.991666,260.065398,287.453909,378.062166
309.779,274.993898,260.068473,287.456078,378.013146
309.891,274.999498,260.073898,287.489868,378.150030
310.003,275.003375,260.078781,287.473848,378.174150
310.115,275.008661,260.078094,287.477144,378.114164
310.228,275.003061,260.073609,287.477019,378.190726
310.341,274.995308,260.065145,287.458664,378.182438
310.453,274.996679,260.070824,287.460708,378.175263
310.566,275.001417,260.072849,287.457371,378.231799
310.678,274.997227,260.067966,287.453033,378.215963
310.791,274.997227,260.070824,287.451031,378.226541
310.903,275.004471,260.072849,287.463420,378.340390
311.016,275.005881,260.078094,287.442063,378.270652
311.128,275.005881,260.080084,287.451323,378.369850
311.241,275.003061,260.073609,287.468509,378.384582
311.355,275.001965,260.072596,287.480898,378.370593
311.467,274.992763,260.063590,287.479438,378.473297
311.578,275.000594,260.078528,287.510186,378.491378
311.691,275.026206,260.098098,287.482609,378.496642
311.804,275.027303,260.089091,287.475684,378.719852
311.916,275.021193,260.090393,287.490702,379.060454
312.029,275.029300,260.095747,287.467633,379.146667
312.141,275.030358,260.096796,287.421293,379.046864
312.255,275.027577,260.096000,287.413661,379.077396
312.367,275.030945,260.096615,287.420417,379.085340
312.478,275.025658,260.094517,287.414662,379.097878
312.591,275.027303,260.093287,287.458372,379.270108
312.704,275.028439,260.095277,287.457830,379.197017
312.816,275.033138,260.100631,287.443231,379.133010
312.931,275.032864,260.098352,287.472221,379.215583
313.042,275.032864,260.101427,287.464588,379.195838
313.154,275.040697,260.106311,287.473681,379.254209
313.266,275.036232,260.104031,287.458664,379.379130
313.379,275.037329,260.104031,287.481482,379.314332
313.491,275.036507,260.103778,287.486822,379.424553
313.609,275.036781,260.102982,287.485070,379.147412
313.719,275.040384,260.106636,287.485362,379.382547
313.829,275.035410,260.102440,287.494916,379.438225
313.941,275.035410,260.099907,287.466340,379.520521
314.054,275.029535,260.102982,287.500548,379.666779
314.166,275.024835,260.098605,287.513524,379.731601
314.279,275.023974,260.094228,287.547741,379.873431
314.392,275.028399,260.097664,287.541815,379.861728
314.504,275.038426,260.105515,287.490994,379.782063
314.617,275.038465,260.102982,287.492162,379.919002
314.729,275.032903,260.096073,287.464588,380.041997
314.842,275.030671,260.097809,287.463169,380.048475
314.954,275.031493,260.098352,287.451740,380.260852
315.067,275.031768,260.098352,287.466882,380.228124
315.179,275.030945,260.099907,287.496334,380.316280
315.292,275.034313,260.099582,287.492872,380.268769
315.405,275.030083,260.098352,287.484778,380.358809
315.517,275.032316,260.096868,287.505889,380.669197
315.629,275.030945,260.097664,287.485654,380.599275
315.742,275.034822,260.098605,287.485654,380.620500
315.855,275.031768,260.101246,287.457830,380.628116
315.967,275.030632,260.097809,287.437892,380.495799
316.080,275.031219,260.096073,287.456495,380.602271
316.196,275.027577,260.093179,287.489117,380.701168
316.306,275.027303,260.098098,287.457830,380.589288
316.417,275.033687,260.101680,287.481190,380.610262
316.530,275.031219,260.097303,287.513691,380.676440
316.642,275.023660,260.090646,287.518406,380.840523
316.755,275.025932,260.093179,287.527794,380.662829
316.871,275.028125,260.093034,287.542691,380.562261
316.980,275.031493,260.092925,287.529839,380.599587
317.092,275.026480,260.082182,287.546447,380.241838
317.205,275.025384,260.081928,287.534304,379.541286
317.317,275.027303,260.084207,287.542691,379.795318
317.430,275.006703,260.089597,287.427341,313.650340
317.543,275.026206,260.088295,287.338484,319.414518
317.656,275.032903,260.097556,287.455911,384.849948
317.769,275.067960,260.112497,287.258626,385.106400
317.880,275.077714,260.117924,287.257876,385.484452
