timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
65.130,292.703871,282.192645,297.195281,283.812532
65.242,292.716585,282.254976,297.194100,283.864967
65.355,292.716884,282.289685,297.191169,283.898853
65.468,292.715686,282.320620,297.189988,283.922949
65.585,292.717740,282.347900,297.187888,283.939261
65.693,292.714530,282.355625,297.184607,283.945368
65.805,292.716285,282.356194,297.183164,283.954426
65.918,292.715985,282.363960,297.183470,283.957418
66.030,292.715985,282.370954,297.185788,283.958156
66.143,292.714530,282.376729,297.186707,283.958976
66.256,292.715985,282.377298,297.187013,283.958566
66.368,292.715686,282.379291,297.185570,283.959099
66.482,292.715514,282.379860,297.184607,283.955574
66.593,292.715985,282.380836,297.183776,283.953852
66.706,292.715429,282.382218,297.183426,283.952910
66.818,292.713759,282.383357,297.184607,283.959386
66.931,292.715129,282.383072,297.184389,283.962665
67.045,292.715686,282.383642,297.184082,283.962091
67.156,292.716884,282.382218,297.183164,283.962952
67.269,292.714915,282.378437,297.182595,283.962665
67.381,292.713931,282.372947,297.184651,283.964346
67.494,292.716285,282.373069,297.182289,283.961968
67.606,292.715514,282.380267,297.183776,283.963690
67.719,292.713074,282.381364,297.183732,283.959386
67.832,292.712561,282.381364,297.184301,283.961108
67.944,292.713374,282.382503,297.184389,283.959386
68.056,292.713631,282.382503,297.180802,283.957992
68.169,292.711705,282.382218,297.183776,283.953197
68.283,292.712475,282.382788,297.181676,283.955164
68.396,292.712261,282.382218,297.183776,283.959099
68.507,292.714615,282.383072,297.181414,283.961108
68.619,292.714316,282.381649,297.182901,283.959960
68.732,292.715985,282.379413,297.181983,283.960247
68.845,292.715129,282.375631,297.181676,283.959960
68.957,292.711405,282.370426,297.179664,283.961395
69.072,292.712561,282.370670,297.182289,283.958443
69.182,292.712561,282.376444,297.179621,283.957582
69.295,292.714615,282.383357,297.181108,283.958976
69.407,292.713759,282.380429,297.184957,283.959673
69.520,292.711705,282.381649,297.183164,283.960247
69.632,292.712475,282.382503,297.182901,283.954426
69.747,292.713931,282.381080,297.181983,283.955000
69.858,292.712860,282.382218,297.181676,283.953566
69.970,292.713460,282.380999,297.181983,283.961395
70.083,292.715686,282.383072,297.182901,283.961681
70.195,292.715985,282.384618,297.182289,283.961968
70.308,292.716884,282.383072,297.182289,283.963116
70.427,292.713931,282.380267,297.182595,283.962542
70.533,292.712261,282.369003,297.180802,283.961108
70.646,292.711405,282.370954,297.180495,283.960534
70.758,292.711705,282.379006,297.179971,283.958279
70.871,292.712004,282.382788,297.182289,283.957992
70.983,292.713631,282.379413,297.181108,283.959099
71.095,292.711705,282.379982,297.182901,283.963116
71.208,292.712004,282.381364,297.181108,283.957296
71.321,292.713759,282.380836,297.180802,283.954713
71.435,292.711405,282.380429,297.180802,283.951762
71.546,292.711705,282.379413,297.181414,283.957132
71.658,292.712561,282.379575,297.180802,283.960821
71.771,292.713931,282.383072,297.181414,283.959673
71.883,292.713460,282.383357,297.183120,283.962091
71.996,292.710806,282.376159,297.184651,283.960534
72.111,292.709436,282.369856,297.179664,283.960821
72.221,292.711705,282.369450,297.181414,283.960534
72.333,292.712261,282.379860,297.182901,283.960247
72.446,292.715129,282.383357,297.184957,283.962665
72.559,292.713759,282.383357,297.184389,283.962952
72.671,292.713631,282.384048,297.184301,283.963813
72.789,292.713374,282.381934,297.182901,283.955861
72.896,292.712004,282.383072,297.178483,283.949467
73.009,292.711405,282.382503,297.181983,283.952746
73.121,292.712004,282.382218,297.180277,283.958566
73.234,292.712561,282.382788,297.181676,283.961108
73.346,292.714830,282.381934,297.183164,283.956722
73.459,292.716285,282.384902,297.182595,283.960821
73.572,292.714530,282.376159,297.182901,283.957705
73.684,292.714830,282.375061,297.183164,283.963116
73.798,292.714316,282.374086,297.184039,283.962542
73.909,292.714316,282.382218,297.183470,283.960247
74.022,292.715129,282.385472,297.185263,283.962378
74.134,292.715129,282.382788,297.186138,283.962952
74.247,292.712860,282.381934,297.184389,283.963116
74.359,292.715215,282.383357,297.182901,283.954713
74.475,292.712860,282.379982,297.183470,283.953443
74.585,292.714230,282.382788,297.181983,283.954426
74.697,292.715129,282.383764,297.184651,283.964059
74.810,292.719110,282.386285,297.183470,283.963690
74.922,292.718040,282.383926,297.183732,283.961804
75.035,292.717740,282.386285,297.184082,283.962665
75.152,292.717740,282.379697,297.185263,283.963403
75.260,292.715429,282.374939,297.183470,283.962665
75.372,292.714830,282.375875,297.184651,283.965781
75.485,292.715215,282.385350,297.181108,283.961395
75.597,292.716585,282.384496,297.184607,283.962829
75.710,292.714615,282.386204,297.184301,283.963977
75.827,292.715985,282.386285,297.183732,283.964633
75.936,292.715686,282.385472,297.183776,283.958279
76.047,292.716884,282.387708,297.186138,283.953566
76.160,292.714615,282.384496,297.181108,283.952172
76.273,292.713631,282.385187,297.184957,283.963239
76.385,292.714530,282.384618,297.183776,283.962542
76.498,292.714830,282.386285,297.184913,283.964920
76.611,292.718939,282.386854,297.184082,283.964633
76.723,292.715686,282.380145,297.181983,283.964059
76.836,292.715429,282.372093,297.184301,283.961395
76.949,292.713931,282.374207,297.181414,283.960821
77.060,292.713160,282.382503,297.182901,283.958730
77.173,292.716285,282.379860,297.182901,283.958730
77.286,292.716285,282.385472,297.184039,283.958156
77.398,292.717184,282.382503,297.186138,283.959386
77.514,292.716585,282.381080,297.185876,283.956435
77.623,292.712261,282.381080,297.182901,283.953033
77.736,292.712475,282.380267,297.184651,283.952459
77.848,292.716585,282.381364,297.182289,283.959550
77.961,292.713759,282.380429,297.180495,283.958443
78.073,292.714915,282.377867,297.181983,283.956845
78.187,292.714230,282.374207,297.182901,283.954016
78.299,292.714530,282.369165,297.181414,283.955000
78.411,292.715215,282.366034,297.184301,283.957869
78.523,292.714316,282.369450,297.183470,283.956148
78.636,292.713931,282.377298,297.183164,283.956845
78.748,292.712860,282.378437,297.185220,283.958730
78.862,292.714830,282.379291,297.184607,283.957869
78.974,292.715429,282.380267,297.183470,283.958279
79.086,292.715686,282.378437,297.184301,283.953852
79.199,292.714230,282.378843,297.184389,283.949754
79.311,292.712775,282.380836,297.184389,283.953320
79.424,292.713374,282.379697,297.183164,283.956148
79.540,292.715429,282.377867,297.183164,283.959386
79.650,292.715686,282.381364,297.182901,283.959386
79.761,292.715429,282.378559,297.182595,283.961681
79.874,292.718939,282.374492,297.184389,283.962091
79.987,292.715215,282.370304,297.185526,283.963116
80.099,292.712860,282.365099,297.183426,283.958156
80.212,292.713759,282.375509,297.186401,283.957582
80.324,292.712261,282.378721,297.185220,283.955287
80.437,292.714316,282.375224,297.184039,283.956558
80.551,292.711705,282.377013,297.183776,283.956148
80.663,292.712561,282.376729,297.183776,283.951188
80.775,292.715215,282.377298,297.184651,283.950327
80.887,292.710506,282.377013,297.183732,283.951475
81.000,292.712475,282.375631,297.182595,283.956148
81.112,292.714530,282.378437,297.181983,283.957418
81.226,292.714615,282.378721,297.181108,283.956148
81.337,292.712561,282.379291,297.182595,283.957418
81.450,292.713374,282.371239,297.183426,283.957418
81.562,292.712475,282.366034,297.182289,283.957296
81.675,292.713160,282.368149,297.182901,283.960821
81.787,292.712860,282.380836,297.185263,283.960821
81.900,292.711705,282.376729,297.184389,283.954713
82.012,292.711105,282.376444,297.184389,283.956558
82.129,292.714230,282.380836,297.185263,283.959386
82.238,292.712475,282.377583,297.182289,283.953566
82.350,292.713374,282.380551,297.182289,283.949754
82.463,292.711105,282.379697,297.180495,283.951885
82.576,292.710206,282.381649,297.184957,283.957992
82.688,292.714530,282.379697,297.182289,283.959673
82.800,292.715985,282.382503,297.182901,283.957705
82.913,292.714830,282.377013,297.182289,283.959673
83.025,292.714830,282.371524,297.183732,283.960247
83.138,292.712561,282.369003,297.184039,283.957296
83.251,292.711405,282.366034,297.182595,283.957296
83.363,292.710206,282.376729,297.181983,283.957009
83.476,292.711105,282.377989,297.183470,283.957705
83.588,292.712261,282.379006,297.185788,283.957869
83.701,292.714316,282.379575,297.184913,283.958976
83.814,292.710206,282.374777,297.177302,283.950614
83.926,292.709650,282.378843,297.181108,283.945081
84.038,292.713374,282.377013,297.181676,283.950327
84.151,292.712561,282.379128,297.183164,283.956271
84.264,292.716285,282.380551,297.183164,283.955574
84.376,292.713631,282.377583,297.181676,283.956845
84.492,292.711405,282.376729,297.182289,283.958730
84.602,292.712004,282.370304,297.184039,283.956271
84.714,292.712004,282.367579,297.183164,283.959386
84.826,292.714316,282.368311,297.184039,283.959960
84.939,292.712004,282.380999,297.186138,283.959673
85.052,292.711705,282.383357,297.185788,283.962829
85.164,292.709950,282.379413,297.184039,283.958566
85.277,292.712004,282.382503,297.184301,283.958443
85.393,292.710506,282.381364,297.181108,283.953197
85.503,292.710806,282.381364,297.182289,283.952910
85.614,292.710206,282.384048,297.181676,283.954139
85.727,292.711105,282.381649,297.181676,283.957582
85.839,292.711705,282.384333,297.183470,283.961681
85.952,292.710035,282.382218,297.183470,283.958812
86.066,292.712261,282.380999,297.184651,283.962255
86.178,292.711405,282.374655,297.180495,283.960821
86.290,292.709736,282.373232,297.181983,283.957869
86.402,292.707681,282.370304,297.179621,283.958443
