timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
9.232,292.651144,282.227262,297.280471,284.012147
9.344,292.684782,282.343427,297.294913,284.061108
9.457,292.681957,282.362822,297.288698,284.080671
9.575,292.679389,282.390677,297.281609,284.092320
9.683,292.679090,282.400112,297.281609,284.099293
9.795,292.678533,282.409385,297.281609,284.098268
9.907,292.677934,282.407677,297.283972,284.101385
10.020,292.676265,282.409385,297.283403,284.099129
10.133,292.676564,282.407961,297.280471,284.100442
10.251,292.675666,282.408816,297.278676,284.096996
10.359,292.678234,282.409670,297.281302,284.100442
10.470,292.676778,282.409222,297.278939,284.100154
10.583,292.677335,282.408165,297.280427,284.099293
10.696,292.677934,282.407392,297.280164,284.101959
10.808,292.680887,282.409100,297.280471,284.097570
10.921,292.675109,282.406457,297.277801,284.098432
11.035,292.675965,282.402105,297.278108,284.098144
11.146,292.675024,282.402471,297.277189,284.099990
11.258,292.677934,282.406294,297.277189,284.098144
11.371,292.677634,282.407148,297.279289,284.102821
11.484,292.676778,282.407392,297.282221,284.099006
11.597,292.673911,282.405318,297.279858,284.100277
11.709,292.676778,282.409385,297.281915,284.099703
11.822,292.676479,282.408734,297.279245,284.101139
11.934,292.678533,282.408531,297.281040,284.101262
12.046,292.675109,282.408816,297.280427,284.099867
12.159,292.677634,282.406457,297.278370,284.099990
12.272,292.678533,282.407026,297.280121,284.100852
12.386,292.675109,282.406741,297.278108,284.098555
12.498,292.673911,282.401373,297.275132,284.097857
12.609,292.677934,282.405033,297.277801,284.100154
12.722,292.673911,282.406294,297.279596,284.099703
12.835,292.677335,282.407392,297.278939,284.102246
12.947,292.675666,282.410239,297.279858,284.099416
13.062,292.679090,282.409792,297.281609,284.101549
13.173,292.680288,282.411378,297.280777,284.102821
13.285,292.678833,282.408531,297.281346,284.100852
13.397,292.680288,282.409385,297.280777,284.101672
13.510,292.677164,282.409670,297.279858,284.101959
13.623,292.678234,282.409670,297.278370,284.101959
13.736,292.677934,282.408816,297.280164,284.101672
13.849,292.677634,282.407677,297.280164,284.104092
13.960,292.676479,282.406294,297.277189,284.100154
14.073,292.677335,282.405887,297.277801,284.101139
14.186,292.675965,282.403610,297.276620,284.100852
14.298,292.677078,282.402756,297.278370,284.101672
14.412,292.677934,282.408246,297.279596,284.102821
14.525,292.680502,282.410524,297.280777,284.100565
14.636,292.677164,282.407961,297.280427,284.100442
14.748,292.676479,282.407148,297.278108,284.099703
14.861,292.676564,282.408816,297.276620,284.101385
14.974,292.676564,282.405318,297.278983,284.100729
15.089,292.677634,282.410361,297.278108,284.103108
15.199,292.678234,282.409670,297.278676,284.099580
15.311,292.678533,282.410808,297.280471,284.101672
15.424,292.680202,282.406863,297.279289,284.103395
15.537,292.681444,282.411663,297.281915,284.102533
15.650,292.679389,282.405887,297.280121,284.102246
15.762,292.677335,282.406172,297.278939,284.099703
15.874,292.680588,282.403040,297.282221,284.104379
15.987,292.678533,282.406863,297.281609,284.103682
16.099,292.677335,282.409792,297.284891,284.105118
16.212,292.680202,282.409670,297.285416,284.102246
16.325,292.680588,282.412354,297.283403,284.105118
16.438,292.681358,282.410361,297.281915,284.101139
16.550,292.680759,282.412354,297.285197,284.103682
16.662,292.679090,282.411663,297.282790,284.104667
16.775,292.682257,282.410239,297.282790,284.104092
16.887,292.681743,282.409954,297.280121,284.103108
17.001,292.680759,282.408816,297.279289,284.102821
17.114,292.679090,282.408531,297.280777,284.104379
17.225,292.682043,282.405318,297.283097,284.101959
17.338,292.680202,282.408816,297.283972,284.103108
17.450,292.679689,282.404179,297.282221,284.101959
17.563,292.676479,282.405033,297.281346,284.101139
17.677,292.679090,282.407392,297.281652,284.101959
17.788,292.680502,282.407392,297.284585,284.104667
17.901,292.676179,282.406579,297.279289,284.100565
18.014,292.676479,282.406579,297.279596,284.099990
18.126,292.677078,282.408246,297.281609,284.100565
18.238,292.678234,282.405318,297.281915,284.103969
18.351,292.678833,282.408165,297.285154,284.104543
18.464,292.681144,282.408246,297.283097,284.101959
18.579,292.680759,282.409507,297.282221,284.102246
18.689,292.680887,282.408816,297.280164,284.102821
18.801,292.679988,282.405155,297.279596,284.103231
18.914,292.680288,282.406172,297.283972,284.105118
19.026,292.681058,282.403325,297.282790,284.105528
19.139,292.681743,282.409670,297.282484,284.104256
19.254,292.680759,282.408246,297.284278,284.106635
19.364,292.680588,282.409954,297.284847,284.105405
19.477,292.682257,282.411215,297.286379,284.104092
19.589,292.682556,282.409792,297.285722,284.105118
19.702,292.681743,282.408816,297.284278,284.104831
19.814,292.679689,282.408816,297.283972,284.101959
19.931,292.679090,282.406457,297.281915,284.104092
20.040,292.681957,282.409670,297.283097,284.105241
20.152,292.683113,282.409670,297.282484,284.103682
20.265,292.683712,282.409670,297.282790,284.106389
20.377,292.681957,282.405318,297.282221,284.105815
20.490,292.680759,282.405155,297.283928,284.106389
20.607,292.679689,282.407677,297.284891,284.106635
20.715,292.680887,282.411378,297.284847,284.105405
20.828,292.681444,282.407961,297.286642,284.105118
20.940,292.679988,282.409385,297.285766,284.102533
21.053,292.678833,282.407392,297.283403,284.106389
21.165,292.680202,282.407961,297.282790,284.103969
21.278,292.678833,282.407961,297.284278,284.106635
21.392,292.679304,282.409385,297.284541,284.105241
21.503,292.679689,282.408531,297.283709,284.103395
21.616,292.679389,282.406863,297.283097,284.107784
21.728,292.681444,282.407392,297.280733,284.101385
21.841,292.680288,282.408246,297.281609,284.106512
21.954,292.677934,282.403325,297.284234,284.106102
22.069,292.680202,282.405033,297.285722,284.107497
22.180,292.678533,282.406172,297.284541,284.107210
22.291,292.679389,282.407392,297.284541,284.103969
22.404,292.677634,282.409792,297.285154,284.102533
22.516,292.679603,282.406579,297.287517,284.104543
22.629,292.680202,282.409100,297.284891,284.103518
22.743,292.678833,282.409385,297.284541,284.102821
22.855,292.676778,282.408816,297.285722,284.101672
22.967,292.679389,282.406172,297.284234,284.105815
23.079,292.681957,282.410808,297.285722,284.107210
23.192,292.684311,282.409100,297.285460,284.109917
23.305,292.684011,282.410808,297.283403,284.106923
23.418,292.683412,282.410239,297.285416,284.107210
23.530,292.681358,282.406009,297.285460,284.104379
23.642,292.680887,282.406294,297.284278,284.109220
23.755,292.678533,282.405033,297.285460,284.106389
23.867,292.681058,282.409385,297.285722,284.108645
23.980,292.681358,282.411500,297.285416,284.108358
24.093,292.679988,282.409100,297.282484,284.106102
24.205,292.682043,282.411378,297.286335,284.106635
24.318,292.681144,282.406457,297.284847,284.105692
24.430,292.679389,282.410524,297.286904,284.104543
24.548,292.678833,282.410361,297.286029,284.106635
24.657,292.682556,282.409954,297.287517,284.106389
24.768,292.681058,282.409385,297.283709,284.108071
24.881,292.680588,282.408246,297.286073,284.105405
24.993,292.682556,282.407392,297.284891,284.108481
25.106,292.682043,282.406579,297.286685,284.107497
25.218,292.682257,282.404749,297.287210,284.107210
25.331,292.682556,282.407148,297.288392,284.106266
25.444,292.682813,282.410239,297.289880,284.110943
25.562,292.681743,282.409385,297.288392,284.108933
25.670,292.682043,282.411947,297.288392,284.109794
25.781,292.680588,282.410808,297.287517,284.108933
25.894,292.681444,282.411663,297.287210,284.107497
26.007,292.679689,282.411378,297.289005,284.106923
26.119,292.683712,282.412598,297.288698,284.111640
26.231,292.684568,282.414306,297.287210,284.110656
26.344,292.684867,282.410361,297.288086,284.108071
26.458,292.682342,282.412354,297.283709,284.106923
26.570,292.681957,282.408531,297.284891,284.110204
26.682,292.682556,282.411093,297.288698,284.108645
26.794,292.683412,282.407148,297.287517,284.110081
26.907,292.684011,282.407148,297.286948,284.107661
27.019,292.682556,282.410361,297.290186,284.109507
27.132,292.682556,282.407880,297.289880,284.107784
27.245,292.681444,282.410239,297.287823,284.107784
27.357,292.681957,282.414022,297.287823,284.108358
27.470,292.683113,282.409385,297.289574,284.107784
27.582,292.686922,282.416015,297.290799,284.108645
27.695,292.682342,282.412598,297.287517,284.108358
27.808,292.683412,282.410524,297.289311,284.110943
27.923,292.685467,282.413452,297.292287,284.113035
28.035,292.686922,282.411378,297.288086,284.106389
28.145,292.683412,282.409100,297.289005,284.110204
28.258,292.681358,282.407311,297.288698,284.109630
28.371,292.682556,282.407677,297.289005,284.110368
28.483,292.683412,282.410361,297.290799,284.109343
