timestamp,CH0_pF,CH1_pF,CH2_pF,CH3_pF
18.496,292.831980,282.388562,297.227086,284.071894
18.614,292.832066,282.416584,297.216192,284.097570
18.720,292.829710,282.416015,297.215011,284.093304
18.833,292.831081,282.416299,297.214399,284.099580
18.945,292.826498,282.414591,297.204074,284.096422
19.058,292.816605,282.409670,297.200530,284.091459
19.171,292.819645,282.411378,297.199962,284.089490
19.283,292.818361,282.409100,297.196112,284.087931
19.396,292.818189,282.409385,297.194931,284.089490
19.508,292.814378,282.409954,297.196987,284.089367
19.621,292.814934,282.409100,297.196462,284.087357
19.734,292.815534,282.411215,297.196768,284.087644
19.847,292.814078,282.410646,297.196462,284.087644
19.959,292.815534,282.409792,297.200574,284.089080
20.071,292.813478,282.409385,297.200224,284.087644
20.184,292.814934,282.408816,297.198212,284.087357
20.297,292.812579,282.408938,297.195500,284.088792
20.409,292.814378,282.408816,297.195806,284.088792
20.524,292.815834,282.409100,297.197293,284.090351
20.635,292.816690,282.408816,297.197906,284.089654
20.747,292.819046,282.408816,297.196768,284.086783
20.860,292.816134,282.406863,297.192044,284.083953
20.972,292.817204,282.409954,297.197906,284.085388
21.086,292.814378,282.409385,297.197337,284.088341
21.198,292.817590,282.409670,297.199087,284.087767
21.310,292.819860,282.412354,297.198212,284.089080
21.422,292.817890,282.411093,297.198212,284.089080
21.535,292.813864,282.409954,297.200268,284.085101
21.648,292.817504,282.408816,297.201712,284.086783
21.760,292.814934,282.407392,297.198781,284.085388
21.873,292.813778,282.409100,297.195587,284.085921
21.985,292.815834,282.411215,297.198212,284.084691
22.098,292.816134,282.408531,297.197906,284.082681
22.211,292.814635,282.408531,297.193487,284.080671
22.323,292.814378,282.407677,297.194362,284.079564
22.436,292.817804,282.407961,297.195281,284.080958
22.549,292.816134,282.407961,297.192875,284.068367
22.661,292.812322,282.407148,297.192875,284.070459
22.773,292.810138,282.408246,297.190863,284.064348
22.886,292.811508,282.406741,297.190819,284.063118
22.999,292.814934,282.406863,297.190863,284.064102
23.112,292.813864,282.406172,297.196724,284.066932
23.225,292.814463,282.410524,297.197074,284.069064
23.336,292.811808,282.406863,297.194362,284.066932
23.449,292.814378,282.409792,297.194100,284.065783
23.562,292.810652,282.406294,297.194668,284.057868
23.674,292.810652,282.408531,297.196112,284.073617
23.788,292.812408,282.409670,297.193181,284.075421
23.901,292.815834,282.409954,297.195281,284.077431
24.012,292.815534,282.409385,297.194668,284.078990
24.124,292.816391,282.411093,297.195500,284.074765
24.237,292.811423,282.409670,297.192306,284.077144
24.350,292.812964,282.408816,297.192875,284.075996
24.463,292.809752,282.408246,297.194975,284.075709
